cell_id,Amazona autumnalis,Amazona autumnalis autumnalis/salvini,Amazona autumnalis lilacina,Amazona autumnalis diadema
822837fffffffff,24.0,0.0,0.0,0.0
822917fffffffff,5.0,0.0,0.0,0.0
8229a7fffffffff,83.0,6.0,0.0,0.0
8244a7fffffffff,6.0,0.0,0.0,0.0
824507fffffffff,9.0,0.0,0.0,0.0
82450ffffffffff,6.0,0.0,0.0,0.0
824527fffffffff,18.0,2.0,0.0,0.0
82452ffffffffff,61.0,2.0,0.0,0.0
824537fffffffff,14.0,0.0,0.0,0.0
824817fffffffff,2.0,0.0,0.0,0.0
82485ffffffffff,2.0,0.0,0.0,0.0
824887fffffffff,19.0,8.0,0.0,0.0
8248a7fffffffff,12.0,0.0,0.0,0.0
8248b7fffffffff,289.0,31.0,0.0,0.0
824987fffffffff,71.0,0.0,3.0,0.0
824997fffffffff,90.0,3.0,0.0,0.0
82499ffffffffff,3.0,0.0,0.0,0.0
8249affffffffff,6.0,0.0,0.0,0.0
8249b7fffffffff,16.0,0.0,0.0,0.0
82660ffffffffff,6.0,0.0,0.0,0.0
826617fffffffff,60.0,2.0,0.0,0.0
82661ffffffffff,45.0,0.0,0.0,0.0
826627fffffffff,2.0,0.0,0.0,0.0
8266a7fffffffff,47.0,0.0,0.0,0.0
8266b7fffffffff,56.0,9.0,0.0,0.0
8266d7fffffffff,23.0,5.0,0.0,0.0
826737fffffffff,4.0,0.0,0.0,0.0
826747fffffffff,2.0,0.0,0.0,0.0
826797fffffffff,2.0,0.0,0.0,0.0
82679ffffffffff,64.0,0.0,0.0,0.0
826d27fffffffff,24.0,11.0,0.0,0.0
826d2ffffffffff,5.0,4.0,0.0,0.0
826d37fffffffff,32.0,4.0,0.0,0.0
826d67fffffffff,13.0,0.0,0.0,0.0
826d6ffffffffff,159.0,25.0,0.0,0.0
826d77fffffffff,3.0,0.0,0.0,0.0
828f2ffffffffff,7.0,1.0,0.0,0.0
