cell_id,Cincloramphus macrurus,Cincloramphus macrurus interscapularis/mayri,Cincloramphus macrurus [macrurus Group]
837289fffffffff,2.0,0.0,0.0
83728bfffffffff,77.0,0.0,1.0
83728efffffffff,1.0,0.0,0.0
8372a2fffffffff,13.0,0.0,0.0
8372d2fffffffff,3.0,0.0,0.0
8372dafffffffff,233.0,0.0,7.0
8372dbfffffffff,9.0,0.0,0.0
8372defffffffff,1.0,0.0,0.0
839c85fffffffff,11.0,0.0,1.0
839c8afffffffff,3.0,0.0,0.0
839c8bfffffffff,2.0,0.0,0.0
839c90fffffffff,46.0,8.0,0.0
839c9dfffffffff,7.0,0.0,0.0
839ca6fffffffff,2.0,0.0,0.0
839cd2fffffffff,143.0,0.0,7.0
839cd3fffffffff,1.0,0.0,0.0
