cell_id,Oenanthe oenanthe,Oenanthe oenanthe leucorhoa,Oenanthe oenanthe oenanthe/libanotica
840130bffffffff,2.0,0.0,0.0
840145dffffffff,1.0,0.0,0.0
840153bffffffff,3.0,0.0,0.0
84015e1ffffffff,2.0,0.0,0.0
840689bffffffff,3.0,3.0,0.0
84068d5ffffffff,1.0,1.0,0.0
8406d1dffffffff,8.0,8.0,0.0
8406d53ffffffff,11.0,11.0,0.0
8406d57ffffffff,5.0,5.0,0.0
8406d5bffffffff,5.0,5.0,0.0
8406d69ffffffff,1.0,0.0,0.0
84074e9ffffffff,2.0,2.0,0.0
8407581ffffffff,2.0,2.0,0.0
84075d1ffffffff,1.0,1.0,0.0
840812dffffffff,4.0,0.0,4.0
8408141ffffffff,2.0,0.0,0.0
8408193ffffffff,2.0,0.0,2.0
8408829ffffffff,2.0,0.0,2.0
8408a03ffffffff,2.0,0.0,2.0
8408a15ffffffff,2.0,0.0,2.0
8408a53ffffffff,2.0,0.0,2.0
8408a6dffffffff,4.0,0.0,4.0
8409805ffffffff,2.0,0.0,0.0
840982bffffffff,2.0,0.0,0.0
8409883ffffffff,2.0,0.0,0.0
8409911ffffffff,4.0,0.0,0.0
840991bffffffff,8.0,0.0,0.0
8409993ffffffff,7.0,0.0,5.0
8409997ffffffff,1.0,0.0,1.0
84099b9ffffffff,3.0,0.0,3.0
8409a69ffffffff,3.0,3.0,0.0
840c145ffffffff,31.0,0.0,0.0
840c147ffffffff,5.0,0.0,0.0
840c335ffffffff,2.0,0.0,0.0
840c415ffffffff,4.0,0.0,0.0
840c51dffffffff,3.0,0.0,0.0
840c733ffffffff,5.0,0.0,0.0
840c74dffffffff,2.0,0.0,0.0
840c759ffffffff,5.0,0.0,0.0
840ca2bffffffff,3.0,0.0,0.0
840ca43ffffffff,20.0,0.0,0.0
840d039ffffffff,1.0,0.0,0.0
840d48bffffffff,2.0,0.0,0.0
840d4abffffffff,3.0,0.0,0.0
840d4d5ffffffff,33.0,0.0,0.0
840d569ffffffff,4.0,0.0,0.0
840d6c5ffffffff,2.0,0.0,0.0
840d6e1ffffffff,4.0,0.0,0.0
840d753ffffffff,4.0,0.0,0.0
840e215ffffffff,2.0,0.0,0.0
840e2d3ffffffff,2.0,0.0,0.0
840e2d7ffffffff,2.0,0.0,0.0
840e493ffffffff,8.0,0.0,0.0
840e4dbffffffff,9.0,0.0,0.0
840e805ffffffff,13.0,0.0,0.0
840ecc1ffffffff,1.0,0.0,0.0
840eee3ffffffff,6.0,0.0,0.0
840ef1dffffffff,2.0,0.0,0.0
840f0b1ffffffff,54.0,49.0,0.0
8413b21ffffffff,2.0,0.0,0.0
8415929ffffffff,1.0,0.0,0.0
8418299ffffffff,2.0,1.0,0.0
84182c9ffffffff,2.0,0.0,0.0
84182d3ffffffff,1.0,0.0,1.0
8418461ffffffff,6.0,0.0,4.0
8418493ffffffff,8.0,0.0,8.0
8418495ffffffff,7.0,0.0,0.0
8418497ffffffff,2.0,0.0,0.0
84184b5ffffffff,2.0,0.0,0.0
84184bdffffffff,2.0,0.0,0.0
84185b1ffffffff,2.0,0.0,0.0
84185b3ffffffff,10.0,0.0,0.0
84185b5ffffffff,12.0,0.0,0.0
84185bbffffffff,37.0,0.0,0.0
8418729ffffffff,2.0,2.0,0.0
841873bffffffff,2.0,0.0,2.0
841874bffffffff,2.0,0.0,0.0
8419017ffffffff,1.0,1.0,0.0
84190c5ffffffff,6.0,0.0,0.0
84190c9ffffffff,2.0,2.0,0.0
84190d9ffffffff,1.0,1.0,0.0
84190e1ffffffff,4.0,0.0,4.0
84192a1ffffffff,1.0,1.0,0.0
84192b1ffffffff,4.0,4.0,0.0
84192b5ffffffff,4.0,4.0,0.0
8419401ffffffff,5.0,0.0,0.0
8419403ffffffff,2.0,2.0,0.0
8419413ffffffff,2.0,0.0,2.0
841941bffffffff,1.0,0.0,0.0
8419461ffffffff,2.0,0.0,0.0
84194b9ffffffff,2.0,0.0,0.0
84194c5ffffffff,14.0,5.0,4.0
84194ddffffffff,11.0,0.0,4.0
84194ebffffffff,2.0,0.0,0.0
84194edffffffff,2.0,0.0,2.0
841950dffffffff,2.0,0.0,2.0
8419529ffffffff,1.0,0.0,1.0
841953bffffffff,1.0,1.0,0.0
8419541ffffffff,3.0,0.0,3.0
8419561ffffffff,2.0,0.0,2.0
841959bffffffff,2.0,0.0,0.0
84195bbffffffff,2.0,0.0,0.0
84195d9ffffffff,3.0,0.0,3.0
8419689ffffffff,1.0,0.0,0.0
8419693ffffffff,1.0,0.0,0.0
841969dffffffff,2.0,0.0,2.0
8419739ffffffff,2.0,0.0,0.0
841a849ffffffff,4.0,0.0,0.0
841aa01ffffffff,2.0,0.0,0.0
841aa07ffffffff,35.0,0.0,0.0
841aa23ffffffff,1.0,0.0,0.0
841aa35ffffffff,17.0,0.0,0.0
841aa3dffffffff,19.0,2.0,0.0
841b9e7ffffffff,2.0,0.0,0.0
841e06bffffffff,2.0,0.0,0.0
841e0a9ffffffff,2.0,0.0,2.0
841e0e3ffffffff,1.0,0.0,0.0
841e0e7ffffffff,3.0,0.0,0.0
841e10bffffffff,5.0,0.0,2.0
841e145ffffffff,2.0,0.0,0.0
841e153ffffffff,2.0,0.0,0.0
841e16dffffffff,2.0,0.0,0.0
841e1bbffffffff,4.0,0.0,0.0
841e235ffffffff,1.0,0.0,0.0
841e30bffffffff,2.0,0.0,0.0
841e32bffffffff,1.0,0.0,0.0
841e5cdffffffff,2.0,0.0,0.0
841e5e9ffffffff,1.0,0.0,0.0
841e80bffffffff,1.0,0.0,0.0
841ea41ffffffff,5.0,0.0,5.0
841ea53ffffffff,2.0,0.0,0.0
841ea95ffffffff,2.0,0.0,0.0
841ea97ffffffff,6.0,0.0,0.0
841eb2bffffffff,1.0,1.0,0.0
841ec03ffffffff,3.0,0.0,0.0
841ec1dffffffff,2.0,0.0,0.0
841ec43ffffffff,2.0,0.0,0.0
841ec47ffffffff,1.0,0.0,0.0
841ec6dffffffff,2.0,0.0,0.0
841ec9bffffffff,2.0,0.0,0.0
841eda3ffffffff,6.0,0.0,0.0
841edbbffffffff,2.0,0.0,0.0
841eeb5ffffffff,1.0,0.0,0.0
841ef01ffffffff,16.0,0.0,4.0
841f041ffffffff,1.0,0.0,0.0
841f0a3ffffffff,1.0,0.0,0.0
841f12dffffffff,4.0,0.0,0.0
841f189ffffffff,2.0,0.0,0.0
841f1a5ffffffff,2.0,0.0,2.0
841f23bffffffff,1.0,0.0,1.0
841f283ffffffff,7.0,0.0,7.0
841f327ffffffff,2.0,0.0,0.0
841f337ffffffff,2.0,0.0,0.0
841f519ffffffff,2.0,0.0,0.0
841f535ffffffff,1.0,0.0,0.0
841f72dffffffff,2.0,0.0,0.0
841f897ffffffff,2.0,0.0,2.0
841f89bffffffff,1.0,0.0,0.0
841f89dffffffff,1.0,0.0,1.0
841f8a9ffffffff,2.0,0.0,0.0
841f8b7ffffffff,3.0,0.0,0.0
841f8bdffffffff,4.0,0.0,4.0
841f91bffffffff,2.0,0.0,0.0
841f9a7ffffffff,1.0,0.0,0.0
841f9adffffffff,1.0,0.0,0.0
841f9c3ffffffff,2.0,0.0,0.0
841f9d7ffffffff,6.0,0.0,1.0
841f9e7ffffffff,2.0,0.0,0.0
841fa8dffffffff,2.0,0.0,0.0
841fad3ffffffff,1.0,0.0,0.0
841fb0dffffffff,2.0,0.0,0.0
842049dffffffff,4.0,0.0,4.0
84204d3ffffffff,2.0,0.0,2.0
842099bffffffff,2.0,0.0,0.0
8420e61ffffffff,1.0,0.0,0.0
