cell_id,Turdus migratorius,Turdus migratorius nigrideus,Turdus migratorius [migratorius Group],Turdus migratorius confinis
83262bfffffffff,1.0,0.0,0.0,0.0
83262cfffffffff,10.0,0.0,0.0,0.0
832636fffffffff,15.0,0.0,0.0,0.0
832640fffffffff,24.0,0.0,3.0,0.0
832641fffffffff,2.0,0.0,0.0,0.0
832642fffffffff,1.0,0.0,0.0,0.0
832643fffffffff,1.0,0.0,0.0,0.0
832644fffffffff,2.0,0.0,0.0,0.0
832645fffffffff,3.0,0.0,2.0,0.0
832646fffffffff,29.0,0.0,4.0,0.0
832648fffffffff,22.0,0.0,0.0,0.0
832649fffffffff,5.0,0.0,0.0,0.0
83264afffffffff,8.0,0.0,1.0,0.0
83264bfffffffff,6.0,0.0,2.0,0.0
83264cfffffffff,3.0,0.0,0.0,0.0
83264dfffffffff,64.0,0.0,8.0,0.0
83264efffffffff,16.0,0.0,3.0,0.0
832653fffffffff,5.0,0.0,0.0,0.0
832654fffffffff,1.0,0.0,0.0,0.0
832655fffffffff,4.0,0.0,0.0,0.0
832656fffffffff,18.0,0.0,2.0,0.0
832658fffffffff,4.0,0.0,0.0,0.0
832659fffffffff,16.0,0.0,3.0,0.0
83265afffffffff,2.0,0.0,2.0,0.0
83265bfffffffff,10.0,0.0,0.0,0.0
83265cfffffffff,4.0,0.0,0.0,0.0
83265dfffffffff,2.0,0.0,0.0,0.0
83265efffffffff,7.0,0.0,0.0,0.0
832662fffffffff,3.0,0.0,1.0,0.0
832664fffffffff,35.0,0.0,15.0,0.0
832666fffffffff,3.0,0.0,0.0,0.0
832669fffffffff,7.0,0.0,0.0,0.0
83266afffffffff,1.0,0.0,0.0,0.0
83266bfffffffff,1.0,0.0,0.0,0.0
83266dfffffffff,1.0,0.0,0.0,0.0
83266efffffffff,2.0,0.0,0.0,0.0
832670fffffffff,11.0,0.0,0.0,0.0
832671fffffffff,1.0,0.0,1.0,0.0
832672fffffffff,5.0,0.0,3.0,0.0
832673fffffffff,2.0,0.0,0.0,0.0
832674fffffffff,5.0,0.0,0.0,0.0
832675fffffffff,2.0,0.0,0.0,0.0
832676fffffffff,4.0,0.0,0.0,0.0
832680fffffffff,38.0,0.0,0.0,0.0
832681fffffffff,296.0,0.0,0.0,0.0
832682fffffffff,4.0,0.0,0.0,0.0
832683fffffffff,8.0,0.0,0.0,0.0
832685fffffffff,23.0,0.0,2.0,0.0
832688fffffffff,61.0,0.0,0.0,0.0
832689fffffffff,38.0,0.0,0.0,0.0
83268afffffffff,12.0,0.0,0.0,0.0
83268bfffffffff,8.0,0.0,0.0,0.0
83268cfffffffff,88.0,0.0,0.0,0.0
83268dfffffffff,46.0,0.0,0.0,0.0
83268efffffffff,16.0,0.0,2.0,0.0
832690fffffffff,15.0,0.0,0.0,0.0
832692fffffffff,18.0,0.0,0.0,0.0
832694fffffffff,7.0,0.0,0.0,0.0
832695fffffffff,7.0,0.0,0.0,0.0
832696fffffffff,218.0,0.0,0.0,0.0
832698fffffffff,20.0,0.0,0.0,0.0
832699fffffffff,20.0,0.0,0.0,0.0
83269afffffffff,9.0,0.0,0.0,0.0
83269bfffffffff,6.0,0.0,0.0,0.0
83269cfffffffff,18.0,0.0,0.0,0.0
83269dfffffffff,25.0,0.0,0.0,0.0
8326a1fffffffff,2.0,0.0,2.0,0.0
8326a4fffffffff,3.0,0.0,3.0,0.0
8326a5fffffffff,3.0,0.0,3.0,0.0
8326a8fffffffff,43.0,0.0,0.0,0.0
8326a9fffffffff,3.0,0.0,2.0,0.0
8326aafffffffff,94.0,0.0,4.0,0.0
8326abfffffffff,20.0,0.0,0.0,0.0
8326acfffffffff,2.0,0.0,0.0,0.0
8326adfffffffff,5.0,0.0,0.0,0.0
8326aefffffffff,9.0,0.0,0.0,0.0
8326b6fffffffff,2.0,0.0,0.0,0.0
8326c1fffffffff,8.0,0.0,0.0,0.0
8326c2fffffffff,2.0,0.0,0.0,0.0
8326c4fffffffff,2.0,0.0,0.0,0.0
8326c5fffffffff,2.0,0.0,0.0,0.0
8326c6fffffffff,2.0,0.0,0.0,0.0
8326c8fffffffff,10.0,0.0,0.0,0.0
8326c9fffffffff,1.0,0.0,0.0,0.0
8326cbfffffffff,12.0,0.0,0.0,0.0
8326d0fffffffff,5.0,0.0,0.0,0.0
8326d1fffffffff,10.0,0.0,0.0,0.0
8326d4fffffffff,9.0,0.0,0.0,0.0
8326d5fffffffff,11.0,0.0,0.0,0.0
8326d8fffffffff,1.0,0.0,0.0,0.0
8326dafffffffff,2.0,0.0,0.0,0.0
8326dbfffffffff,2.0,0.0,0.0,0.0
8326defffffffff,7.0,0.0,0.0,0.0
8326e2fffffffff,14.0,0.0,0.0,0.0
8326e3fffffffff,1.0,0.0,0.0,0.0
8326e4fffffffff,5.0,0.0,1.0,0.0
