cell_id,Anas fulvigula,Anas fulvigula fulvigula,Anas fulvigula maculosa
8326c9fffffffff,4.0,0.0,0.0
8326cbfffffffff,5.0,0.0,0.0
832ad0fffffffff,1.0,0.0,0.0
832ad1fffffffff,26.0,0.0,0.0
832ad3fffffffff,62.0,0.0,0.0
834412fffffffff,411.0,26.0,0.0
834413fffffffff,14251.0,1826.0,0.0
834416fffffffff,21.0,0.0,0.0
83441afffffffff,2432.0,297.0,0.0
83441bfffffffff,10.0,0.0,0.0
83441efffffffff,9285.0,614.0,0.0
834440fffffffff,116.0,0.0,0.0
834441fffffffff,3.0,0.0,0.0
834442fffffffff,2.0,0.0,0.0
834443fffffffff,7.0,0.0,0.0
834444fffffffff,128.0,0.0,0.0
834445fffffffff,2631.0,0.0,0.0
834446fffffffff,1078.0,0.0,0.0
83444afffffffff,5.0,0.0,0.0
83444dfffffffff,2.0,0.0,0.0
83444efffffffff,10.0,0.0,0.0
834450fffffffff,2161.0,0.0,92.0
834454fffffffff,2.0,0.0,0.0
834455fffffffff,2868.0,0.0,0.0
834456fffffffff,4.0,0.0,0.0
834459fffffffff,60.0,0.0,0.0
83445dfffffffff,6.0,0.0,0.0
834463fffffffff,964.0,0.0,0.0
834469fffffffff,25.0,0.0,0.0
83446afffffffff,1.0,0.0,1.0
83446bfffffffff,4.0,0.0,0.0
83446cfffffffff,13739.0,0.0,1658.0
83446dfffffffff,2126.0,0.0,15.0
83446efffffffff,2829.0,0.0,86.0
834471fffffffff,437.0,0.0,0.0
834473fffffffff,2512.0,0.0,0.0
8344a1fffffffff,2854.0,249.0,0.0
8344a5fffffffff,44.0,5.0,0.0
8344a8fffffffff,6593.0,358.0,0.0
8344a9fffffffff,5161.0,572.0,0.0
8344abfffffffff,3738.0,367.0,0.0
8344acfffffffff,3693.0,600.0,0.0
8344adfffffffff,1897.0,145.0,0.0
8344aefffffffff,7516.0,691.0,0.0
8344d0fffffffff,2429.0,0.0,0.0
8344d1fffffffff,18.0,0.0,0.0
8344d2fffffffff,1090.0,0.0,0.0
8344d3fffffffff,2.0,0.0,0.0
8344d5fffffffff,2970.0,0.0,0.0
8344f0fffffffff,232.0,0.0,0.0
8344f3fffffffff,2014.0,0.0,0.0
8344f4fffffffff,3730.0,102.0,0.0
8344f5fffffffff,187.0,4.0,0.0
8344f6fffffffff,247.0,0.0,0.0
834549fffffffff,2.0,0.0,0.0
834569fffffffff,6.0,0.0,0.0
83456dfffffffff,5.0,0.0,0.0
834880fffffffff,460.0,0.0,0.0
834881fffffffff,2.0,0.0,0.0
834882fffffffff,568.0,0.0,1.0
834883fffffffff,26.0,0.0,0.0
834884fffffffff,1.0,0.0,0.0
834886fffffffff,279.0,0.0,0.0
834890fffffffff,2952.0,0.0,166.0
834891fffffffff,194.0,0.0,0.0
834892fffffffff,1038.0,0.0,17.0
834893fffffffff,1236.0,0.0,7.0
834895fffffffff,6477.0,0.0,265.0
83489efffffffff,5.0,0.0,0.0
8348a2fffffffff,12.0,0.0,0.0
8348b0fffffffff,2.0,0.0,0.0
8348b1fffffffff,2186.0,0.0,82.0
8348b2fffffffff,9939.0,0.0,1239.0
8348b3fffffffff,18720.0,0.0,1266.0
8348b4fffffffff,9.0,0.0,0.0
8348b5fffffffff,15.0,0.0,0.0
834993fffffffff,1.0,0.0,0.0
834998fffffffff,4.0,0.0,0.0
