cell_id,Phylloscopus humei,Phylloscopus humei humei,Phylloscopus humei mandellii
83200afffffffff,17.0,0.0,0.0
83200efffffffff,6.0,0.0,0.0
832010fffffffff,12.0,0.0,0.0
832012fffffffff,8.0,0.0,0.0
832013fffffffff,12.0,0.0,0.0
832018fffffffff,16.0,0.0,0.0
832019fffffffff,55.0,0.0,0.0
83201afffffffff,46.0,0.0,0.0
83201bfffffffff,11.0,0.0,0.0
83201dfffffffff,3.0,0.0,0.0
832048fffffffff,6.0,0.0,0.0
832049fffffffff,2.0,0.0,0.0
83204afffffffff,22.0,0.0,0.0
83204bfffffffff,19.0,0.0,0.0
83204dfffffffff,17.0,0.0,0.0
832059fffffffff,7.0,0.0,0.0
83205bfffffffff,5.0,0.0,0.0
83205efffffffff,4.0,0.0,0.0
83206afffffffff,6.0,0.0,0.0
83206bfffffffff,6.0,0.0,0.0
83206efffffffff,1.0,0.0,0.0
832080fffffffff,4.0,0.0,0.0
832083fffffffff,6.0,0.0,0.0
83208afffffffff,5.0,0.0,0.0
83208dfffffffff,2.0,0.0,0.0
832098fffffffff,3.0,0.0,0.0
832099fffffffff,18.0,0.0,0.0
83209afffffffff,109.0,0.0,0.0
83209bfffffffff,13.0,0.0,0.0
83209efffffffff,47.0,0.0,0.0
8320a0fffffffff,1.0,0.0,0.0
8320a2fffffffff,56.0,0.0,0.0
8320a5fffffffff,10.0,0.0,0.0
8320a6fffffffff,7.0,0.0,0.0
8320a8fffffffff,4.0,0.0,0.0
8320aafffffffff,1.0,0.0,0.0
8320adfffffffff,25.0,0.0,0.0
8320aefffffffff,2.0,0.0,0.0
8320e0fffffffff,24.0,0.0,0.0
8320e2fffffffff,42.0,0.0,0.0
8320e3fffffffff,23.0,0.0,0.0
8320e4fffffffff,11.0,0.0,0.0
8320e5fffffffff,3.0,0.0,0.0
8320e6fffffffff,204.0,0.0,0.0
8320e9fffffffff,2.0,0.0,0.0
8320eafffffffff,2.0,0.0,0.0
8320eefffffffff,4.0,0.0,0.0
8320f0fffffffff,2.0,0.0,0.0
8320f1fffffffff,8.0,0.0,0.0
8320f5fffffffff,11.0,0.0,0.0
832150fffffffff,1.0,0.0,0.0
832152fffffffff,2.0,0.0,0.0
832153fffffffff,1.0,0.0,0.0
832198fffffffff,3.0,0.0,0.0
83219cfffffffff,2.0,0.0,0.0
832403fffffffff,1.0,0.0,0.0
832404fffffffff,5.0,0.0,0.0
832405fffffffff,1.0,0.0,0.0
83240afffffffff,1.0,0.0,0.0
83240efffffffff,3.0,0.0,0.0
832423fffffffff,4.0,0.0,0.0
832425fffffffff,21.0,0.0,0.0
832426fffffffff,19.0,0.0,0.0
83242cfffffffff,2.0,0.0,0.0
832431fffffffff,1.0,0.0,0.0
832434fffffffff,1.0,0.0,0.0
832460fffffffff,1.0,0.0,0.0
832475fffffffff,4.0,0.0,0.0
832488fffffffff,5.0,0.0,0.0
832489fffffffff,2.0,0.0,0.0
83248bfffffffff,32.0,0.0,0.0
83248efffffffff,2.0,0.0,0.0
8324c6fffffffff,1.0,0.0,0.0
8324d6fffffffff,4.0,0.0,0.0
832508fffffffff,3.0,0.0,0.0
832510fffffffff,9.0,0.0,0.0
832512fffffffff,47.0,0.0,0.0
832513fffffffff,15.0,0.0,0.0
832516fffffffff,6.0,0.0,0.0
83251bfffffffff,1.0,0.0,0.0
832546fffffffff,5.0,0.0,0.0
83255afffffffff,2.0,0.0,0.0
8325a1fffffffff,2.0,0.0,0.0
8325a3fffffffff,4.0,0.0,0.0
8325a4fffffffff,4.0,0.0,0.0
8325a8fffffffff,3.0,0.0,0.0
8325acfffffffff,76.0,0.0,0.0
8325adfffffffff,1.0,0.0,0.0
8325aefffffffff,12.0,0.0,0.0
8325b0fffffffff,30.0,0.0,0.0
8325b2fffffffff,2.0,0.0,0.0
8325b4fffffffff,4.0,0.0,0.0
8325b6fffffffff,3.0,0.0,0.0
833036fffffffff,1.0,0.0,0.0
833185fffffffff,61.0,0.0,0.0
833192fffffffff,13.0,0.0,0.0
833194fffffffff,2.0,0.0,0.0
8331a1fffffffff,1.0,0.0,0.0
8331a3fffffffff,2.0,0.0,0.0
8331a8fffffffff,3.0,0.0,1.0
8331aafffffffff,34.0,0.0,0.0
833c00fffffffff,1.0,0.0,0.0
833c02fffffffff,810.0,0.0,0.0
833c03fffffffff,3.0,0.0,0.0
833c06fffffffff,28.0,0.0,0.0
833c0afffffffff,51.0,0.0,0.0
833c0bfffffffff,52.0,0.0,0.0
833c13fffffffff,5.0,0.0,0.0
833c15fffffffff,124.0,0.0,0.0
833c16fffffffff,1.0,0.0,0.0
833c19fffffffff,53.0,0.0,0.0
833c1cfffffffff,74.0,0.0,0.0
833c1dfffffffff,99.0,0.0,0.0
833c30fffffffff,16.0,0.0,0.0
833c31fffffffff,23.0,0.0,0.0
833c32fffffffff,4.0,0.0,0.0
833c33fffffffff,116.0,0.0,0.0
833c34fffffffff,13.0,0.0,0.0
833c36fffffffff,62.0,0.0,0.0
833c41fffffffff,1.0,0.0,0.0
833c42fffffffff,9.0,0.0,0.0
833c43fffffffff,3.0,0.0,0.0
833c5cfffffffff,11.0,0.0,0.0
833c68fffffffff,28.0,0.0,0.0
833c6afffffffff,26.0,0.0,0.0
833c6bfffffffff,2.0,0.0,0.0
833c6efffffffff,2.0,0.0,0.0
833c84fffffffff,1.0,0.0,0.0
833c8cfffffffff,4.0,0.0,0.0
833c90fffffffff,17.0,0.0,0.0
833c94fffffffff,72.0,0.0,0.0
833ca0fffffffff,3.0,0.0,0.0
833ca2fffffffff,6.0,0.0,0.0
833ca3fffffffff,19.0,0.0,0.0
833ca4fffffffff,16.0,0.0,0.0
833ca5fffffffff,4.0,0.0,0.0
833ca6fffffffff,1.0,0.0,0.0
833ca9fffffffff,1.0,0.0,0.0
833cabfffffffff,2.0,0.0,0.0
833cacfffffffff,3.0,0.0,0.0
833caefffffffff,20.0,0.0,0.0
833cb0fffffffff,13.0,0.0,0.0
833cb1fffffffff,150.0,0.0,0.0
833cb2fffffffff,2.0,0.0,0.0
833cb3fffffffff,15.0,0.0,0.0
833cb4fffffffff,116.0,0.0,0.0
833cb5fffffffff,558.0,0.0,0.0
833cb6fffffffff,72.0,0.0,0.0
833cd8fffffffff,50.0,0.0,0.0
833cd9fffffffff,2.0,0.0,0.0
833cddfffffffff,6.0,0.0,0.0
833ce4fffffffff,85.0,0.0,0.0
833ce5fffffffff,32.0,0.0,0.0
833d00fffffffff,44.0,0.0,0.0
833d04fffffffff,49.0,0.0,0.0
833d10fffffffff,3539.0,0.0,0.0
833d11fffffffff,137.0,0.0,0.0
833d12fffffffff,13.0,0.0,0.0
833d13fffffffff,2382.0,0.0,0.0
833d14fffffffff,182.0,0.0,0.0
833d15fffffffff,54.0,0.0,0.0
833d16fffffffff,61.0,0.0,0.0
833d1afffffffff,79.0,0.0,0.0
833d1efffffffff,779.0,0.0,0.0
833d22fffffffff,12.0,0.0,0.0
833d26fffffffff,3.0,0.0,0.0
833d30fffffffff,67.0,0.0,0.0
833d31fffffffff,28.0,0.0,0.0
833d32fffffffff,79.0,0.0,0.0
833d33fffffffff,192.0,0.0,0.0
833d34fffffffff,42.0,0.0,0.0
833d35fffffffff,46.0,0.0,0.0
833d36fffffffff,167.0,0.0,0.0
833d80fffffffff,11.0,0.0,0.0
833d81fffffffff,19.0,0.0,0.0
833d83fffffffff,25.0,0.0,0.0
833d84fffffffff,230.0,0.0,0.0
833d85fffffffff,196.0,0.0,0.0
833d86fffffffff,52.0,0.0,0.0
833d89fffffffff,8.0,0.0,0.0
833d8bfffffffff,31.0,0.0,0.0
833d8cfffffffff,21.0,0.0,0.0
833d8dfffffffff,121.0,0.0,0.0
833d8efffffffff,3.0,0.0,0.0
833d90fffffffff,2.0,0.0,0.0
833d91fffffffff,73.0,0.0,0.0
833d92fffffffff,20.0,0.0,0.0
833d93fffffffff,47.0,0.0,0.0
833d94fffffffff,2.0,0.0,0.0
833d95fffffffff,2.0,0.0,0.0
833d96fffffffff,70.0,0.0,0.0
833d98fffffffff,83.0,0.0,0.0
833d99fffffffff,83.0,0.0,0.0
833d9afffffffff,145.0,0.0,0.0
833d9bfffffffff,735.0,0.0,0.0
833d9dfffffffff,186.0,0.0,0.0
833d9efffffffff,874.0,0.0,0.0
833da0fffffffff,25.0,0.0,0.0
833da1fffffffff,2219.0,0.0,0.0
833da2fffffffff,99.0,0.0,0.0
833da3fffffffff,683.0,0.0,0.0
833da5fffffffff,40.0,0.0,0.0
833da6fffffffff,39.0,0.0,0.0
833da8fffffffff,1.0,0.0,0.0
833da9fffffffff,80.0,0.0,0.0
833daafffffffff,7.0,0.0,0.0
833dabfffffffff,8.0,0.0,0.0
833dacfffffffff,154.0,0.0,0.0
833dadfffffffff,1728.0,0.0,0.0
833daefffffffff,11.0,0.0,0.0
833db0fffffffff,90.0,0.0,0.0
833db1fffffffff,15.0,0.0,0.0
833db2fffffffff,22.0,0.0,0.0
833db3fffffffff,75.0,0.0,0.0
833db5fffffffff,20.0,0.0,0.0
833db6fffffffff,96.0,0.0,0.0
834041fffffffff,4.0,0.0,1.0
834043fffffffff,9.0,0.0,0.0
834044fffffffff,6.0,0.0,0.0
83404cfffffffff,50.0,0.0,0.0
83404dfffffffff,62.0,0.0,0.0
83404efffffffff,5.0,0.0,0.0
834058fffffffff,6.0,0.0,0.0
83405bfffffffff,3.0,0.0,0.0
83405cfffffffff,9.0,0.0,0.0
83406bfffffffff,2.0,0.0,0.0
834080fffffffff,1.0,0.0,0.0
834089fffffffff,2.0,0.0,0.0
8340a1fffffffff,2.0,0.0,0.0
8340a8fffffffff,5.0,0.0,0.0
8340aefffffffff,2.0,0.0,0.0
8340c0fffffffff,6.0,0.0,0.0
8340c1fffffffff,37.0,0.0,0.0
8340c2fffffffff,91.0,0.0,1.0
8340c4fffffffff,1.0,0.0,0.0
8340c5fffffffff,70.0,0.0,0.0
8340c6fffffffff,16.0,0.0,0.0
8340cefffffffff,3.0,0.0,0.0
8340d3fffffffff,1.0,0.0,0.0
8340dcfffffffff,13.0,0.0,2.0
8340defffffffff,15.0,0.0,0.0
8340e1fffffffff,8.0,0.0,0.0
8340e3fffffffff,10.0,0.0,0.0
8340e5fffffffff,3.0,0.0,0.0
8340e8fffffffff,2.0,0.0,0.0
8340ecfffffffff,2.0,0.0,0.0
8340eefffffffff,7.0,0.0,0.0
83411cfffffffff,29.0,0.0,5.0
834149fffffffff,2.0,0.0,0.0
83414cfffffffff,9.0,0.0,0.0
83415cfffffffff,2.0,0.0,0.0
834160fffffffff,2.0,0.0,0.0
834249fffffffff,213.0,0.0,0.0
83424bfffffffff,3.0,0.0,0.0
83424dfffffffff,1.0,0.0,0.0
834251fffffffff,2.0,0.0,0.0
834253fffffffff,14.0,0.0,0.0
834258fffffffff,19.0,0.0,0.0
834259fffffffff,10.0,0.0,0.0
83425afffffffff,9.0,0.0,0.0
83425dfffffffff,2.0,0.0,0.0
834269fffffffff,267.0,0.0,0.0
83426dfffffffff,2.0,0.0,0.0
8342c0fffffffff,6.0,0.0,0.0
8342c1fffffffff,28.0,0.0,0.0
8342c2fffffffff,58.0,0.0,0.0
8342c3fffffffff,3.0,0.0,0.0
8342c4fffffffff,22.0,0.0,0.0
8342c8fffffffff,5.0,0.0,0.0
8342c9fffffffff,1.0,0.0,0.0
8342cafffffffff,10.0,0.0,0.0
8342cbfffffffff,7.0,0.0,0.0
8342ccfffffffff,121.0,0.0,0.0
8342cdfffffffff,27.0,0.0,0.0
8342cefffffffff,175.0,0.0,0.0
8342d9fffffffff,67.0,0.0,0.0
8342dbfffffffff,48.0,0.0,0.0
8342dcfffffffff,45.0,0.0,0.0
8342ddfffffffff,16.0,0.0,0.0
8342e4fffffffff,5.0,0.0,0.0
8342e9fffffffff,19.0,0.0,0.0
8342ebfffffffff,150.0,0.0,0.0
8343a0fffffffff,12.0,0.0,0.0
8343acfffffffff,5.0,0.0,0.0
8343aefffffffff,11.0,0.0,0.0
836014fffffffff,130.0,0.0,0.0
836016fffffffff,403.0,0.0,0.0
836080fffffffff,11.0,0.0,0.0
836088fffffffff,98.0,0.0,0.0
83608afffffffff,47.0,0.0,0.0
83608bfffffffff,192.0,0.0,0.0
83608efffffffff,5.0,0.0,0.0
836090fffffffff,38.0,0.0,0.0
836091fffffffff,22.0,0.0,0.0
836092fffffffff,2207.0,0.0,0.0
836093fffffffff,107.0,0.0,0.0
836094fffffffff,22.0,0.0,0.0
836095fffffffff,1.0,0.0,0.0
836096fffffffff,388.0,0.0,0.0
836098fffffffff,8.0,0.0,0.0
836099fffffffff,5.0,0.0,0.0
83609afffffffff,10.0,0.0,0.0
83609bfffffffff,1.0,0.0,0.0
83609cfffffffff,16.0,0.0,0.0
83609dfffffffff,7.0,0.0,0.0
83609efffffffff,32.0,0.0,0.0
8360a0fffffffff,5.0,0.0,0.0
8360a3fffffffff,1.0,0.0,0.0
8360aefffffffff,8.0,0.0,0.0
8360b2fffffffff,2.0,0.0,0.0
8360b6fffffffff,4.0,0.0,0.0
836189fffffffff,17.0,0.0,0.0
836482fffffffff,528.0,0.0,0.0
836484fffffffff,2.0,0.0,0.0
836490fffffffff,57.0,0.0,0.0
836491fffffffff,1124.0,0.0,0.0
836494fffffffff,8.0,0.0,0.0
836498fffffffff,24.0,0.0,0.0
83649cfffffffff,2.0,0.0,0.0
8364a3fffffffff,7.0,0.0,0.0
8364b0fffffffff,25.0,0.0,0.0
8364b1fffffffff,8.0,0.0,0.0
8364b4fffffffff,2.0,0.0,0.0
8364b5fffffffff,10.0,0.0,0.0
836934fffffffff,16.0,0.0,0.0
