cell_id,Piaya cayana,Piaya cayana mexicana,Piaya cayana thermophila,Piaya cayana nigricrissa,Piaya cayana [cayana Group]
8444249ffffffff,34.0,0.0,0.0,0.0,0.0
8445011ffffffff,30.0,0.0,0.0,0.0,0.0
8445013ffffffff,4.0,0.0,2.0,0.0,0.0
8445017ffffffff,2.0,0.0,0.0,0.0,0.0
8445019ffffffff,123.0,0.0,10.0,0.0,0.0
844501bffffffff,75.0,0.0,13.0,0.0,0.0
8445053ffffffff,25.0,0.0,10.0,0.0,0.0
8445057ffffffff,7.0,0.0,0.0,0.0,0.0
8445059ffffffff,17.0,0.0,0.0,0.0,0.0
844505bffffffff,215.0,0.0,17.0,0.0,0.0
8445081ffffffff,3.0,0.0,0.0,0.0,0.0
8445083ffffffff,142.0,0.0,32.0,0.0,0.0
8445085ffffffff,259.0,0.0,31.0,0.0,0.0
8445087ffffffff,340.0,0.0,32.0,0.0,0.0
8445089ffffffff,6.0,0.0,0.0,0.0,0.0
844508bffffffff,3.0,0.0,0.0,0.0,0.0
844508dffffffff,123.0,0.0,8.0,0.0,0.0
8445091ffffffff,30.0,0.0,7.0,0.0,0.0
8445093ffffffff,12.0,0.0,7.0,0.0,0.0
8445095ffffffff,6.0,0.0,0.0,0.0,0.0
8445097ffffffff,7.0,0.0,0.0,0.0,0.0
8445099ffffffff,21.0,0.0,0.0,0.0,0.0
844509bffffffff,318.0,0.0,170.0,0.0,0.0
844509dffffffff,8.0,0.0,0.0,0.0,0.0
84450a1ffffffff,866.0,0.0,26.0,0.0,0.0
84450a3ffffffff,230.0,0.0,32.0,0.0,0.0
84450a5ffffffff,119.0,0.0,14.0,0.0,0.0
84450a7ffffffff,64.0,0.0,5.0,0.0,0.0
84450a9ffffffff,96.0,0.0,2.0,0.0,0.0
84450abffffffff,137.0,0.0,13.0,0.0,0.0
84450adffffffff,26.0,0.0,0.0,0.0,0.0
84450b1ffffffff,221.0,0.0,12.0,0.0,0.0
84450b5ffffffff,200.0,0.0,14.0,0.0,0.0
84450b9ffffffff,58.0,0.0,6.0,0.0,0.0
84450bbffffffff,1.0,0.0,0.0,0.0,0.0
84450bdffffffff,89.0,0.0,11.0,0.0,0.0
84450c1ffffffff,39.0,0.0,6.0,0.0,0.0
84450c3ffffffff,2.0,0.0,0.0,0.0,0.0
