cell_id,Cyanocompsa parellina,Cyanocompsa parellina parellina/beneplacita,Cyanocompsa parellina indigotica
824507fffffffff,92.0,0.0,0.0
82450ffffffffff,2342.0,345.0,0.0
82451ffffffffff,3.0,0.0,0.0
824527fffffffff,89.0,0.0,0.0
82452ffffffffff,7049.0,297.0,0.0
824537fffffffff,9.0,0.0,0.0
824577fffffffff,31.0,1.0,0.0
824807fffffffff,30.0,0.0,0.0
824817fffffffff,3.0,0.0,0.0
824837fffffffff,1671.0,0.0,107.0
8248a7fffffffff,349.0,0.0,0.0
8248b7fffffffff,14.0,0.0,0.0
824987fffffffff,2.0,0.0,0.0
82498ffffffffff,1.0,0.0,0.0
824997fffffffff,446.0,125.0,0.0
82499ffffffffff,228.0,0.0,0.0
8249a7fffffffff,101.0,0.0,36.0
8249affffffffff,1017.0,0.0,122.0
8249b7fffffffff,24.0,0.0,0.0
826d07fffffffff,58.0,2.0,0.0
826d17fffffffff,853.0,0.0,226.0
826d27fffffffff,271.0,63.0,0.0
826d37fffffffff,132.0,22.0,8.0
826d67fffffffff,169.0,0.0,0.0
826d77fffffffff,132.0,0.0,0.0
