cell_id,Crypturellus cinnamomeus,Crypturellus cinnamomeus occidentalis,Crypturellus cinnamomeus [cinnamomeus Group]
844501bffffffff,1.0,0.0,0.0
84450d9ffffffff,1.0,0.0,0.0
84450ebffffffff,3.0,0.0,3.0
8445249ffffffff,2.0,0.0,0.0
8445263ffffffff,4.0,0.0,0.0
8445281ffffffff,2.0,0.0,0.0
8445287ffffffff,9.0,0.0,0.0
84452a5ffffffff,1.0,0.0,0.0
84452a9ffffffff,2.0,0.0,2.0
84452adffffffff,3.0,0.0,0.0
84452b9ffffffff,6.0,0.0,0.0
84452bdffffffff,3.0,0.0,3.0
84452e1ffffffff,72.0,0.0,0.0
84452e5ffffffff,1.0,0.0,0.0
84452e7ffffffff,1.0,0.0,0.0
84452e9ffffffff,1.0,0.0,0.0
84452edffffffff,1.0,0.0,0.0
8445725ffffffff,4.0,0.0,4.0
8449903ffffffff,2.0,0.0,0.0
8449961ffffffff,7.0,0.0,0.0
8449967ffffffff,2.0,0.0,2.0
8449969ffffffff,3.0,0.0,3.0
8449987ffffffff,5.0,0.0,0.0
8449a3dffffffff,1.0,0.0,0.0
8449a89ffffffff,1.0,0.0,0.0
8449b53ffffffff,1.0,1.0,0.0
846d159ffffffff,5.0,0.0,0.0
846d21dffffffff,6.0,0.0,0.0
846d239ffffffff,8.0,0.0,0.0
846d23dffffffff,2.0,0.0,2.0
846d257ffffffff,1.0,0.0,0.0
846d295ffffffff,39.0,0.0,0.0
846d297ffffffff,2.0,0.0,0.0
846d2abffffffff,1.0,0.0,0.0
846d2b9ffffffff,15.0,0.0,6.0
846d2ebffffffff,5.0,0.0,0.0
846d30dffffffff,8.0,0.0,4.0
846d337ffffffff,9.0,0.0,0.0
846d35dffffffff,5.0,0.0,0.0
846d66dffffffff,10.0,0.0,0.0
846d683ffffffff,1.0,0.0,1.0
846d685ffffffff,1.0,0.0,0.0
846d695ffffffff,4.0,0.0,0.0
846d697ffffffff,2.0,0.0,0.0
846d69dffffffff,13.0,0.0,0.0
846d74dffffffff,2.0,0.0,0.0
