cell_id,Pellorneum rostratum,Pellorneum rostratum rostratum,Pellorneum rostratum macropterum
826427fffffffff,4.0,0.0,0.0
826437fffffffff,67.0,1.0,0.0
826507fffffffff,174.0,0.0,0.0
82650ffffffffff,1.0,0.0,0.0
82651ffffffffff,96.0,6.0,0.0
826527fffffffff,224.0,0.0,0.0
826807fffffffff,19.0,0.0,0.0
826817fffffffff,45.0,0.0,1.0
82681ffffffffff,1004.0,0.0,14.0
82688ffffffffff,4.0,0.0,1.0
826897fffffffff,10.0,0.0,0.0
8268a7fffffffff,10.0,0.0,0.0
8268affffffffff,7.0,0.0,0.0
8268b7fffffffff,2.0,0.0,0.0
828c8ffffffffff,1.0,0.0,0.0
828c97fffffffff,26.0,0.0,0.0
828caffffffffff,17.0,0.0,0.0
828cb7fffffffff,2.0,0.0,0.0
