cell_id,Cnemotriccus fuscatus,Cnemotriccus fuscatus duidae,Cnemotriccus fuscatus [fuscatus Group]
835f12fffffffff,2.0,0.0,0.0
835f13fffffffff,1.0,0.0,0.0
835f1cfffffffff,9.0,0.0,0.0
835f1dfffffffff,1.0,0.0,0.0
835f29fffffffff,2.0,0.0,0.0
835f43fffffffff,2.0,0.0,0.0
835f48fffffffff,1.0,0.0,0.0
835f50fffffffff,6.0,0.0,0.0
835f58fffffffff,16.0,0.0,0.0
835f5bfffffffff,429.0,0.0,0.0
835f68fffffffff,2.0,0.0,0.0
836602fffffffff,3.0,0.0,0.0
836604fffffffff,22.0,0.0,0.0
836606fffffffff,9.0,0.0,0.0
836608fffffffff,23.0,0.0,0.0
836609fffffffff,3.0,0.0,0.0
83660afffffffff,4.0,0.0,0.0
83660cfffffffff,4.0,0.0,0.0
836619fffffffff,8.0,0.0,0.0
83661dfffffffff,1.0,0.0,0.0
836620fffffffff,7.0,0.0,0.0
836621fffffffff,24.0,0.0,0.0
836622fffffffff,16.0,0.0,0.0
836623fffffffff,5.0,0.0,0.0
836625fffffffff,2.0,0.0,0.0
836631fffffffff,69.0,0.0,0.0
836641fffffffff,95.0,18.0,0.0
836648fffffffff,1.0,0.0,0.0
836652fffffffff,11.0,0.0,0.0
836654fffffffff,45.0,0.0,0.0
836656fffffffff,31.0,0.0,0.0
83665afffffffff,123.0,8.0,0.0
83665efffffffff,2.0,0.0,0.0
836660fffffffff,10.0,0.0,0.0
836662fffffffff,2.0,0.0,0.0
836663fffffffff,14.0,0.0,0.0
836664fffffffff,2.0,0.0,0.0
83666cfffffffff,2.0,0.0,0.0
836670fffffffff,2.0,0.0,0.0
836672fffffffff,29.0,0.0,0.0
836673fffffffff,9.0,0.0,0.0
836674fffffffff,3.0,0.0,0.0
836675fffffffff,48.0,0.0,0.0
836676fffffffff,2.0,0.0,0.0
8366c2fffffffff,2.0,0.0,0.0
8366c4fffffffff,29.0,0.0,0.0
8366cefffffffff,9.0,0.0,0.0
8366dbfffffffff,1.0,0.0,0.0
8366dcfffffffff,196.0,0.0,23.0
8366ddfffffffff,19.0,0.0,5.0
8366defffffffff,8.0,0.0,0.0
8366e0fffffffff,52.0,0.0,0.0
8366e1fffffffff,2.0,0.0,0.0
8366e2fffffffff,10.0,0.0,0.0
8366e4fffffffff,21.0,0.0,0.0
8366e5fffffffff,3.0,0.0,0.0
8366e6fffffffff,67.0,0.0,0.0
8366ecfffffffff,19.0,0.0,0.0
836741fffffffff,1.0,0.0,1.0
836743fffffffff,31.0,0.0,0.0
83674cfffffffff,14.0,0.0,0.0
83674efffffffff,31.0,0.0,0.0
836751fffffffff,2.0,0.0,0.0
836752fffffffff,9.0,0.0,0.0
836753fffffffff,41.0,0.0,0.0
83675cfffffffff,18.0,0.0,0.0
83675efffffffff,1.0,0.0,0.0
838002fffffffff,2.0,0.0,0.0
838005fffffffff,11.0,0.0,0.0
838006fffffffff,9.0,0.0,0.0
838010fffffffff,22.0,0.0,0.0
838011fffffffff,18.0,0.0,0.0
838012fffffffff,2.0,0.0,0.0
838013fffffffff,1.0,0.0,0.0
838014fffffffff,2.0,0.0,0.0
838015fffffffff,2.0,0.0,0.0
838016fffffffff,2.0,0.0,0.0
838026fffffffff,2.0,0.0,0.0
838030fffffffff,74.0,0.0,5.0
838032fffffffff,2.0,0.0,0.0
838034fffffffff,1.0,0.0,0.0
838035fffffffff,4.0,0.0,0.0
838036fffffffff,22.0,0.0,0.0
838040fffffffff,6.0,0.0,0.0
838071fffffffff,3.0,0.0,0.0
838100fffffffff,2.0,0.0,0.0
838101fffffffff,2.0,0.0,0.0
838102fffffffff,20.0,0.0,1.0
838104fffffffff,3.0,0.0,0.0
838106fffffffff,3.0,0.0,1.0
83811afffffffff,1.0,0.0,0.0
838121fffffffff,29.0,0.0,1.0
838123fffffffff,3.0,0.0,0.0
838124fffffffff,52.0,0.0,0.0
83812dfffffffff,1.0,0.0,0.0
838130fffffffff,2.0,0.0,0.0
838133fffffffff,20.0,0.0,0.0
838134fffffffff,1.0,0.0,0.0
838136fffffffff,5.0,0.0,0.0
838140fffffffff,5.0,0.0,0.0
838142fffffffff,1.0,0.0,0.0
838144fffffffff,4.0,0.0,0.0
838145fffffffff,4.0,0.0,0.0
838146fffffffff,3.0,0.0,0.0
838158fffffffff,1.0,0.0,0.0
838159fffffffff,2.0,0.0,0.0
83815afffffffff,2.0,0.0,0.0
83815cfffffffff,4.0,0.0,0.0
83815efffffffff,2.0,0.0,0.0
838162fffffffff,8.0,0.0,0.0
838163fffffffff,19.0,0.0,0.0
838166fffffffff,6.0,0.0,0.0
838171fffffffff,131.0,0.0,0.0
838173fffffffff,2.0,0.0,0.0
838174fffffffff,2.0,0.0,0.0
838175fffffffff,10.0,0.0,0.0
838181fffffffff,3.0,0.0,0.0
838188fffffffff,5.0,0.0,0.0
83818dfffffffff,2.0,0.0,0.0
83818efffffffff,7.0,0.0,0.0
83819dfffffffff,5.0,0.0,0.0
8381adfffffffff,7.0,0.0,0.0
838a00fffffffff,1.0,0.0,1.0
838a05fffffffff,9.0,3.0,3.0
838a21fffffffff,11.0,0.0,0.0
838a23fffffffff,1.0,0.0,0.0
838a24fffffffff,3.0,0.0,0.0
838a25fffffffff,2.0,0.0,0.0
838a2efffffffff,3.0,0.0,0.0
838a31fffffffff,14.0,0.0,0.0
838a45fffffffff,89.0,0.0,1.0
838a63fffffffff,2.0,0.0,0.0
838a68fffffffff,2.0,0.0,0.0
838a69fffffffff,21.0,0.0,0.0
838a6dfffffffff,57.0,7.0,1.0
838a8cfffffffff,10.0,0.0,7.0
838a92fffffffff,3.0,0.0,0.0
838aabfffffffff,16.0,0.0,0.0
838adafffffffff,7.0,0.0,0.0
838ae5fffffffff,1.0,0.0,0.0
838af0fffffffff,5.0,0.0,2.0
838af1fffffffff,1.0,1.0,0.0
838af2fffffffff,8.0,4.0,0.0
838af6fffffffff,101.0,0.0,9.0
838b00fffffffff,1.0,0.0,0.0
838b04fffffffff,2.0,0.0,0.0
838b06fffffffff,2.0,0.0,0.0
838b0afffffffff,2.0,0.0,0.0
838b0bfffffffff,6.0,0.0,0.0
838b0cfffffffff,15.0,0.0,0.0
838b0dfffffffff,36.0,0.0,0.0
838b11fffffffff,12.0,0.0,0.0
838b1afffffffff,1.0,0.0,0.0
838b1efffffffff,7.0,0.0,0.0
838b20fffffffff,5.0,0.0,0.0
838b21fffffffff,2.0,0.0,0.0
838b22fffffffff,28.0,0.0,0.0
838b25fffffffff,5.0,0.0,0.0
838b26fffffffff,14.0,0.0,0.0
838b2afffffffff,6.0,0.0,0.0
838b2bfffffffff,5.0,0.0,0.0
838b31fffffffff,6.0,0.0,0.0
838b36fffffffff,2.0,0.0,0.0
838b40fffffffff,9.0,0.0,0.0
838b42fffffffff,5.0,0.0,0.0
838b44fffffffff,15.0,0.0,4.0
838b52fffffffff,5.0,0.0,0.0
838b56fffffffff,11.0,0.0,0.0
838b5cfffffffff,11.0,0.0,0.0
838b62fffffffff,2.0,0.0,1.0
838b63fffffffff,2.0,0.0,2.0
838b69fffffffff,10.0,0.0,0.0
838b6efffffffff,14.0,0.0,0.0
838b71fffffffff,17.0,0.0,2.0
838b75fffffffff,12.0,0.0,1.0
838b76fffffffff,1.0,0.0,0.0
838b84fffffffff,14.0,0.0,0.0
838b88fffffffff,1.0,0.0,0.0
838b99fffffffff,9.0,0.0,0.0
838b9dfffffffff,6.0,0.0,0.0
838ba0fffffffff,1.0,0.0,0.0
838ba6fffffffff,10.0,0.0,0.0
838bb5fffffffff,140.0,0.0,0.0
838f44fffffffff,9.0,0.0,9.0
838f48fffffffff,4.0,0.0,0.0
838f4afffffffff,6.0,0.0,0.0
838f4cfffffffff,11.0,0.0,0.0
838f61fffffffff,10.0,0.0,0.0
838f65fffffffff,22.0,22.0,0.0
838f6bfffffffff,3.0,0.0,0.0
838f6efffffffff,3.0,0.0,0.0
838f74fffffffff,2.0,0.0,0.0
83a596fffffffff,4.0,0.0,0.0
83a801fffffffff,40.0,0.0,0.0
83a806fffffffff,20.0,0.0,2.0
83a808fffffffff,2.0,0.0,0.0
83a809fffffffff,10.0,0.0,0.0
83a80bfffffffff,12.0,0.0,0.0
83a80cfffffffff,15.0,0.0,0.0
83a80dfffffffff,2.0,0.0,0.0
83a80efffffffff,3.0,0.0,0.0
83a810fffffffff,85.0,0.0,0.0
83a811fffffffff,20.0,0.0,0.0
83a812fffffffff,52.0,0.0,10.0
83a813fffffffff,15.0,0.0,0.0
83a814fffffffff,10.0,0.0,0.0
83a815fffffffff,19.0,0.0,0.0
83a818fffffffff,136.0,0.0,0.0
83a819fffffffff,18.0,0.0,0.0
83a81afffffffff,31.0,0.0,0.0
83a81bfffffffff,30.0,0.0,0.0
83a81cfffffffff,134.0,0.0,0.0
83a81dfffffffff,31.0,0.0,0.0
83a81efffffffff,453.0,0.0,0.0
83a828fffffffff,17.0,0.0,0.0
83a829fffffffff,4.0,0.0,0.0
83a82afffffffff,6.0,0.0,0.0
83a82bfffffffff,17.0,0.0,0.0
83a82cfffffffff,1.0,0.0,0.0
83a82dfffffffff,11.0,0.0,0.0
83a82efffffffff,2.0,0.0,0.0
83a831fffffffff,82.0,0.0,0.0
83a833fffffffff,58.0,0.0,1.0
83a835fffffffff,45.0,0.0,0.0
83a840fffffffff,48.0,0.0,0.0
83a841fffffffff,7.0,0.0,0.0
83a842fffffffff,10.0,0.0,0.0
83a843fffffffff,4.0,0.0,0.0
83a844fffffffff,27.0,0.0,0.0
83a845fffffffff,1.0,0.0,0.0
83a846fffffffff,46.0,0.0,0.0
83a84afffffffff,10.0,0.0,0.0
83a84efffffffff,2.0,0.0,0.0
83a850fffffffff,5.0,0.0,0.0
83a851fffffffff,2.0,0.0,0.0
83a852fffffffff,1.0,0.0,0.0
83a853fffffffff,1.0,0.0,0.0
83a854fffffffff,1.0,0.0,0.0
83a855fffffffff,11.0,0.0,0.0
83a856fffffffff,3.0,0.0,0.0
83a859fffffffff,859.0,0.0,0.0
83a85bfffffffff,6.0,0.0,0.0
83a85dfffffffff,262.0,0.0,0.0
83a85efffffffff,1.0,0.0,0.0
83a860fffffffff,9.0,0.0,0.0
83a862fffffffff,3.0,0.0,0.0
83a863fffffffff,4.0,0.0,0.0
83a864fffffffff,3.0,0.0,0.0
83a866fffffffff,12.0,0.0,0.0
83a868fffffffff,1.0,0.0,0.0
83a86afffffffff,4.0,0.0,0.0
83a86bfffffffff,4.0,0.0,0.0
83a86efffffffff,5.0,0.0,0.0
83a872fffffffff,2.0,0.0,0.0
83a873fffffffff,4.0,0.0,0.0
83a875fffffffff,5.0,0.0,0.0
83a876fffffffff,2.0,0.0,0.0
83a881fffffffff,18.0,0.0,0.0
83a883fffffffff,2.0,0.0,0.0
83a884fffffffff,1.0,0.0,1.0
83a885fffffffff,2.0,0.0,0.0
83a886fffffffff,5.0,0.0,0.0
83a888fffffffff,2.0,0.0,0.0
83a889fffffffff,9.0,0.0,0.0
83a88bfffffffff,14.0,0.0,0.0
83a88cfffffffff,28.0,0.0,0.0
83a88dfffffffff,44.0,0.0,6.0
83a88efffffffff,31.0,0.0,0.0
83a891fffffffff,10.0,0.0,0.0
83a895fffffffff,2.0,0.0,0.0
83a89bfffffffff,4.0,0.0,0.0
83a8a0fffffffff,52.0,0.0,0.0
83a8a1fffffffff,16.0,0.0,1.0
83a8a2fffffffff,78.0,0.0,1.0
83a8a3fffffffff,5.0,0.0,0.0
83a8a5fffffffff,6.0,0.0,0.0
83a8a8fffffffff,5.0,0.0,0.0
83a8a9fffffffff,40.0,0.0,0.0
83a8aafffffffff,8.0,0.0,0.0
83a8abfffffffff,6.0,0.0,0.0
83a8acfffffffff,2.0,0.0,0.0
83a8adfffffffff,9.0,0.0,0.0
83a8aefffffffff,4.0,0.0,0.0
83a8b1fffffffff,8.0,0.0,0.0
83a8c0fffffffff,85.0,0.0,0.0
83a8c1fffffffff,3.0,0.0,0.0
