cell_id,Nyctanassa violacea,Nyctanassa violacea [violacea Group],Nyctanassa violacea pauper
831259fffffffff,15.0,0.0,0.0
8312ccfffffffff,58.0,0.0,0.0
831823fffffffff,2.0,0.0,0.0
831aa0fffffffff,24.0,2.0,0.0
831aa3fffffffff,10.0,0.0,0.0
831ab0fffffffff,1.0,0.0,0.0
832600fffffffff,1.0,0.0,0.0
832601fffffffff,7.0,0.0,0.0
832603fffffffff,1.0,0.0,0.0
832608fffffffff,4.0,0.0,0.0
832609fffffffff,2.0,0.0,0.0
83260afffffffff,18.0,0.0,0.0
83260bfffffffff,1.0,0.0,0.0
832618fffffffff,1.0,0.0,0.0
832619fffffffff,8.0,0.0,0.0
83261bfffffffff,3.0,0.0,0.0
83261dfffffffff,4.0,0.0,0.0
832620fffffffff,9.0,0.0,0.0
832621fffffffff,16.0,0.0,0.0
832623fffffffff,1.0,0.0,0.0
832626fffffffff,4.0,0.0,0.0
832628fffffffff,35.0,2.0,0.0
83262bfffffffff,3.0,0.0,0.0
83262cfffffffff,80.0,0.0,0.0
832634fffffffff,1.0,0.0,0.0
832640fffffffff,14.0,0.0,0.0
832641fffffffff,2.0,0.0,0.0
832643fffffffff,3.0,0.0,0.0
832646fffffffff,22.0,0.0,0.0
832648fffffffff,29.0,0.0,0.0
83264afffffffff,11.0,0.0,0.0
83264bfffffffff,11.0,0.0,0.0
83264cfffffffff,25.0,0.0,0.0
83264dfffffffff,27.0,0.0,0.0
83264efffffffff,14.0,0.0,0.0
832652fffffffff,16.0,0.0,0.0
832653fffffffff,29.0,2.0,0.0
832654fffffffff,13.0,0.0,0.0
832655fffffffff,8.0,0.0,0.0
832656fffffffff,2.0,0.0,0.0
832659fffffffff,21.0,0.0,0.0
83265bfffffffff,4.0,0.0,0.0
83265cfffffffff,2.0,0.0,0.0
83265dfffffffff,4.0,0.0,0.0
83265efffffffff,6.0,0.0,0.0
832660fffffffff,3.0,0.0,0.0
832661fffffffff,42.0,0.0,0.0
832662fffffffff,2.0,0.0,0.0
832663fffffffff,46.0,0.0,0.0
832664fffffffff,138.0,0.0,0.0
832665fffffffff,7.0,0.0,0.0
832666fffffffff,6.0,0.0,0.0
832668fffffffff,37.0,0.0,0.0
83266afffffffff,2.0,0.0,0.0
83266cfffffffff,2.0,0.0,0.0
83266dfffffffff,3.0,0.0,0.0
832671fffffffff,7.0,0.0,0.0
832672fffffffff,1.0,0.0,0.0
832674fffffffff,4.0,0.0,0.0
832676fffffffff,19.0,0.0,0.0
832681fffffffff,50.0,0.0,0.0
832688fffffffff,59.0,0.0,0.0
83268cfffffffff,156.0,0.0,0.0
83268dfffffffff,3.0,0.0,0.0
832692fffffffff,2.0,0.0,0.0
8326a9fffffffff,25.0,0.0,0.0
8326aafffffffff,10.0,0.0,0.0
8326c1fffffffff,2.0,0.0,0.0
8326c4fffffffff,2.0,0.0,0.0
8326c6fffffffff,4.0,0.0,0.0
8326c8fffffffff,14.0,0.0,0.0
8326cafffffffff,2.0,0.0,0.0
8326cbfffffffff,12.0,0.0,0.0
8326d1fffffffff,5.0,0.0,0.0
8326d2fffffffff,2.0,0.0,0.0
8326d3fffffffff,43.0,0.0,0.0
8326d4fffffffff,15.0,0.0,0.0
8326d5fffffffff,6.0,0.0,0.0
8326d8fffffffff,2.0,0.0,0.0
8326dafffffffff,3.0,0.0,0.0
8326dcfffffffff,2.0,0.0,0.0
8326ddfffffffff,1.0,0.0,0.0
8326defffffffff,1.0,0.0,0.0
8326e2fffffffff,12.0,0.0,0.0
8326e3fffffffff,7.0,0.0,0.0
8326e5fffffffff,9.0,0.0,0.0
8326ecfffffffff,14.0,0.0,0.0
8326edfffffffff,3.0,0.0,0.0
8326eefffffffff,5.0,0.0,0.0
8326f1fffffffff,7.0,0.0,0.0
8326f2fffffffff,2.0,0.0,0.0
8326f3fffffffff,5.0,0.0,0.0
832702fffffffff,10.0,0.0,0.0
832743fffffffff,2.0,0.0,0.0
832748fffffffff,7.0,0.0,0.0
832749fffffffff,27.0,2.0,0.0
83274afffffffff,1.0,0.0,0.0
83274dfffffffff,8.0,2.0,0.0
83274efffffffff,14.0,0.0,0.0
832751fffffffff,1.0,0.0,0.0
832758fffffffff,5.0,0.0,0.0
832759fffffffff,38.0,0.0,0.0
83275bfffffffff,7.0,0.0,0.0
83275cfffffffff,2.0,0.0,0.0
83275dfffffffff,55.0,0.0,0.0
83275efffffffff,7.0,0.0,0.0
832763fffffffff,1.0,0.0,0.0
832830fffffffff,105.0,8.0,0.0
832832fffffffff,6.0,0.0,0.0
832834fffffffff,13.0,0.0,0.0
832912fffffffff,497.0,8.0,0.0
832913fffffffff,10.0,0.0,0.0
832986fffffffff,4.0,0.0,0.0
8329a0fffffffff,34.0,0.0,0.0
8329a1fffffffff,209.0,0.0,0.0
8329a4fffffffff,262.0,0.0,0.0
8329a5fffffffff,1113.0,21.0,0.0
8329a6fffffffff,4.0,0.0,0.0
8329adfffffffff,280.0,1.0,0.0
832a06fffffffff,10.0,0.0,0.0
832a10fffffffff,738.0,55.0,0.0
832a12fffffffff,13.0,0.0,0.0
832a13fffffffff,126.0,0.0,0.0
832a14fffffffff,13.0,8.0,0.0
832a15fffffffff,16.0,0.0,0.0
832a16fffffffff,25.0,0.0,0.0
832a1afffffffff,18.0,0.0,0.0
832a30fffffffff,798.0,4.0,0.0
832a31fffffffff,389.0,2.0,0.0
832a32fffffffff,5.0,0.0,0.0
832a33fffffffff,87.0,0.0,0.0
832a34fffffffff,392.0,0.0,0.0
832a80fffffffff,4.0,0.0,0.0
832a82fffffffff,2.0,2.0,0.0
832a84fffffffff,20.0,1.0,0.0
832a88fffffffff,5.0,0.0,0.0
832a8afffffffff,33.0,0.0,0.0
832a8bfffffffff,28.0,0.0,0.0
832a8cfffffffff,16.0,0.0,0.0
832a8dfffffffff,16.0,0.0,0.0
832a8efffffffff,7.0,0.0,0.0
832a90fffffffff,3.0,2.0,0.0
832a93fffffffff,47.0,1.0,0.0
832a94fffffffff,20.0,0.0,0.0
832a95fffffffff,75.0,0.0,0.0
832a96fffffffff,2.0,0.0,0.0
832a99fffffffff,4.0,0.0,0.0
832a9bfffffffff,36.0,0.0,0.0
832a9efffffffff,2.0,0.0,0.0
832aa0fffffffff,6.0,0.0,0.0
832aa1fffffffff,154.0,2.0,0.0
832aa3fffffffff,14.0,0.0,0.0
832aa4fffffffff,91.0,3.0,0.0
832aa5fffffffff,2.0,0.0,0.0
832aa8fffffffff,275.0,11.0,0.0
832aa9fffffffff,167.0,17.0,0.0
832aaafffffffff,22.0,0.0,0.0
832aabfffffffff,2.0,0.0,0.0
832aacfffffffff,162.0,2.0,0.0
832aadfffffffff,791.0,2.0,0.0
832aaefffffffff,44.0,0.0,0.0
832ab0fffffffff,24.0,0.0,0.0
832ab1fffffffff,12.0,0.0,0.0
832ab2fffffffff,185.0,2.0,0.0
832ab3fffffffff,35.0,0.0,0.0
832ab4fffffffff,54.0,0.0,0.0
832ac6fffffffff,23.0,0.0,0.0
832ad0fffffffff,10.0,0.0,0.0
832ad2fffffffff,2.0,0.0,0.0
832ad3fffffffff,4.0,0.0,0.0
832af0fffffffff,33.0,0.0,0.0
832af1fffffffff,13.0,0.0,0.0
832af2fffffffff,2.0,0.0,0.0
832af3fffffffff,1.0,0.0,0.0
832af4fffffffff,6.0,0.0,0.0
832af6fffffffff,114.0,0.0,0.0
832b00fffffffff,1.0,0.0,0.0
832b01fffffffff,4.0,0.0,0.0
832b03fffffffff,11.0,0.0,0.0
832b0afffffffff,25.0,0.0,0.0
832b0cfffffffff,113.0,0.0,0.0
832b0efffffffff,4.0,0.0,0.0
832b10fffffffff,3.0,0.0,0.0
832b18fffffffff,19.0,0.0,0.0
832b19fffffffff,2.0,0.0,0.0
832b1afffffffff,27.0,0.0,0.0
832b1bfffffffff,317.0,0.0,0.0
832b1dfffffffff,25.0,0.0,0.0
832b23fffffffff,1.0,0.0,0.0
832b28fffffffff,2.0,0.0,0.0
832b29fffffffff,21.0,0.0,0.0
832b2afffffffff,2.0,0.0,0.0
832b2cfffffffff,2.0,0.0,0.0
832b2efffffffff,7.0,0.0,0.0
832b30fffffffff,14.0,0.0,0.0
832b33fffffffff,4.0,0.0,0.0
832b81fffffffff,2.0,0.0,0.0
832b83fffffffff,22.0,0.0,0.0
832b89fffffffff,10.0,0.0,0.0
832b8afffffffff,5.0,0.0,0.0
832b8dfffffffff,14.0,0.0,0.0
832b98fffffffff,30.0,0.0,0.0
832b99fffffffff,7.0,0.0,0.0
832b9bfffffffff,266.0,0.0,0.0
832b9efffffffff,6.0,0.0,0.0
832ba8fffffffff,10.0,0.0,0.0
832baafffffffff,99.0,0.0,0.0
833426fffffffff,3.0,0.0,0.0
833466fffffffff,3.0,0.0,0.0
83351bfffffffff,1.0,0.0,0.0
8335a9fffffffff,4.0,0.0,0.0
833911fffffffff,29.0,0.0,0.0
834412fffffffff,6.0,1.0,0.0
834413fffffffff,4.0,2.0,0.0
834414fffffffff,1.0,0.0,0.0
834416fffffffff,3.0,0.0,0.0
83441afffffffff,41.0,1.0,0.0
83441efffffffff,11.0,4.0,0.0
834424fffffffff,4.0,4.0,0.0
