cell_id,Pharomachrus mocinno,Pharomachrus mocinno mocinno,Pharomachrus mocinno costaricensis
834520fffffffff,101.0,0.0,0.0
834522fffffffff,2.0,0.0,0.0
834524fffffffff,95.0,0.0,0.0
834525fffffffff,136.0,59.0,0.0
834526fffffffff,154.0,0.0,0.0
834534fffffffff,14.0,0.0,0.0
834535fffffffff,75.0,0.0,0.0
8366a2fffffffff,2.0,0.0,0.0
8366b4fffffffff,5460.0,0.0,238.0
8366b5fffffffff,1477.0,0.0,219.0
836d04fffffffff,4.0,2.0,0.0
836d05fffffffff,740.0,344.0,0.0
836d20fffffffff,61.0,5.0,0.0
836d21fffffffff,2.0,2.0,0.0
836d23fffffffff,2.0,0.0,0.0
836d28fffffffff,21.0,2.0,0.0
836d29fffffffff,1.0,0.0,0.0
836d2afffffffff,131.0,62.0,0.0
836d2bfffffffff,543.0,305.0,0.0
836d2cfffffffff,16.0,0.0,0.0
836d2dfffffffff,468.0,220.0,0.0
836d2efffffffff,13.0,0.0,0.0
836d60fffffffff,1.0,0.0,0.0
836d64fffffffff,189.0,0.0,0.0
836d65fffffffff,176.0,0.0,0.0
836d66fffffffff,92.0,0.0,0.0
836d69fffffffff,3271.0,0.0,0.0
836d74fffffffff,19.0,0.0,0.0
