cell_id,Chlorochrysa calliparaea,Chlorochrysa calliparaea calliparaea/bourcieri,Chlorochrysa calliparaea fulgentissima
8466c0dffffffff,4.0,0.0,0.0
8466c47ffffffff,63.0,0.0,0.0
8466c63ffffffff,9.0,0.0,0.0
8466de1ffffffff,11.0,9.0,0.0
8466de3ffffffff,1.0,0.0,0.0
8466de9ffffffff,3.0,0.0,0.0
8466dedffffffff,2.0,0.0,0.0
8466e3dffffffff,6.0,0.0,0.0
84675a5ffffffff,2.0,1.0,0.0
84675ebffffffff,1.0,1.0,0.0
848b617ffffffff,18.0,0.0,18.0
848b6edffffffff,4.0,0.0,0.0
848f293ffffffff,4.0,0.0,0.0
848f4b3ffffffff,6.0,0.0,0.0
