cell_id,Francolinus francolinus,Francolinus francolinus francolinus/arabistanicus,Francolinus francolinus [henrici Group]
842c0c1ffffffff,3.0,0.0,0.0
842ce41ffffffff,4.0,4.0,0.0
842ce4bffffffff,4.0,0.0,0.0
842da45ffffffff,1.0,0.0,0.0
842da5dffffffff,1.0,1.0,0.0
842da81ffffffff,2.0,2.0,0.0
842db03ffffffff,2.0,0.0,0.0
842db0bffffffff,2.0,0.0,0.0
842db2bffffffff,3.0,0.0,0.0
843c19dffffffff,2.0,0.0,0.0
843c1b5ffffffff,3.0,0.0,0.0
843c1c3ffffffff,6.0,0.0,0.0
843c32bffffffff,1.0,0.0,0.0
843c369ffffffff,2.0,0.0,0.0
843c36bffffffff,2.0,0.0,0.0
843c80dffffffff,2.0,0.0,0.0
843c8d9ffffffff,26.0,0.0,0.0
843ca93ffffffff,1.0,0.0,0.0
843ca95ffffffff,1.0,0.0,0.0
843ca97ffffffff,5.0,0.0,0.0
843cab1ffffffff,1.0,0.0,0.0
843cab9ffffffff,16.0,0.0,0.0
843ce15ffffffff,1.0,0.0,0.0
843ce4dffffffff,1.0,0.0,0.0
843ce55ffffffff,6.0,0.0,0.0
843ce57ffffffff,22.0,0.0,0.0
843cf69ffffffff,3.0,0.0,0.0
843d157ffffffff,3.0,0.0,0.0
843d853ffffffff,3.0,0.0,0.0
843d8c1ffffffff,4.0,0.0,0.0
843d8d1ffffffff,1.0,0.0,0.0
843da1dffffffff,3.0,0.0,0.0
843da25ffffffff,2.0,0.0,0.0
843da69ffffffff,3.0,0.0,0.0
843dac9ffffffff,2.0,0.0,0.0
843dad1ffffffff,3.0,0.0,3.0
843daddffffffff,3.0,0.0,0.0
843db51ffffffff,1.0,0.0,0.0
843f4d1ffffffff,1.0,1.0,0.0
8443a03ffffffff,1.0,0.0,0.0
84446e5ffffffff,4.0,0.0,0.0
84446e7ffffffff,2.0,0.0,0.0
8446483ffffffff,2.0,0.0,0.0
84534dbffffffff,3.0,0.0,0.0
845d101ffffffff,2.0,0.0,0.0
845d103ffffffff,2.0,0.0,0.0
