cell_id,Campylorhynchus zonatus,Campylorhynchus zonatus [zonatus Group],Campylorhynchus zonatus costaricensis/panamensis,Campylorhynchus zonatus brevirostris/curvirostris
8445203ffffffff,27.0,0.0,0.0,0.0
8445205ffffffff,2.0,0.0,0.0,0.0
8445207ffffffff,24.0,0.0,0.0,0.0
8445209ffffffff,2.0,0.0,0.0,0.0
844520bffffffff,30.0,0.0,0.0,0.0
844520dffffffff,1.0,0.0,0.0,0.0
8445211ffffffff,19.0,0.0,0.0,0.0
8445213ffffffff,3.0,0.0,0.0,0.0
8445217ffffffff,20.0,0.0,0.0,0.0
844521bffffffff,9.0,0.0,0.0,0.0
844521dffffffff,30.0,0.0,0.0,0.0
8445233ffffffff,11.0,0.0,0.0,0.0
8445241ffffffff,18.0,0.0,0.0,0.0
8445243ffffffff,68.0,0.0,0.0,0.0
8445245ffffffff,47.0,0.0,0.0,0.0
8445247ffffffff,5.0,0.0,0.0,0.0
844524bffffffff,22.0,0.0,0.0,0.0
8445251ffffffff,4.0,0.0,0.0,0.0
8445253ffffffff,10.0,0.0,0.0,0.0
8445255ffffffff,3.0,0.0,0.0,0.0
8445257ffffffff,1.0,0.0,0.0,0.0
844525bffffffff,37.0,0.0,0.0,0.0
844525dffffffff,15.0,0.0,0.0,0.0
8445263ffffffff,4.0,0.0,0.0,0.0
8445269ffffffff,4.0,0.0,0.0,0.0
844526bffffffff,6.0,0.0,0.0,0.0
844526dffffffff,60.0,0.0,0.0,0.0
844528dffffffff,2.0,0.0,0.0,0.0
84452c1ffffffff,12.0,0.0,0.0,0.0
84452c3ffffffff,17.0,0.0,0.0,0.0
84452c5ffffffff,14.0,0.0,0.0,0.0
84452c7ffffffff,38.0,0.0,0.0,0.0
84452c9ffffffff,14.0,0.0,0.0,0.0
84452cbffffffff,8.0,0.0,0.0,0.0
84452cdffffffff,9.0,0.0,0.0,0.0
84452d9ffffffff,2.0,0.0,0.0,0.0
84452dbffffffff,2.0,0.0,0.0,0.0
84452ddffffffff,4.0,0.0,0.0,0.0
84452e1ffffffff,1415.0,0.0,0.0,0.0
84452e3ffffffff,79.0,0.0,0.0,0.0
84452e5ffffffff,199.0,0.0,0.0,0.0
84452e7ffffffff,33.0,0.0,0.0,0.0
84452e9ffffffff,159.0,0.0,0.0,0.0
84452ebffffffff,155.0,0.0,0.0,0.0
84452edffffffff,51.0,0.0,0.0,0.0
8445309ffffffff,5.0,0.0,0.0,0.0
