cell_id,Buteogallus anthracinus,Buteogallus anthracinus anthracinus,Buteogallus anthracinus [subtilis Group]
8426889ffffffff,2.0,0.0,0.0
842688dffffffff,1.0,0.0,0.0
8426893ffffffff,6.0,0.0,0.0
84268c5ffffffff,54.0,6.0,0.0
84268c7ffffffff,5.0,0.0,0.0
84268e7ffffffff,4.0,0.0,0.0
84269c3ffffffff,1.0,0.0,0.0
8426c55ffffffff,2.0,0.0,0.0
8426d25ffffffff,19.0,0.0,0.0
8426d35ffffffff,2.0,0.0,0.0
8426de3ffffffff,2.0,0.0,0.0
8426de7ffffffff,9.0,2.0,0.0
8428303ffffffff,11.0,0.0,0.0
842831dffffffff,67.0,6.0,0.0
8428363ffffffff,2.0,2.0,0.0
8429821ffffffff,2.0,0.0,0.0
842982bffffffff,2.0,0.0,0.0
8429869ffffffff,3.0,0.0,0.0
842990bffffffff,3.0,0.0,0.0
8429953ffffffff,4.0,0.0,0.0
8429957ffffffff,1.0,0.0,0.0
842995bffffffff,14.0,6.0,0.0
8429a3bffffffff,2.0,0.0,0.0
8429b03ffffffff,4.0,0.0,0.0
8429b05ffffffff,2.0,0.0,0.0
8429b09ffffffff,24.0,0.0,0.0
8429b0bffffffff,4.0,0.0,0.0
8429b0dffffffff,12.0,0.0,0.0
8429b29ffffffff,8.0,0.0,0.0
8429b2dffffffff,133.0,13.0,0.0
8429b5dffffffff,9.0,0.0,0.0
8429b61ffffffff,3.0,0.0,0.0
8429b65ffffffff,18.0,8.0,0.0
8429b67ffffffff,9.0,8.0,0.0
8429b6bffffffff,5.0,0.0,0.0
84446c5ffffffff,2.0,0.0,0.0
84446c9ffffffff,21.0,0.0,0.0
8445053ffffffff,9.0,9.0,0.0
8445057ffffffff,2.0,0.0,0.0
8445059ffffffff,3.0,0.0,0.0
844505bffffffff,7.0,0.0,2.0
84450a5ffffffff,1.0,0.0,0.0
84450b1ffffffff,3.0,0.0,0.0
84450cdffffffff,1.0,0.0,0.0
8445215ffffffff,45.0,0.0,2.0
8445233ffffffff,4.0,0.0,0.0
844523bffffffff,1.0,1.0,0.0
8445253ffffffff,4.0,4.0,0.0
844526bffffffff,1.0,1.0,0.0
84452adffffffff,4.0,0.0,0.0
84452d9ffffffff,4.0,0.0,0.0
84452e5ffffffff,22.0,0.0,0.0
844531bffffffff,2.0,2.0,0.0
8445649ffffffff,1.0,0.0,0.0
8448147ffffffff,2.0,0.0,0.0
844814dffffffff,2.0,0.0,0.0
84481edffffffff,1.0,1.0,0.0
84482e5ffffffff,1.0,0.0,0.0
8448337ffffffff,1.0,0.0,0.0
8448363ffffffff,1.0,0.0,0.0
844880dffffffff,5.0,0.0,0.0
844886bffffffff,7.0,0.0,0.0
8448881ffffffff,9.0,0.0,0.0
844889bffffffff,2.0,0.0,0.0
844889dffffffff,3.0,0.0,0.0
84488a7ffffffff,2.0,0.0,0.0
84488e1ffffffff,1.0,1.0,0.0
84488e9ffffffff,5.0,0.0,0.0
84489d9ffffffff,1.0,0.0,0.0
84489e5ffffffff,3.0,3.0,0.0
8448ab7ffffffff,4.0,0.0,0.0
8448b13ffffffff,5.0,3.0,0.0
8448b2bffffffff,125.0,4.0,0.0
8448b31ffffffff,1.0,0.0,0.0
8448c03ffffffff,8.0,0.0,0.0
8448c05ffffffff,59.0,0.0,0.0
8448c07ffffffff,7.0,0.0,0.0
8448c0bffffffff,11.0,1.0,0.0
8448c11ffffffff,43.0,0.0,0.0
8448c19ffffffff,7.0,1.0,0.0
8448c1dffffffff,6.0,2.0,0.0
8448c25ffffffff,5.0,0.0,0.0
8448c2bffffffff,2.0,0.0,0.0
8448c35ffffffff,9.0,0.0,0.0
8448c57ffffffff,2.0,0.0,0.0
8448c59ffffffff,26.0,1.0,0.0
8448c5bffffffff,3.0,0.0,0.0
8448c63ffffffff,18.0,2.0,0.0
8448cc1ffffffff,2.0,0.0,0.0
8448cd9ffffffff,2.0,0.0,0.0
8448cdbffffffff,9.0,5.0,0.0
8448d19ffffffff,4.0,2.0,0.0
8448d33ffffffff,3.0,0.0,0.0
8448d43ffffffff,10.0,0.0,0.0
8448d47ffffffff,3.0,0.0,0.0
8448d4bffffffff,2.0,0.0,0.0
8448d51ffffffff,1.0,1.0,0.0
8448d53ffffffff,2.0,0.0,0.0
8448d87ffffffff,4.0,0.0,0.0
8448d89ffffffff,43.0,0.0,0.0
8448d8bffffffff,5.0,0.0,0.0
8448da1ffffffff,2.0,0.0,0.0
8448dbbffffffff,2.0,0.0,0.0
8448dc3ffffffff,8.0,6.0,0.0
8448dd5ffffffff,9.0,0.0,0.0
8448de3ffffffff,20.0,0.0,0.0
8448de5ffffffff,1.0,0.0,0.0
8448e33ffffffff,12.0,3.0,0.0
8448e37ffffffff,4.0,0.0,0.0
8448e81ffffffff,4.0,0.0,0.0
8448e85ffffffff,395.0,19.0,0.0
8448e87ffffffff,2.0,0.0,0.0
8448e8dffffffff,30.0,0.0,0.0
8448e93ffffffff,3.0,3.0,0.0
8448e97ffffffff,2.0,0.0,0.0
8448ea5ffffffff,10.0,2.0,0.0
8448ea9ffffffff,4.0,2.0,0.0
8448eabffffffff,15.0,3.0,0.0
8448eb1ffffffff,3.0,3.0,0.0
8448eb3ffffffff,25.0,6.0,0.0
8448ebdffffffff,2.0,0.0,0.0
8448ec3ffffffff,2.0,0.0,0.0
8448ec5ffffffff,2.0,0.0,0.0
8448ec7ffffffff,297.0,57.0,0.0
8448ee1ffffffff,33.0,1.0,0.0
8448ee3ffffffff,17.0,0.0,0.0
8448ee5ffffffff,4.0,0.0,0.0
8448ee7ffffffff,2.0,0.0,0.0
8448ee9ffffffff,26.0,0.0,0.0
8448eebffffffff,242.0,39.0,0.0
8448f21ffffffff,2.0,2.0,0.0
8448f25ffffffff,2.0,0.0,0.0
8448f2dffffffff,3.0,0.0,0.0
8449823ffffffff,2.0,0.0,0.0
8449827ffffffff,3.0,0.0,0.0
844983dffffffff,4.0,0.0,0.0
8449869ffffffff,2.0,2.0,0.0
8449885ffffffff,2.0,0.0,0.0
8449889ffffffff,2.0,0.0,0.0
844988dffffffff,6.0,0.0,0.0
8449929ffffffff,1.0,0.0,0.0
8449959ffffffff,14.0,0.0,0.0
8449961ffffffff,3.0,3.0,0.0
8449963ffffffff,3.0,3.0,0.0
8449965ffffffff,11.0,0.0,0.0
8449967ffffffff,15.0,0.0,0.0
8449969ffffffff,2.0,0.0,0.0
8449a97ffffffff,1.0,0.0,0.0
8449b2dffffffff,1.0,0.0,0.0
8449b31ffffffff,2.0,0.0,0.0
845f08dffffffff,3.0,0.0,0.0
845f50bffffffff,3.0,0.0,0.0
845f583ffffffff,27.0,2.0,0.0
845f713ffffffff,3.0,3.0,0.0
8466113ffffffff,17.0,0.0,0.0
8466139ffffffff,5.0,0.0,0.0
84661b1ffffffff,1.0,0.0,0.0
84661b3ffffffff,1.0,0.0,0.0
84661cdffffffff,7.0,0.0,0.0
84661ebffffffff,6.0,0.0,0.0
8466a0bffffffff,8.0,1.0,0.0
8466a57ffffffff,2.0,0.0,0.0
8466b01ffffffff,50.0,0.0,49.0
8466b09ffffffff,61.0,0.0,61.0
8466b0bffffffff,125.0,0.0,125.0
8466b0dffffffff,2.0,0.0,2.0
8466b1dffffffff,1.0,0.0,0.0
8466b45ffffffff,6.0,0.0,6.0
8466b47ffffffff,32.0,0.0,28.0
8466b4bffffffff,1.0,1.0,0.0
8466b57ffffffff,2.0,0.0,2.0
8466b5bffffffff,5.0,0.0,0.0
8466b69ffffffff,10.0,0.0,8.0
8466d05ffffffff,3.0,0.0,2.0
8466e53ffffffff,2.0,0.0,0.0
8466e69ffffffff,2.0,0.0,0.0
8467413ffffffff,1.0,0.0,0.0
84674c5ffffffff,1.0,0.0,0.0
8467521ffffffff,1.0,1.0,0.0
84679a1ffffffff,24.0,19.0,0.0
84679a3ffffffff,6.0,6.0,0.0
84679a5ffffffff,4.0,4.0,0.0
84679b5ffffffff,4.0,1.0,0.0
84679b7ffffffff,23.0,22.0,0.0
846d043ffffffff,1.0,0.0,0.0
846d04bffffffff,1.0,0.0,0.0
846d053ffffffff,8.0,0.0,0.0
846d203ffffffff,2.0,2.0,0.0
846d209ffffffff,2.0,0.0,0.0
846d23dffffffff,2.0,0.0,0.0
846d243ffffffff,6.0,0.0,0.0
846d255ffffffff,2.0,2.0,0.0
846d257ffffffff,1.0,1.0,0.0
846d287ffffffff,3.0,0.0,0.0
846d2a3ffffffff,16.0,0.0,4.0
846d2adffffffff,5.0,0.0,0.0
846d2b9ffffffff,5.0,0.0,0.0
846d2bdffffffff,2.0,0.0,0.0
846d2c9ffffffff,1.0,0.0,0.0
846d32bffffffff,12.0,0.0,0.0
846d337ffffffff,2.0,0.0,0.0
846d339ffffffff,3.0,0.0,0.0
846d341ffffffff,31.0,17.0,0.0
