cell_id,Pheugopedius felix,Pheugopedius felix [felix Group],Pheugopedius felix lawrencii
834801fffffffff,36.0,0.0,0.0
834802fffffffff,129.0,0.0,0.0
834803fffffffff,15.0,0.0,0.0
834806fffffffff,149.0,0.0,0.0
834808fffffffff,3.0,0.0,0.0
83480afffffffff,706.0,0.0,0.0
83480bfffffffff,18.0,0.0,0.0
83480efffffffff,103.0,0.0,0.0
834815fffffffff,61.0,0.0,0.0
83481dfffffffff,17.0,0.0,0.0
834830fffffffff,62.0,0.0,29.0
834832fffffffff,37.0,0.0,0.0
834833fffffffff,881.0,0.0,0.0
834834fffffffff,1.0,0.0,0.0
834836fffffffff,5521.0,0.0,0.0
834856fffffffff,2.0,0.0,0.0
8348e4fffffffff,36.0,0.0,0.0
8348e5fffffffff,64.0,0.0,0.0
834980fffffffff,88.0,0.0,0.0
834984fffffffff,1.0,0.0,0.0
834985fffffffff,33.0,0.0,0.0
834986fffffffff,218.0,0.0,0.0
83498cfffffffff,33.0,0.0,0.0
83498dfffffffff,2.0,0.0,0.0
834994fffffffff,44.0,0.0,0.0
8349a1fffffffff,1.0,0.0,0.0
8349a2fffffffff,101.0,0.0,0.0
8349a3fffffffff,32.0,0.0,0.0
8349a8fffffffff,1113.0,0.0,0.0
8349a9fffffffff,1799.0,0.0,0.0
8349aafffffffff,273.0,0.0,0.0
8349abfffffffff,122.0,0.0,0.0
8349acfffffffff,6.0,0.0,0.0
8349adfffffffff,86.0,0.0,0.0
8349aefffffffff,13.0,0.0,0.0
8349b0fffffffff,29.0,0.0,0.0
8349b1fffffffff,59.0,0.0,0.0
8349b2fffffffff,16.0,2.0,0.0
8349b3fffffffff,1156.0,0.0,0.0
8349b4fffffffff,1.0,0.0,0.0
8349b5fffffffff,184.0,0.0,0.0
8349b6fffffffff,16.0,1.0,0.0
836d06fffffffff,14.0,0.0,0.0
836d14fffffffff,34.0,1.0,0.0
836d15fffffffff,470.0,17.0,0.0
836d30fffffffff,88.0,3.0,0.0
836d31fffffffff,11.0,0.0,0.0
836d32fffffffff,121.0,14.0,0.0
836d33fffffffff,773.0,83.0,0.0
836d36fffffffff,23.0,0.0,0.0
