cell_id,Geothlypis trichas,Geothlypis trichas [arizela Group],Geothlypis trichas [melanops Group],Geothlypis trichas [trichas Group],Geothlypis trichas insperata,Geothlypis trichas chapalensis
820747fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
82074ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
820987fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820c47fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
820c67fffffffff,40.0,0.0,0.0,0.0,0.0,0.0
820c77fffffffff,50.0,0.0,0.0,0.0,0.0,0.0
820d4ffffffffff,23.0,0.0,0.0,0.0,0.0,0.0
820d5ffffffffff,27.0,0.0,0.0,0.0,0.0,0.0
820e4ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
820ecffffffffff,49.0,0.0,0.0,45.0,0.0,0.0
820eeffffffffff,21.0,0.0,0.0,3.0,0.0,0.0
821217fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821237fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82125ffffffffff,10.0,0.0,0.0,0.0,0.0,0.0
82128ffffffffff,103.0,0.0,0.0,0.0,0.0,0.0
8212affffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8212b7fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8212c7fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
8212cffffffffff,16.0,0.0,0.0,0.0,0.0,0.0
8212d7fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8212dffffffffff,50.0,0.0,0.0,0.0,0.0,0.0
8212e7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8212effffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8212f7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
821387fffffffff,21.0,0.0,0.0,0.0,0.0,0.0
82138ffffffffff,23.0,0.0,0.0,0.0,0.0,0.0
821397fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821877fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
82195ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
821aa7fffffffff,80.0,0.0,0.0,0.0,0.0,0.0
821aaffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
821ab7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
821b9ffffffffff,11.0,0.0,0.0,0.0,0.0,0.0
821d27fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
821f9ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0
82260ffffffffff,17.0,0.0,0.0,2.0,0.0,0.0
822617fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
82261ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
822627fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
82262ffffffffff,14.0,0.0,0.0,0.0,0.0,0.0
822647fffffffff,151.0,0.0,0.0,0.0,0.0,0.0
82264ffffffffff,171.0,0.0,0.0,0.0,0.0,0.0
822657fffffffff,204.0,0.0,0.0,0.0,0.0,0.0
82265ffffffffff,128.0,0.0,0.0,0.0,0.0,0.0
822667fffffffff,100.0,0.0,0.0,0.0,0.0,0.0
82266ffffffffff,72.0,0.0,0.0,0.0,0.0,0.0
822677fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
822687fffffffff,99.0,0.0,0.0,0.0,0.0,0.0
82268ffffffffff,310.0,0.0,0.0,0.0,0.0,0.0
822697fffffffff,133.0,0.0,0.0,0.0,0.0,0.0
82269ffffffffff,64.0,0.0,0.0,0.0,0.0,0.0
8226a7fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8226affffffffff,111.0,0.0,0.0,0.0,0.0,0.0
8226b7fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8226c7fffffffff,24.0,0.0,0.0,0.0,0.0,0.0
8226cffffffffff,16.0,0.0,0.0,0.0,0.0,0.0
8226d7fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
8226dffffffffff,28.0,0.0,0.0,0.0,0.0,0.0
8226e7fffffffff,76.0,0.0,0.0,0.0,0.0,0.0
8226effffffffff,38.0,0.0,0.0,0.0,0.0,0.0
8226f7fffffffff,28.0,0.0,0.0,0.0,0.0,0.0
822707fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
82270ffffffffff,4.0,0.0,0.0,2.0,0.0,0.0
822717fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
