cell_id,Calidris alpina,Calidris alpina pacifica/arcticola,Calidris alpina hudsonia,Calidris alpina arctica,Calidris alpina schinzii,Calidris alpina alpina/centralis,Calidris alpina [sakhalina Group]
821107fffffffff,99.0,0.0,0.0,0.0,0.0,0.0,0.0
821127fffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0
82112ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821137fffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0
821157fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
821177fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82118ffffffffff,56.0,0.0,0.0,0.0,0.0,0.0,0.0
8211affffffffff,79.0,0.0,0.0,0.0,0.0,0.0,0.0
8211b7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
82121ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
821287fffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0
82128ffffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
821297fffffffff,134.0,0.0,0.0,0.0,0.0,0.0,0.0
82129ffffffffff,92.0,0.0,0.0,0.0,0.0,0.0,0.0
8212affffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8212b7fffffffff,207.0,0.0,0.0,0.0,0.0,0.0,0.0
8212d7fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8212dffffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0
8212f7fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
821307fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82132ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821397fffffffff,38.0,0.0,0.0,0.0,0.0,0.0,0.0
82139ffffffffff,174.0,0.0,0.0,0.0,0.0,0.0,0.0
8214cffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
821597fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8215b7fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
821607fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
821657fffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0
82165ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821717fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82171ffffffffff,48.0,0.0,0.0,0.0,0.0,0.0,0.0
821747fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
821757fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
82176ffffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
82178ffffffffff,61.0,0.0,0.0,0.0,0.0,0.0,0.0
821807fffffffff,238.0,0.0,0.0,0.0,0.0,0.0,0.0
821827fffffffff,171.0,0.0,0.0,0.0,0.0,0.0,0.0
82182ffffffffff,1098.0,0.0,0.0,0.0,0.0,0.0,0.0
821847fffffffff,236.0,0.0,0.0,0.0,0.0,0.0,0.0
82184ffffffffff,5307.0,0.0,0.0,0.0,1.0,2.0,0.0
821857fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
82185ffffffffff,977.0,0.0,0.0,0.0,0.0,0.0,0.0
821867fffffffff,120.0,0.0,0.0,0.0,0.0,0.0,0.0
82186ffffffffff,191.0,0.0,0.0,0.0,0.0,0.0,0.0
821877fffffffff,370.0,0.0,0.0,0.0,0.0,0.0,0.0
821907fffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
82190ffffffffff,334.0,0.0,0.0,0.0,0.0,0.0,0.0
82191ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
821927fffffffff,53.0,0.0,0.0,0.0,0.0,0.0,0.0
82192ffffffffff,319.0,0.0,0.0,0.0,0.0,0.0,0.0
821947fffffffff,4489.0,0.0,0.0,0.0,149.0,0.0,0.0
82194ffffffffff,3366.0,0.0,0.0,0.0,39.0,0.0,0.0
821957fffffffff,923.0,0.0,0.0,0.0,0.0,0.0,0.0
82195ffffffffff,1967.0,0.0,0.0,0.0,0.0,0.0,0.0
82196ffffffffff,1084.0,0.0,0.0,0.0,0.0,0.0,0.0
821977fffffffff,1038.0,0.0,0.0,0.0,0.0,0.0,0.0
821aa7fffffffff,218.0,0.0,0.0,0.0,0.0,0.0,0.0
821ab7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
821b87fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
821b8ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
821b97fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
821b9ffffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
821d27fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
821e07fffffffff,775.0,0.0,0.0,0.0,0.0,0.0,0.0
821e0ffffffffff,476.0,0.0,0.0,0.0,0.0,0.0,0.0
821e17fffffffff,166.0,0.0,0.0,0.0,0.0,0.0,0.0
821e1ffffffffff,235.0,0.0,0.0,0.0,0.0,0.0,0.0
821e27fffffffff,269.0,0.0,0.0,0.0,0.0,0.0,0.0
821e2ffffffffff,98.0,0.0,0.0,0.0,0.0,0.0,0.0
821e37fffffffff,284.0,0.0,0.0,0.0,0.0,0.0,0.0
821e47fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
821e4ffffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0
821e57fffffffff,39.0,0.0,0.0,0.0,0.0,0.0,0.0
821e5ffffffffff,186.0,0.0,0.0,0.0,0.0,0.0,0.0
821e67fffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
821e6ffffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
821e77fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821e87fffffffff,183.0,0.0,0.0,0.0,0.0,0.0,0.0
821e8ffffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
821e97fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
821ea7fffffffff,291.0,0.0,0.0,0.0,0.0,0.0,0.0
821eaffffffffff,76.0,0.0,0.0,0.0,0.0,0.0,0.0
821eb7fffffffff,35.0,0.0,0.0,0.0,0.0,0.0,0.0
821ec7fffffffff,358.0,0.0,0.0,0.0,0.0,0.0,0.0
821ecffffffffff,781.0,0.0,0.0,0.0,0.0,5.0,0.0
821ed7fffffffff,283.0,0.0,0.0,0.0,0.0,0.0,0.0
821edffffffffff,325.0,0.0,0.0,0.0,0.0,0.0,0.0
821ee7fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
821eeffffffffff,336.0,0.0,0.0,0.0,0.0,40.0,0.0
821ef7fffffffff,55.0,0.0,0.0,0.0,0.0,0.0,0.0
821f07fffffffff,863.0,0.0,0.0,0.0,2.0,86.0,0.0
821f0ffffffffff,346.0,0.0,0.0,0.0,0.0,0.0,0.0
821f17fffffffff,154.0,0.0,0.0,0.0,0.0,0.0,0.0
821f1ffffffffff,74.0,0.0,0.0,0.0,0.0,0.0,0.0
821f27fffffffff,230.0,0.0,0.0,0.0,0.0,13.0,0.0
821f2ffffffffff,509.0,0.0,0.0,0.0,0.0,43.0,0.0
821f37fffffffff,1019.0,0.0,0.0,0.0,0.0,54.0,0.0
821f47fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
821f4ffffffffff,78.0,0.0,0.0,0.0,0.0,0.0,0.0
821f57fffffffff,122.0,0.0,0.0,0.0,0.0,0.0,0.0
821f5ffffffffff,63.0,0.0,0.0,0.0,0.0,0.0,0.0
