cell_id,Ketupa poensis,Ketupa poensis poensis,Ketupa poensis vosseleri
825887fffffffff,1.0,1.0,0.0
82588ffffffffff,1.0,1.0,0.0
8258cffffffffff,1.0,1.0,0.0
8258d7fffffffff,24.0,24.0,0.0
8258dffffffffff,1.0,1.0,0.0
826adffffffffff,2.0,2.0,0.0
827507fffffffff,4.0,4.0,0.0
82750ffffffffff,165.0,144.0,0.0
82751ffffffffff,3.0,3.0,0.0
82752ffffffffff,58.0,44.0,0.0
82758ffffffffff,1.0,1.0,0.0
8275affffffffff,1.0,1.0,0.0
827b4ffffffffff,71.0,0.0,67.0
828287fffffffff,1.0,0.0,0.0
82828ffffffffff,5.0,0.0,0.0
828297fffffffff,1.0,1.0,0.0
8282affffffffff,8.0,8.0,0.0
8282d7fffffffff,16.0,12.0,0.0
8296b7fffffffff,1.0,0.0,1.0
