cell_id,Pyrrhura picta,Pyrrhura picta eisenmanni,Pyrrhura picta subandina,Pyrrhura picta caeruleiceps,Pyrrhura picta emma,Pyrrhura picta picta
845f017ffffffff,2.0,0.0,0.0,0.0,0.0,2.0
845f42bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
845f46bffffffff,4.0,0.0,0.0,0.0,0.0,4.0
845f483ffffffff,1.0,0.0,0.0,0.0,1.0,0.0
845f487ffffffff,1.0,0.0,0.0,0.0,1.0,0.0
845f4a7ffffffff,1.0,0.0,0.0,0.0,0.0,1.0
846601bffffffff,1.0,0.0,0.0,1.0,0.0,0.0
846605bffffffff,1.0,0.0,0.0,1.0,0.0,0.0
84662e5ffffffff,40.0,0.0,0.0,19.0,0.0,0.0
8466a33ffffffff,35.0,28.0,0.0,0.0,0.0,0.0
8467413ffffffff,28.0,0.0,0.0,0.0,12.0,0.0
8467425ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84674c7ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84674cdffffffff,6.0,0.0,0.0,0.0,0.0,0.0
84674ebffffffff,9.0,0.0,0.0,0.0,9.0,0.0
8467519ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84675cbffffffff,10.0,0.0,0.0,0.0,0.0,0.0
