cell_id,Zimmerius chrysops,Zimmerius chrysops minimus/cumanensis,Zimmerius chrysops chrysops
825f4ffffffffff,123.0,5.0,0.0
826607fffffffff,214.0,0.0,21.0
82660ffffffffff,3301.0,0.0,36.0
82661ffffffffff,16043.0,0.0,568.0
826627fffffffff,781.0,392.0,0.0
82662ffffffffff,245.0,0.0,5.0
826657fffffffff,10.0,0.0,0.0
826677fffffffff,6.0,0.0,0.0
8266c7fffffffff,3737.0,0.0,53.0
8266d7fffffffff,754.0,0.0,37.0
8266dffffffffff,3508.0,0.0,563.0
8266e7fffffffff,16069.0,0.0,489.0
8266f7fffffffff,9507.0,0.0,176.0
826757fffffffff,2.0,0.0,0.0
82675ffffffffff,151.0,0.0,2.0
828f2ffffffffff,10.0,0.0,0.0
828f77fffffffff,831.0,0.0,107.0
