cell_id,Ramphastos tucanus,Ramphastos tucanus tucanus,Ramphastos tucanus cuvieri/inca
825f07fffffffff,211.0,13.0,0.0
825f0ffffffffff,140.0,0.0,0.0
825f17fffffffff,115.0,0.0,0.0
825f1ffffffffff,59.0,0.0,0.0
825f27fffffffff,5.0,2.0,0.0
825f2ffffffffff,1745.0,0.0,0.0
825f47fffffffff,122.0,2.0,0.0
825f4ffffffffff,121.0,0.0,0.0
825f57fffffffff,49.0,0.0,0.0
825f5ffffffffff,1.0,1.0,0.0
825f67fffffffff,3.0,0.0,0.0
825f6ffffffffff,89.0,6.0,0.0
825f77fffffffff,295.0,11.0,0.0
82660ffffffffff,172.0,0.0,0.0
82662ffffffffff,79.0,0.0,0.0
826647fffffffff,734.0,0.0,13.0
82664ffffffffff,32.0,0.0,0.0
826657fffffffff,779.0,0.0,0.0
82665ffffffffff,1325.0,0.0,105.0
826667fffffffff,35.0,0.0,2.0
82666ffffffffff,43.0,0.0,11.0
826677fffffffff,21.0,0.0,0.0
8266c7fffffffff,1095.0,0.0,3.0
8266cffffffffff,238.0,0.0,2.0
8266d7fffffffff,400.0,0.0,0.0
8266dffffffffff,4042.0,0.0,411.0
8266e7fffffffff,1584.0,0.0,0.0
8266effffffffff,1342.0,0.0,1.0
82675ffffffffff,25.0,0.0,0.0
82802ffffffffff,1.0,0.0,0.0
828047fffffffff,501.0,0.0,0.0
82804ffffffffff,79.0,0.0,0.0
828067fffffffff,203.0,0.0,0.0
82806ffffffffff,49.0,0.0,0.0
828077fffffffff,39.0,0.0,0.0
828147fffffffff,96.0,0.0,0.0
82814ffffffffff,605.0,0.0,0.0
828157fffffffff,3.0,0.0,0.0
82815ffffffffff,120.0,0.0,0.0
828167fffffffff,2.0,0.0,0.0
828a07fffffffff,320.0,1.0,2.0
828a17fffffffff,163.0,1.0,0.0
828a1ffffffffff,46.0,0.0,5.0
828a27fffffffff,43.0,0.0,0.0
828a2ffffffffff,1.0,0.0,0.0
828a37fffffffff,47.0,0.0,0.0
828a47fffffffff,432.0,2.0,2.0
828a4ffffffffff,20.0,0.0,4.0
828a57fffffffff,58.0,0.0,36.0
828a6ffffffffff,1170.0,0.0,29.0
828a77fffffffff,61.0,0.0,0.0
828a87fffffffff,172.0,0.0,0.0
828a8ffffffffff,16.0,1.0,0.0
828a97fffffffff,37.0,0.0,0.0
828a9ffffffffff,68.0,0.0,0.0
828aaffffffffff,223.0,0.0,0.0
828ab7fffffffff,1.0,0.0,0.0
828ac7fffffffff,4.0,0.0,0.0
828adffffffffff,95.0,0.0,0.0
828ae7fffffffff,9.0,0.0,1.0
828aeffffffffff,4.0,0.0,0.0
828af7fffffffff,2273.0,199.0,104.0
828b07fffffffff,4.0,0.0,0.0
828b0ffffffffff,33.0,0.0,0.0
828b17fffffffff,8.0,0.0,0.0
828b1ffffffffff,7.0,0.0,0.0
828b27fffffffff,148.0,0.0,10.0
828b2ffffffffff,56.0,0.0,4.0
828b47fffffffff,2533.0,0.0,74.0
828b4ffffffffff,56.0,0.0,0.0
828b57fffffffff,95.0,0.0,4.0
828b5ffffffffff,81.0,0.0,0.0
828b67fffffffff,1067.0,0.0,59.0
828b6ffffffffff,385.0,0.0,17.0
828b77fffffffff,226.0,0.0,28.0
828b87fffffffff,72.0,0.0,0.0
828b8ffffffffff,85.0,0.0,0.0
828b97fffffffff,1.0,0.0,0.0
828b9ffffffffff,1161.0,0.0,0.0
828ba7fffffffff,44.0,0.0,0.0
828baffffffffff,2.0,0.0,0.0
828bb7fffffffff,16.0,0.0,0.0
828e67fffffffff,3.0,0.0,0.0
828f47fffffffff,352.0,0.0,0.0
828f4ffffffffff,198.0,0.0,0.0
828f5ffffffffff,14.0,0.0,0.0
828f67fffffffff,388.0,0.0,0.0
828f6ffffffffff,130.0,0.0,0.0
828f77fffffffff,76.0,0.0,0.0
82a85ffffffffff,1.0,0.0,0.0
82a8cffffffffff,17.0,0.0,0.0
82b327fffffffff,8.0,0.0,0.0
