cell_id,Adelomyia melanogenys,Adelomyia melanogenys [melanogenys Group],Adelomyia melanogenys maculata,Adelomyia melanogenys inornata
82660ffffffffff,2.0,0.0,0.0,0.0
82661ffffffffff,2.0,0.0,0.0,0.0
8266d7fffffffff,9.0,0.0,0.0,0.0
8266dffffffffff,34.0,23.0,2.0,0.0
8266e7fffffffff,7.0,0.0,0.0,0.0
8266f7fffffffff,8.0,0.0,0.0,0.0
82674ffffffffff,22.0,3.0,0.0,0.0
82675ffffffffff,3.0,0.0,0.0,0.0
828b27fffffffff,3.0,0.0,0.0,3.0
828b67fffffffff,7.0,0.0,0.0,0.0
828f0ffffffffff,10.0,0.0,0.0,0.0
828f4ffffffffff,23.0,0.0,0.0,0.0
828f57fffffffff,17.0,0.0,0.0,0.0
828f5ffffffffff,3.0,3.0,0.0,0.0
828f77fffffffff,3.0,3.0,0.0,0.0
82b347fffffffff,7.0,0.0,0.0,0.0
