cell_id,Phylloscopus sindianus,Phylloscopus sindianus lorenzii,Phylloscopus sindianus sindianus
82201ffffffffff,5.0,0.0,0.0
822087fffffffff,13.0,0.0,0.0
82208ffffffffff,3.0,0.0,0.0
82209ffffffffff,28.0,0.0,0.0
8220a7fffffffff,6.0,0.0,0.0
8220b7fffffffff,2.0,0.0,0.0
8220e7fffffffff,2.0,0.0,0.0
822c07fffffffff,854.0,0.0,0.0
822c0ffffffffff,21.0,3.0,0.0
822c1ffffffffff,7.0,0.0,0.0
822c27fffffffff,204.0,16.0,0.0
822c2ffffffffff,547.0,225.0,0.0
822c37fffffffff,2.0,0.0,0.0
822c97fffffffff,23.0,5.0,0.0
822ce7fffffffff,7.0,0.0,0.0
822d57fffffffff,9.0,2.0,0.0
823d07fffffffff,1031.0,0.0,0.0
823d17fffffffff,5.0,0.0,0.0
823d27fffffffff,350.0,0.0,0.0
823d37fffffffff,115.0,0.0,0.0
824257fffffffff,1.0,0.0,0.0
