cell_id,Ramphocelus flammigerus,Ramphocelus flammigerus flammigerus,Ramphocelus flammigerus icteronotus,Ramphocelus flammigerus flammigerus x icteronotus
826617fffffffff,4.0,0.0,2.0,0.0
82661ffffffffff,24.0,16.0,3.0,0.0
8266a7fffffffff,31.0,0.0,1.0,0.0
8266b7fffffffff,2.0,0.0,0.0,0.0
8266c7fffffffff,4.0,4.0,0.0,0.0
8266d7fffffffff,84.0,0.0,72.0,0.0
8266e7fffffffff,4.0,1.0,0.0,0.0
8266f7fffffffff,22.0,4.0,10.0,3.0
828f0ffffffffff,22.0,0.0,20.0,0.0
828f2ffffffffff,8.0,0.0,8.0,0.0
828f77fffffffff,5.0,0.0,2.0,0.0
