cell_id,Coccothraustes vespertinus,Coccothraustes vespertinus (type 1),Coccothraustes vespertinus (type 2),Coccothraustes vespertinus (type 3),Coccothraustes vespertinus (type 4),Coccothraustes vespertinus (type 5)
820e4ffffffffff,1120.0,0.0,0.0,0.0,0.0,0.0
820e5ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
820e6ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
820ecffffffffff,240.0,0.0,0.0,0.0,0.0,0.0
820edffffffffff,45.0,0.0,0.0,0.0,0.0,0.0
820eeffffffffff,6.0,0.0,0.0,0.0,0.0,0.0
82120ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0
82121ffffffffff,47.0,0.0,0.0,0.0,0.0,0.0
821227fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82122ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
821237fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82124ffffffffff,67.0,0.0,0.0,0.0,0.0,0.0
821257fffffffff,334.0,0.0,0.0,0.0,0.0,0.0
82125ffffffffff,61.0,0.0,0.0,0.0,0.0,0.0
82126ffffffffff,13.0,0.0,0.0,0.0,0.0,0.0
821277fffffffff,55.0,0.0,0.0,0.0,0.0,0.0
821287fffffffff,59.0,0.0,0.0,0.0,0.0,0.0
82128ffffffffff,583.0,0.0,0.0,0.0,0.0,0.0
82129ffffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8212a7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8212affffffffff,263.0,0.0,0.0,0.0,0.0,0.0
8212b7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8212c7fffffffff,479.0,0.0,0.0,0.0,0.0,0.0
8212cffffffffff,1268.0,0.0,0.0,0.0,0.0,0.0
8212d7fffffffff,1405.0,0.0,0.0,0.0,0.0,0.0
8212dffffffffff,2542.0,0.0,0.0,0.0,0.0,0.0
8212e7fffffffff,244.0,0.0,0.0,0.0,0.0,0.0
8212effffffffff,95.0,0.0,0.0,0.0,0.0,0.0
8212f7fffffffff,256.0,0.0,0.0,0.0,0.0,0.0
82138ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821aa7fffffffff,158.0,0.0,0.0,0.0,0.0,0.0
821ab7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821b87fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
821b97fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
821b9ffffffffff,93.0,0.0,0.0,0.0,0.0,0.0
822617fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
822627fffffffff,46.0,0.0,0.0,0.0,0.0,0.0
822667fffffffff,19.0,0.0,0.0,0.0,0.0,0.0
822687fffffffff,2206.0,0.0,0.0,0.0,0.0,0.0
82268ffffffffff,3511.0,0.0,0.0,0.0,2.0,0.0
822697fffffffff,495.0,0.0,0.0,0.0,0.0,0.0
82269ffffffffff,3137.0,0.0,0.0,0.0,0.0,0.0
8226a7fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
8226affffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8226b7fffffffff,205.0,0.0,0.0,0.0,0.0,0.0
8226d7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
822707fffffffff,746.0,0.0,0.0,0.0,0.0,0.0
82270ffffffffff,3866.0,0.0,0.0,0.0,0.0,0.0
822717fffffffff,175.0,0.0,0.0,0.0,0.0,0.0
82271ffffffffff,16.0,0.0,0.0,0.0,0.0,0.0
822727fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82272ffffffffff,66.0,0.0,0.0,0.0,0.0,0.0
822747fffffffff,1252.0,0.0,0.0,0.0,0.0,0.0
822757fffffffff,488.0,0.0,0.0,0.0,0.0,0.0
