cell_id,Pinarochroa sordida,Pinarochroa sordida sordida,Pinarochroa sordida ernesti,Pinarochroa sordida olimotiensis,Pinarochroa sordida hypospodia
825287fffffffff,2.0,2.0,0.0,0.0,0.0
827a47fffffffff,15.0,0.0,13.0,0.0,0.0
827a4ffffffffff,6.0,0.0,0.0,0.0,0.0
827acffffffffff,6.0,1.0,0.0,0.0,0.0
