cell_id,Catharus aurantiirostris,Catharus aurantiirostris [melpomene Group],Catharus aurantiirostris [griseiceps Group],Catharus aurantiirostris [aurantiirostris Group]
8445201ffffffff,5.0,0.0,0.0,0.0
8445205ffffffff,5.0,0.0,0.0,0.0
8445207ffffffff,2.0,0.0,0.0,0.0
8445209ffffffff,56.0,0.0,0.0,0.0
844520dffffffff,59.0,0.0,0.0,0.0
8445241ffffffff,31.0,0.0,0.0,0.0
8445243ffffffff,201.0,0.0,0.0,0.0
8445245ffffffff,66.0,0.0,0.0,0.0
8445247ffffffff,105.0,0.0,0.0,0.0
844524bffffffff,63.0,0.0,0.0,0.0
8445251ffffffff,3.0,0.0,0.0,0.0
8445253ffffffff,5.0,0.0,0.0,0.0
8445255ffffffff,32.0,0.0,0.0,0.0
844525bffffffff,24.0,0.0,0.0,0.0
844525dffffffff,12.0,0.0,0.0,0.0
8445261ffffffff,7.0,0.0,0.0,0.0
8445263ffffffff,15.0,0.0,0.0,0.0
8445267ffffffff,11.0,0.0,0.0,0.0
8445269ffffffff,26.0,0.0,0.0,0.0
844526bffffffff,78.0,0.0,0.0,0.0
844526dffffffff,29.0,0.0,0.0,0.0
8445309ffffffff,6.0,0.0,0.0,0.0
844530dffffffff,13.0,0.0,0.0,0.0
8445343ffffffff,6.0,0.0,0.0,0.0
8445351ffffffff,35.0,0.0,0.0,0.0
844535bffffffff,2.0,0.0,0.0,0.0
844535dffffffff,2.0,0.0,0.0,0.0
8448035ffffffff,3.0,0.0,0.0,0.0
84480adffffffff,142.0,0.0,0.0,0.0
844815bffffffff,19.0,0.0,0.0,0.0
844819dffffffff,1.0,0.0,0.0,0.0
84481d7ffffffff,10.0,0.0,0.0,0.0
8448321ffffffff,2.0,0.0,0.0,0.0
844832bffffffff,2.0,0.0,0.0,0.0
8448331ffffffff,9.0,0.0,0.0,0.0
8448333ffffffff,3.0,0.0,0.0,0.0
8448337ffffffff,214.0,0.0,0.0,0.0
844833bffffffff,11.0,0.0,0.0,0.0
8448361ffffffff,967.0,23.0,0.0,0.0
8448363ffffffff,321.0,2.0,0.0,0.0
8448365ffffffff,45.0,0.0,0.0,0.0
8448367ffffffff,36.0,0.0,0.0,0.0
8448369ffffffff,152.0,0.0,0.0,0.0
844836dffffffff,110.0,2.0,0.0,0.0
8448a21ffffffff,55.0,0.0,0.0,0.0
8448a29ffffffff,21.0,0.0,0.0,0.0
8448a2dffffffff,13.0,0.0,0.0,0.0
8448cadffffffff,1.0,0.0,0.0,0.0
8448e4dffffffff,67.0,0.0,0.0,0.0
8449801ffffffff,228.0,0.0,0.0,0.0
8449805ffffffff,2.0,0.0,0.0,0.0
8449807ffffffff,2.0,0.0,0.0,0.0
8449809ffffffff,87.0,0.0,0.0,0.0
844980bffffffff,123.0,0.0,0.0,0.0
844980dffffffff,15.0,0.0,0.0,0.0
8449819ffffffff,6.0,0.0,0.0,0.0
8449821ffffffff,2.0,0.0,0.0,0.0
8449829ffffffff,12.0,0.0,0.0,0.0
844982bffffffff,5.0,0.0,0.0,0.0
8449831ffffffff,4.0,0.0,0.0,0.0
8449835ffffffff,2.0,0.0,0.0,0.0
844983dffffffff,17.0,0.0,0.0,0.0
8449843ffffffff,1.0,0.0,0.0,0.0
8449851ffffffff,3.0,0.0,0.0,0.0
8449853ffffffff,3.0,0.0,0.0,0.0
8449855ffffffff,52.0,0.0,0.0,0.0
8449857ffffffff,12.0,0.0,0.0,0.0
8449861ffffffff,104.0,0.0,0.0,0.0
8449863ffffffff,7.0,0.0,0.0,0.0
8449865ffffffff,117.0,4.0,0.0,0.0
8449867ffffffff,4.0,0.0,0.0,0.0
8449869ffffffff,3.0,0.0,0.0,0.0
844986bffffffff,2.0,0.0,0.0,0.0
844986dffffffff,87.0,0.0,0.0,0.0
8449889ffffffff,13.0,0.0,0.0,0.0
844988dffffffff,8.0,0.0,0.0,0.0
84498c7ffffffff,4.0,0.0,0.0,0.0
84498c9ffffffff,33.0,0.0,0.0,0.0
84498d9ffffffff,1.0,0.0,0.0,0.0
84498dbffffffff,1.0,0.0,0.0,0.0
8449901ffffffff,4.0,0.0,0.0,0.0
8449903ffffffff,11.0,0.0,0.0,0.0
844990bffffffff,13.0,2.0,0.0,0.0
8449917ffffffff,2.0,0.0,0.0,0.0
8449919ffffffff,4.0,0.0,0.0,0.0
844991dffffffff,32.0,0.0,0.0,0.0
8449943ffffffff,6.0,0.0,0.0,0.0
8449945ffffffff,8.0,0.0,0.0,0.0
844994bffffffff,37.0,0.0,0.0,0.0
8449953ffffffff,11.0,0.0,0.0,0.0
8449959ffffffff,807.0,25.0,0.0,0.0
844995bffffffff,355.0,2.0,0.0,0.0
844995dffffffff,50.0,0.0,0.0,0.0
8449961ffffffff,12.0,0.0,0.0,0.0
8449963ffffffff,438.0,132.0,0.0,0.0
8449969ffffffff,97.0,0.0,0.0,0.0
844996bffffffff,72.0,2.0,0.0,0.0
8449981ffffffff,2.0,0.0,0.0,0.0
8449983ffffffff,1.0,0.0,0.0,0.0
8449987ffffffff,36.0,0.0,0.0,0.0
84499c1ffffffff,5.0,0.0,0.0,0.0
84499c5ffffffff,10.0,0.0,0.0,0.0
84499c9ffffffff,3.0,0.0,0.0,0.0
84499cbffffffff,3.0,0.0,0.0,0.0
84499cdffffffff,10.0,0.0,0.0,0.0
84499d7ffffffff,1.0,0.0,0.0,0.0
84499ebffffffff,2.0,0.0,0.0,0.0
8449a81ffffffff,53.0,2.0,0.0,0.0
8449a83ffffffff,28.0,0.0,0.0,0.0
8449a85ffffffff,355.0,27.0,0.0,0.0
8449a87ffffffff,20.0,2.0,0.0,0.0
8449a89ffffffff,13.0,1.0,0.0,0.0
8449a8bffffffff,8.0,2.0,0.0,0.0
8449a8dffffffff,85.0,10.0,0.0,0.0
8449a91ffffffff,328.0,30.0,0.0,0.0
8449a93ffffffff,80.0,5.0,0.0,0.0
8449a95ffffffff,11.0,0.0,0.0,0.0
8449a97ffffffff,44.0,2.0,0.0,0.0
8449aa1ffffffff,78.0,2.0,0.0,0.0
8449aa3ffffffff,144.0,3.0,0.0,0.0
8449aa5ffffffff,7.0,0.0,0.0,0.0
8449aa7ffffffff,15.0,0.0,0.0,0.0
8449aa9ffffffff,16.0,2.0,0.0,0.0
8449aabffffffff,45.0,0.0,0.0,0.0
8449ab1ffffffff,105.0,2.0,0.0,0.0
8449ab3ffffffff,8.0,0.0,0.0,0.0
8449ab5ffffffff,64.0,0.0,0.0,0.0
8449ab9ffffffff,4.0,0.0,0.0,0.0
8449abbffffffff,2.0,0.0,0.0,0.0
8449abdffffffff,5.0,0.0,0.0,0.0
8449ae1ffffffff,1.0,0.0,0.0,0.0
8449ae3ffffffff,11.0,0.0,0.0,0.0
8449b03ffffffff,7.0,0.0,0.0,0.0
8449b0bffffffff,7.0,0.0,0.0,0.0
8449b15ffffffff,2.0,0.0,0.0,0.0
8449b17ffffffff,1.0,0.0,0.0,0.0
8449b19ffffffff,36.0,0.0,0.0,0.0
8449b1dffffffff,42.0,0.0,0.0,0.0
8449b25ffffffff,2.0,0.0,0.0,0.0
8449b29ffffffff,2.0,1.0,0.0,0.0
8449b33ffffffff,281.0,0.0,0.0,0.0
8449b35ffffffff,2.0,2.0,0.0,0.0
8449b37ffffffff,123.0,0.0,0.0,0.0
8449b3bffffffff,16.0,0.0,0.0,0.0
8449b53ffffffff,3.0,0.0,0.0,0.0
8449b57ffffffff,36.0,0.0,0.0,0.0
8449b65ffffffff,5.0,0.0,0.0,0.0
8449b67ffffffff,16.0,2.0,0.0,0.0
845f487ffffffff,8.0,0.0,0.0,0.0
845f4b9ffffffff,4.0,0.0,0.0,0.0
845f4bdffffffff,5.0,0.0,0.0,0.0
846601bffffffff,120.0,0.0,0.0,0.0
846606bffffffff,3.0,0.0,0.0,0.0
8466081ffffffff,41.0,0.0,0.0,0.0
8466083ffffffff,19.0,0.0,0.0,2.0
8466085ffffffff,2.0,0.0,0.0,0.0
8466087ffffffff,13.0,0.0,0.0,0.0
8466089ffffffff,13.0,0.0,0.0,0.0
846608dffffffff,156.0,0.0,0.0,1.0
8466091ffffffff,2.0,0.0,0.0,0.0
8466097ffffffff,1.0,0.0,0.0,0.0
846609dffffffff,6.0,0.0,0.0,0.0
84660abffffffff,2.0,0.0,0.0,0.0
84660b3ffffffff,7.0,0.0,0.0,0.0
84660b7ffffffff,2.0,0.0,0.0,0.0
84660b9ffffffff,19.0,0.0,0.0,0.0
84660bdffffffff,45.0,0.0,0.0,0.0
84660c3ffffffff,4.0,0.0,0.0,0.0
84660cbffffffff,21.0,0.0,0.0,0.0
84660cdffffffff,1.0,0.0,0.0,0.0
84660ddffffffff,22.0,0.0,0.0,0.0
8466181ffffffff,2.0,0.0,0.0,0.0
8466183ffffffff,124.0,0.0,0.0,0.0
846618bffffffff,8.0,0.0,0.0,0.0
846618dffffffff,5.0,0.0,0.0,0.0
8466191ffffffff,3.0,0.0,0.0,0.0
8466193ffffffff,12.0,0.0,0.0,0.0
8466195ffffffff,33.0,0.0,0.0,0.0
8466197ffffffff,32.0,0.0,0.0,0.0
8466199ffffffff,9.0,0.0,0.0,0.0
846619bffffffff,15.0,0.0,0.0,0.0
846619dffffffff,90.0,0.0,0.0,0.0
84661b1ffffffff,14.0,0.0,0.0,0.0
84661b3ffffffff,86.0,0.0,0.0,0.0
84661b7ffffffff,2.0,0.0,0.0,0.0
84661b9ffffffff,257.0,0.0,0.0,0.0
84661bbffffffff,261.0,0.0,0.0,0.0
84661d1ffffffff,3.0,0.0,0.0,0.0
84661d5ffffffff,6.0,0.0,0.0,0.0
84661d7ffffffff,1.0,0.0,0.0,0.0
8466205ffffffff,4.0,0.0,0.0,0.0
8466207ffffffff,10.0,0.0,0.0,6.0
8466211ffffffff,7.0,0.0,0.0,0.0
8466213ffffffff,11.0,0.0,0.0,0.0
8466217ffffffff,224.0,0.0,0.0,0.0
846622bffffffff,1104.0,0.0,0.0,106.0
8466231ffffffff,2.0,0.0,0.0,0.0
8466239ffffffff,2.0,0.0,0.0,0.0
846623dffffffff,24.0,0.0,0.0,7.0
84662b1ffffffff,2.0,0.0,0.0,2.0
84662b7ffffffff,15.0,0.0,0.0,0.0
84662d3ffffffff,6.0,0.0,0.0,0.0
84662e5ffffffff,2.0,0.0,0.0,0.0
84662e9ffffffff,3.0,0.0,0.0,0.0
8466313ffffffff,1.0,0.0,0.0,0.0
846656dffffffff,1.0,0.0,0.0,0.0
846676dffffffff,1.0,0.0,0.0,0.0
8466a01ffffffff,4.0,0.0,0.0,0.0
8466a05ffffffff,10.0,0.0,0.0,0.0
8466a0bffffffff,118.0,0.0,0.0,0.0
8466a1dffffffff,2.0,0.0,0.0,0.0
8466a21ffffffff,2.0,0.0,0.0,0.0
8466a29ffffffff,3.0,0.0,0.0,0.0
8466a2dffffffff,148.0,0.0,9.0,0.0
8466a33ffffffff,49.0,0.0,8.0,0.0
8466a3bffffffff,6.0,0.0,6.0,0.0
8466a57ffffffff,26.0,0.0,0.0,0.0
8466b41ffffffff,1100.0,0.0,0.0,0.0
8466b43ffffffff,271.0,0.0,0.0,0.0
8466b45ffffffff,160.0,0.0,0.0,0.0
8466b47ffffffff,69.0,0.0,0.0,0.0
8466b49ffffffff,54.0,0.0,0.0,0.0
8466b4dffffffff,2086.0,0.0,0.0,0.0
8466b51ffffffff,995.0,0.0,25.0,0.0
8466b53ffffffff,492.0,0.0,29.0,0.0
8466b55ffffffff,1913.0,0.0,0.0,0.0
8466b57ffffffff,6.0,0.0,0.0,0.0
8466b5bffffffff,267.0,0.0,15.0,0.0
8466b5dffffffff,98.0,0.0,0.0,0.0
8466c0dffffffff,31.0,0.0,0.0,0.0
8466c41ffffffff,105.0,0.0,0.0,0.0
8466c45ffffffff,31.0,0.0,0.0,0.0
8466c47ffffffff,31.0,0.0,0.0,0.0
8466c49ffffffff,9.0,0.0,0.0,0.0
8466c61ffffffff,23.0,0.0,0.0,0.0
8466c63ffffffff,271.0,0.0,0.0,0.0
8466c65ffffffff,35.0,0.0,0.0,0.0
8466c69ffffffff,4.0,0.0,0.0,0.0
8466c6bffffffff,15.0,0.0,0.0,0.0
8466c6dffffffff,477.0,0.0,0.0,0.0
8466d19ffffffff,33.0,0.0,0.0,0.0
8466d53ffffffff,34.0,0.0,0.0,0.0
8466d57ffffffff,3.0,0.0,0.0,0.0
8466d59ffffffff,3.0,0.0,0.0,0.0
8466d5bffffffff,7.0,0.0,0.0,0.0
