cell_id,Coracina javensis,Coracina javensis javensis,Coracina javensis [nipalensis Group],Coracina javensis rexpineti
843c021ffffffff,6.0,0.0,0.0,0.0
843c027ffffffff,3.0,0.0,0.0,0.0
843c029ffffffff,328.0,0.0,9.0,0.0
843c02bffffffff,1.0,0.0,0.0,0.0
843c02dffffffff,166.0,0.0,8.0,0.0
843c063ffffffff,1.0,0.0,0.0,0.0
843c065ffffffff,14.0,0.0,0.0,0.0
843c067ffffffff,70.0,0.0,2.0,0.0
843c069ffffffff,2.0,0.0,0.0,0.0
843c06dffffffff,2.0,0.0,0.0,0.0
843c0a5ffffffff,27.0,0.0,0.0,0.0
843c0adffffffff,3.0,0.0,0.0,0.0
843c157ffffffff,1.0,0.0,0.0,0.0
843c159ffffffff,152.0,0.0,0.0,0.0
843c15bffffffff,3.0,0.0,0.0,0.0
843c189ffffffff,5.0,0.0,0.0,0.0
843c18bffffffff,2.0,0.0,0.0,0.0
843c191ffffffff,4.0,0.0,0.0,0.0
843c199ffffffff,299.0,0.0,0.0,0.0
843c19bffffffff,36.0,0.0,0.0,0.0
843c19dffffffff,2.0,0.0,0.0,0.0
843c1bbffffffff,4.0,0.0,0.0,0.0
843c1c1ffffffff,2.0,0.0,0.0,0.0
843c1c3ffffffff,271.0,0.0,1.0,0.0
843c1c7ffffffff,10.0,0.0,0.0,0.0
843c1c9ffffffff,7.0,0.0,0.0,0.0
843c1d1ffffffff,1.0,0.0,0.0,0.0
843c1d3ffffffff,17.0,0.0,0.0,0.0
843c1d5ffffffff,4.0,0.0,0.0,0.0
843c1d7ffffffff,14.0,0.0,0.0,0.0
843c307ffffffff,3.0,0.0,0.0,0.0
843c315ffffffff,3.0,0.0,0.0,0.0
843c329ffffffff,1.0,0.0,0.0,0.0
843c32bffffffff,2.0,0.0,0.0,0.0
843c331ffffffff,2.0,0.0,0.0,0.0
843c333ffffffff,9.0,0.0,0.0,0.0
843c335ffffffff,4.0,0.0,0.0,0.0
843c337ffffffff,4.0,0.0,0.0,0.0
843c33bffffffff,72.0,0.0,0.0,0.0
843c33dffffffff,5.0,0.0,0.0,0.0
843c345ffffffff,2.0,0.0,0.0,0.0
843c369ffffffff,20.0,0.0,0.0,0.0
843c36bffffffff,8.0,0.0,0.0,0.0
843c525ffffffff,11.0,0.0,0.0,0.0
843c527ffffffff,10.0,0.0,0.0,0.0
843c537ffffffff,7.0,0.0,0.0,0.0
843c581ffffffff,13.0,0.0,0.0,0.0
843c585ffffffff,11.0,0.0,0.0,0.0
843c587ffffffff,2.0,0.0,0.0,0.0
843c5a1ffffffff,87.0,0.0,0.0,0.0
843c5a3ffffffff,1.0,0.0,0.0,0.0
843c5a9ffffffff,39.0,0.0,0.0,0.0
843c5adffffffff,15.0,0.0,0.0,0.0
843c5b7ffffffff,3.0,0.0,0.0,0.0
843c5bdffffffff,34.0,0.0,0.0,0.0
843c5e3ffffffff,2.0,0.0,0.0,0.0
843c5e7ffffffff,6.0,0.0,0.0,0.0
843c899ffffffff,9.0,0.0,0.0,0.0
