cell_id,Columba vitiensis,Columba vitiensis [vitiensis Group],Columba vitiensis castaneiceps
844b933ffffffff,1.0,0.0,0.0
844b9cdffffffff,3.0,0.0,0.0
846841bffffffff,1.0,0.0,0.0
8468423ffffffff,1.0,0.0,0.0
8468435ffffffff,10.0,0.0,0.0
846846dffffffff,2.0,0.0,0.0
84684e5ffffffff,3.0,0.0,0.0
8468589ffffffff,1.0,1.0,0.0
84685c7ffffffff,18.0,0.0,0.0
84685d1ffffffff,4.0,0.0,0.0
84685e7ffffffff,1.0,0.0,0.0
84685e9ffffffff,11.0,2.0,0.0
8468625ffffffff,1.0,0.0,0.0
8468751ffffffff,5.0,0.0,0.0
8468f6bffffffff,3.0,0.0,0.0
8469411ffffffff,1.0,0.0,0.0
846945dffffffff,1.0,0.0,0.0
84694e7ffffffff,1.0,0.0,0.0
8469685ffffffff,1.0,0.0,0.0
84696a9ffffffff,2.0,0.0,0.0
84696adffffffff,1.0,0.0,0.0
84696dbffffffff,1.0,0.0,0.0
8472a2bffffffff,40.0,0.0,0.0
8472d23ffffffff,5.0,0.0,0.0
8472da1ffffffff,3.0,0.0,0.0
8472db3ffffffff,2.0,0.0,0.0
8472db7ffffffff,5.0,0.0,0.0
8473907ffffffff,7.0,0.0,0.0
847390dffffffff,1.0,0.0,0.0
847395bffffffff,1.0,0.0,0.0
84739a1ffffffff,1.0,0.0,0.0
84739abffffffff,13.0,0.0,0.0
84739adffffffff,5.0,0.0,0.0
8473b09ffffffff,4.0,0.0,0.0
84768abffffffff,1.0,0.0,0.0
84769d1ffffffff,6.0,0.0,0.0
8494231ffffffff,37.0,4.0,0.0
8494237ffffffff,9.0,0.0,0.0
849426dffffffff,3.0,0.0,0.0
84942c1ffffffff,2.0,0.0,0.0
84942c5ffffffff,1.0,0.0,0.0
84942d3ffffffff,1.0,0.0,0.0
84942e9ffffffff,3.0,0.0,0.0
8495185ffffffff,1.0,0.0,0.0
84951a9ffffffff,2.0,0.0,0.0
84951abffffffff,1.0,0.0,0.0
84951e3ffffffff,3.0,0.0,0.0
84951e7ffffffff,3.0,0.0,0.0
849544bffffffff,1.0,0.0,0.0
8495533ffffffff,4.0,0.0,0.0
8495537ffffffff,2.0,0.0,0.0
8495583ffffffff,6.0,0.0,0.0
8495613ffffffff,3.0,0.0,0.0
84956a5ffffffff,1.0,0.0,0.0
84956bdffffffff,31.0,0.0,0.0
8495a53ffffffff,2.0,0.0,0.0
8495a99ffffffff,5.0,3.0,0.0
849a021ffffffff,10.0,0.0,0.0
849a02dffffffff,21.0,0.0,0.0
849a151ffffffff,42.0,0.0,0.0
849a15bffffffff,1.0,0.0,0.0
849b413ffffffff,3.0,0.0,0.0
849b41bffffffff,10.0,0.0,0.0
849b41dffffffff,1.0,0.0,0.0
849b437ffffffff,6.0,0.0,0.0
849b447ffffffff,1.0,0.0,0.0
849b4c1ffffffff,2.0,0.0,0.0
849b4c9ffffffff,2.0,0.0,0.0
849b4cbffffffff,3.0,0.0,0.0
849b4cdffffffff,5.0,0.0,0.0
849b4d5ffffffff,1.0,0.0,0.0
849b4ddffffffff,1.0,0.0,0.0
849b4e5ffffffff,3.0,0.0,0.0
849b5cbffffffff,2.0,0.0,0.0
849b5cdffffffff,1.0,0.0,0.0
849b5d9ffffffff,2.0,0.0,0.0
849b5ddffffffff,1.0,0.0,0.0
849b6a3ffffffff,3.0,0.0,0.0
849b6a7ffffffff,13.0,0.0,0.0
849b6adffffffff,4.0,0.0,0.0
849b6b1ffffffff,2.0,0.0,0.0
849b6b5ffffffff,8.0,0.0,0.0
849b6b7ffffffff,10.0,0.0,0.0
849b6bdffffffff,4.0,0.0,0.0
849b6e7ffffffff,2.0,0.0,0.0
849b733ffffffff,1.0,0.0,0.0
849c8bdffffffff,1.0,0.0,0.0
849cd2dffffffff,6.0,0.0,0.0
849cd31ffffffff,3.0,0.0,0.0
849cd33ffffffff,5.0,0.0,0.0
849e025ffffffff,9.0,0.0,0.0
849e027ffffffff,3.0,0.0,0.0
849e029ffffffff,2.0,0.0,0.0
849e02dffffffff,6.0,0.0,0.0
849e065ffffffff,1.0,0.0,0.0
849e067ffffffff,7.0,0.0,0.0
849e06dffffffff,1.0,0.0,0.0
849e103ffffffff,1.0,0.0,0.0
849e113ffffffff,2.0,0.0,0.0
849e119ffffffff,4.0,0.0,0.0
849e225ffffffff,2.0,0.0,0.0
849e227ffffffff,5.0,0.0,0.0
849e245ffffffff,29.0,0.0,0.0
849e261ffffffff,3.0,0.0,0.0
849e269ffffffff,2.0,0.0,0.0
849e31bffffffff,6.0,0.0,0.0
849ed51ffffffff,21.0,0.0,0.0
849f503ffffffff,1.0,0.0,0.0
849f50bffffffff,17.0,0.0,0.0
849f515ffffffff,49.0,0.0,0.0
849f517ffffffff,22.0,0.0,0.0
849f521ffffffff,1.0,0.0,0.0
849f523ffffffff,6.0,0.0,0.0
849f529ffffffff,27.0,0.0,0.0
849f54bffffffff,6.0,0.0,0.0
849f555ffffffff,2.0,0.0,0.0
849f557ffffffff,11.0,0.0,0.0
