cell_id,Fulica ardesiaca,Fulica ardesiaca (White-billed),Fulica ardesiaca (Yellow-billed)
8366c2fffffffff,5.0,1.0,2.0
8366d1fffffffff,20.0,0.0,0.0
8366d3fffffffff,12.0,4.0,2.0
8366d5fffffffff,2.0,0.0,0.0
8366defffffffff,16.0,10.0,4.0
838b22fffffffff,3.0,0.0,0.0
838b61fffffffff,6.0,0.0,0.0
838e62fffffffff,9.0,4.0,3.0
838e64fffffffff,1.0,0.0,0.0
838e6dfffffffff,13.0,7.0,6.0
838e75fffffffff,21.0,0.0,1.0
838f0bfffffffff,3.0,0.0,0.0
838f0dfffffffff,8.0,0.0,0.0
838f29fffffffff,14.0,1.0,1.0
838f2afffffffff,4.0,0.0,0.0
838f2dfffffffff,1.0,1.0,0.0
838f2efffffffff,35.0,0.0,0.0
838f50fffffffff,13.0,0.0,0.0
838f5cfffffffff,7.0,0.0,0.0
838f76fffffffff,1.0,1.0,0.0
83b201fffffffff,5.0,0.0,0.0
83b203fffffffff,14.0,0.0,0.0
83b205fffffffff,2.0,0.0,0.0
83b219fffffffff,10.0,0.0,0.0
83b21dfffffffff,1.0,0.0,0.0
83b22bfffffffff,1.0,0.0,0.0
83b25cfffffffff,4.0,0.0,0.0
83b2c4fffffffff,2.0,0.0,0.0
83b2c5fffffffff,2.0,0.0,0.0
83b305fffffffff,3.0,0.0,0.0
83b30bfffffffff,8.0,0.0,0.0
83b320fffffffff,19.0,0.0,0.0
83b32cfffffffff,2.0,0.0,0.0
83b330fffffffff,4.0,0.0,0.0
83b342fffffffff,3.0,0.0,0.0
83b351fffffffff,29.0,0.0,0.0
83b353fffffffff,2.0,0.0,0.0
83b354fffffffff,27.0,0.0,0.0
83b355fffffffff,2.0,0.0,0.0
83b35afffffffff,4.0,0.0,0.0
83b35efffffffff,2.0,0.0,0.0
