cell_id,Basileuterus tristriatus,Basileuterus tristriatus sanlucasensis,Basileuterus tristriatus daedalus,Basileuterus tristriatus auricularis,Basileuterus tristriatus meridanus/bessereri,Basileuterus tristriatus pariae,Basileuterus tristriatus tristriatus/baezae
835f4afffffffff,12.0,0.0,0.0,0.0,1.0,0.0,0.0
835f59fffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
836601fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
836608fffffffff,442.0,0.0,0.0,0.0,0.0,0.0,0.0
83660afffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83660bfffffffff,102.0,0.0,0.0,0.0,0.0,0.0,0.0
83660cfffffffff,30.0,0.0,0.0,5.0,0.0,0.0,0.0
83660dfffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
836618fffffffff,168.0,0.0,0.0,5.0,0.0,0.0,0.0
836619fffffffff,823.0,0.0,0.0,8.0,0.0,0.0,0.0
83661bfffffffff,3973.0,0.0,292.0,0.0,0.0,0.0,0.0
83661cfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83661dfffffffff,732.0,0.0,0.0,18.0,0.0,0.0,0.0
83661efffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
836621fffffffff,88.0,0.0,0.0,0.0,0.0,0.0,0.0
836629fffffffff,165.0,0.0,0.0,0.0,21.0,0.0,0.0
83662bfffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
83662dfffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
83662efffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
836656fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c0fffffffff,225.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c2fffffffff,255.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c4fffffffff,158.0,0.0,0.0,6.0,0.0,0.0,0.0
8366c6fffffffff,498.0,0.0,0.0,6.0,0.0,0.0,0.0
8366d0fffffffff,557.0,0.0,32.0,0.0,0.0,0.0,0.0
8366d1fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d2fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d3fffffffff,5471.0,0.0,602.0,0.0,0.0,0.0,0.0
8366d5fffffffff,37.0,0.0,0.0,0.0,0.0,0.0,0.0
8366dafffffffff,58.0,0.0,0.0,0.0,0.0,0.0,0.0
8366defffffffff,745.0,0.0,0.0,0.0,0.0,0.0,45.0
8366e0fffffffff,729.0,0.0,0.0,3.0,0.0,0.0,0.0
8366e2fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8366e3fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8366e4fffffffff,76.0,0.0,0.0,0.0,0.0,0.0,0.0
8366e5fffffffff,90.0,0.0,0.0,0.0,0.0,0.0,0.0
8366e6fffffffff,2839.0,0.0,8.0,39.0,0.0,0.0,0.0
8366f0fffffffff,118.0,0.0,0.0,0.0,0.0,0.0,0.0
8366f1fffffffff,2607.0,0.0,26.0,30.0,0.0,0.0,0.0
8366f3fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8366f5fffffffff,1015.0,0.0,6.0,0.0,0.0,0.0,0.0
836741fffffffff,867.0,0.0,0.0,0.0,21.0,0.0,0.0
836743fffffffff,121.0,0.0,0.0,0.0,9.0,0.0,0.0
83674cfffffffff,271.0,0.0,0.0,0.0,1.0,0.0,0.0
83674efffffffff,598.0,0.0,0.0,0.0,16.0,0.0,0.0
836758fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83675afffffffff,94.0,0.0,0.0,0.0,2.0,0.0,0.0
83675cfffffffff,48.0,0.0,0.0,0.0,6.0,0.0,0.0
83675efffffffff,77.0,0.0,0.0,0.0,0.0,0.0,0.0
838b61fffffffff,859.0,0.0,0.0,0.0,0.0,0.0,18.0
838b6cfffffffff,86.0,0.0,0.0,0.0,0.0,0.0,5.0
838e64fffffffff,165.0,0.0,0.0,0.0,0.0,0.0,0.0
838e65fffffffff,44.0,0.0,0.0,0.0,0.0,0.0,0.0
838e6cfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
838f0dfffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
838f29fffffffff,85.0,0.0,0.0,0.0,0.0,0.0,0.0
838f2afffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
838f2bfffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0
838f2dfffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
838f40fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,1.0
838f42fffffffff,90.0,0.0,0.0,0.0,0.0,0.0,0.0
838f43fffffffff,86.0,0.0,0.0,0.0,0.0,0.0,8.0
838f46fffffffff,437.0,0.0,0.0,0.0,0.0,0.0,25.0
