cell_id,Cranioleuca antisiensis,Cranioleuca antisiensis antisiensis/palamblae,Cranioleuca antisiensis [baroni Group]
838e62fffffffff,9.0,1.0,6.0
838e66fffffffff,9.0,2.0,2.0
838f50fffffffff,1.0,1.0,0.0
838f59fffffffff,47.0,2.0,21.0
838f72fffffffff,3.0,1.0,0.0
