cell_id,Crax fasciolata,Crax fasciolata pinima,Crax fasciolata fasciolata/grayi
82812ffffffffff,1.0,0.0,0.0
828147fffffffff,75.0,0.0,5.0
82814ffffffffff,140.0,0.0,2.0
82815ffffffffff,8.0,0.0,0.0
828167fffffffff,96.0,0.0,4.0
828177fffffffff,18.0,0.0,0.0
828b07fffffffff,6.0,0.0,0.0
828b0ffffffffff,5.0,0.0,0.0
828b17fffffffff,2.0,0.0,0.0
828b1ffffffffff,5.0,0.0,0.0
828b37fffffffff,16.0,0.0,0.0
828b77fffffffff,2.0,0.0,0.0
828b8ffffffffff,8.0,0.0,0.0
828b9ffffffffff,465.0,0.0,13.0
828ba7fffffffff,21.0,0.0,0.0
828bb7fffffffff,18.0,0.0,2.0
82a80ffffffffff,4.0,0.0,0.0
82a81ffffffffff,22.0,0.0,2.0
82a847fffffffff,788.0,0.0,38.0
82a84ffffffffff,15.0,0.0,0.0
82a857fffffffff,99.0,0.0,7.0
82a85ffffffffff,3764.0,0.0,193.0
82a867fffffffff,22.0,0.0,0.0
82a877fffffffff,84.0,0.0,2.0
82a8affffffffff,22.0,0.0,6.0
82a8c7fffffffff,14.0,0.0,0.0
82a8cffffffffff,8.0,0.0,3.0
82a8d7fffffffff,33.0,0.0,1.0
82a8dffffffffff,14.0,0.0,0.0
82a8e7fffffffff,10.0,0.0,0.0
82a8effffffffff,42.0,0.0,2.0
82a8f7fffffffff,29.0,0.0,0.0
82a947fffffffff,30.0,0.0,0.0
82a94ffffffffff,27.0,0.0,0.0
82a95ffffffffff,4.0,0.0,0.0
82a96ffffffffff,68.0,0.0,0.0
