cell_id,Myadestes genibarbis,Myadestes genibarbis [genibarbis Group],Myadestes genibarbis sibilans
8445b21ffffffff,50.0,0.0,0.0
8445b23ffffffff,1.0,0.0,0.0
8445b25ffffffff,7.0,0.0,0.0
8445b27ffffffff,18.0,0.0,0.0
8445b2bffffffff,15.0,0.0,0.0
8445b2dffffffff,11.0,0.0,0.0
844c893ffffffff,15.0,1.0,0.0
844c897ffffffff,5.0,0.0,0.0
844cd29ffffffff,148.0,6.0,0.0
844cd2dffffffff,45.0,7.0,0.0
844cd45ffffffff,182.0,18.0,0.0
844cd47ffffffff,14.0,0.0,0.0
844cd4dffffffff,13.0,2.0,0.0
844cd65ffffffff,2.0,0.0,0.0
844cd67ffffffff,11.0,2.0,0.0
844cd69ffffffff,6.0,0.0,0.0
844cf27ffffffff,7.0,0.0,0.0
845e405ffffffff,2.0,0.0,0.0
845e42bffffffff,45.0,0.0,0.0
845e43dffffffff,90.0,0.0,0.0
845e463ffffffff,56.0,0.0,0.0
845e467ffffffff,2.0,0.0,0.0
845e469ffffffff,106.0,21.0,0.0
845e717ffffffff,2.0,0.0,0.0
845e71bffffffff,17.0,0.0,11.0
8467251ffffffff,7.0,0.0,0.0
8467253ffffffff,2.0,0.0,0.0
8467255ffffffff,5.0,0.0,0.0
8467259ffffffff,2.0,0.0,0.0
846725bffffffff,455.0,23.0,0.0
846725dffffffff,5.0,0.0,0.0
8467261ffffffff,2.0,0.0,0.0
8467263ffffffff,4.0,0.0,0.0
8467267ffffffff,20.0,0.0,0.0
8467305ffffffff,217.0,4.0,0.0
8467329ffffffff,840.0,27.0,0.0
846735bffffffff,2.0,0.0,0.0
8467363ffffffff,31.0,0.0,0.0
8467365ffffffff,7.0,0.0,0.0
8467367ffffffff,14.0,1.0,0.0
