cell_id,Cryptolybia olivacea,Cryptolybia olivacea olivacea,Cryptolybia olivacea howelli,Cryptolybia olivacea woodwardi,Cryptolybia olivacea rungweensis,Cryptolybia olivacea belcheri
847b487ffffffff,226.0,37.0,0.0,0.0,0.0,0.0
847b491ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
847b4a1ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
847b4a5ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
847b4a7ffffffff,90.0,0.0,0.0,0.0,0.0,0.0
847b4b9ffffffff,42.0,15.0,0.0,0.0,0.0,0.0
847b4bdffffffff,2.0,2.0,0.0,0.0,0.0,0.0
847b4dbffffffff,11.0,0.0,0.0,0.0,0.0,0.0
847b591ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
847b595ffffffff,16.0,0.0,0.0,0.0,0.0,0.0
847b597ffffffff,291.0,0.0,0.0,0.0,0.0,0.0
847b59bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8496a03ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8496a0bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8496b09ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
8496b0dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8496b21ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8496b2bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8496b47ffffffff,1.0,0.0,0.0,1.0,0.0,0.0
8496b55ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8496b67ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8497937ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
84bcf09ffffffff,26.0,0.0,0.0,6.0,0.0,0.0
84bcf47ffffffff,98.0,0.0,0.0,40.0,0.0,0.0
84bcf61ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
