cell_id,Amytornis textilis,Amytornis textilis textilis,Amytornis textilis myall
83a626fffffffff,3.0,3.0,0.0
83b912fffffffff,1.0,0.0,0.0
83b9acfffffffff,1.0,0.0,1.0
