cell_id,Icterus cayanensis,Icterus cayanensis chrysocephalus,Icterus cayanensis cayanensis
835f01fffffffff,2.0,0.0,0.0
835f02fffffffff,2.0,0.0,0.0
835f03fffffffff,47.0,20.0,4.0
835f08fffffffff,5.0,2.0,0.0
835f09fffffffff,11.0,0.0,0.0
835f0bfffffffff,5.0,2.0,0.0
835f0dfffffffff,2.0,0.0,0.0
835f0efffffffff,1.0,1.0,0.0
835f10fffffffff,15.0,0.0,5.0
835f12fffffffff,21.0,0.0,1.0
835f13fffffffff,9.0,0.0,0.0
835f14fffffffff,2.0,0.0,0.0
835f16fffffffff,4.0,0.0,0.0
835f1cfffffffff,8.0,0.0,0.0
835f1efffffffff,6.0,0.0,1.0
835f22fffffffff,11.0,0.0,11.0
835f29fffffffff,14.0,6.0,0.0
835f2bfffffffff,368.0,157.0,0.0
835f2dfffffffff,6.0,0.0,0.0
835f42fffffffff,6.0,4.0,0.0
835f4efffffffff,2.0,0.0,0.0
835f50fffffffff,6.0,0.0,0.0
835f5dfffffffff,8.0,0.0,0.0
835f66fffffffff,1.0,0.0,0.0
835f68fffffffff,15.0,5.0,0.0
835f70fffffffff,2.0,1.0,0.0
835f71fffffffff,9.0,3.0,0.0
835f75fffffffff,37.0,4.0,0.0
835f76fffffffff,7.0,1.0,0.0
836641fffffffff,274.0,109.0,0.0
836646fffffffff,2.0,0.0,0.0
836648fffffffff,7.0,2.0,0.0
83664bfffffffff,2.0,0.0,0.0
83664efffffffff,3.0,3.0,0.0
836652fffffffff,41.0,15.0,0.0
83665afffffffff,509.0,167.0,0.0
83665bfffffffff,102.0,32.0,0.0
83665efffffffff,23.0,0.0,0.0
836663fffffffff,13.0,2.0,0.0
836664fffffffff,4.0,4.0,0.0
83666afffffffff,3.0,3.0,0.0
83666bfffffffff,8.0,4.0,0.0
83666cfffffffff,6.0,0.0,0.0
83666efffffffff,2.0,1.0,0.0
836671fffffffff,2.0,0.0,0.0
836673fffffffff,1.0,0.0,0.0
8366c0fffffffff,41.0,0.0,0.0
8366c1fffffffff,7.0,0.0,0.0
8366c2fffffffff,176.0,10.0,0.0
8366c3fffffffff,4.0,4.0,0.0
8366c5fffffffff,22.0,0.0,0.0
8366c9fffffffff,1.0,0.0,0.0
8366cdfffffffff,12.0,3.0,0.0
8366cefffffffff,31.0,4.0,0.0
8366d1fffffffff,17.0,4.0,0.0
8366d8fffffffff,11.0,3.0,0.0
8366dafffffffff,4.0,4.0,0.0
8366dbfffffffff,6.0,0.0,0.0
8366dcfffffffff,247.0,129.0,0.0
8366ddfffffffff,13.0,8.0,0.0
8366defffffffff,66.0,48.0,0.0
8366e0fffffffff,74.0,16.0,0.0
8366e1fffffffff,78.0,5.0,0.0
8366e3fffffffff,20.0,3.0,0.0
8366e5fffffffff,178.0,44.0,0.0
8366e8fffffffff,10.0,0.0,0.0
8366e9fffffffff,7.0,2.0,0.0
8366ecfffffffff,194.0,17.0,0.0
8366eefffffffff,37.0,4.0,0.0
838040fffffffff,3.0,0.0,0.0
838044fffffffff,4.0,0.0,0.0
838046fffffffff,2.0,0.0,0.0
838048fffffffff,1.0,0.0,0.0
83804cfffffffff,2.0,0.0,0.0
83806afffffffff,1.0,0.0,0.0
83806bfffffffff,6.0,0.0,0.0
838074fffffffff,1.0,0.0,0.0
838140fffffffff,9.0,0.0,0.0
838142fffffffff,1.0,0.0,0.0
838143fffffffff,1.0,0.0,0.0
838144fffffffff,3.0,0.0,3.0
838145fffffffff,2.0,0.0,0.0
838146fffffffff,7.0,0.0,0.0
83814afffffffff,41.0,0.0,0.0
83814cfffffffff,2.0,0.0,0.0
83814dfffffffff,19.0,0.0,0.0
83814efffffffff,26.0,0.0,0.0
838151fffffffff,5.0,0.0,0.0
83815dfffffffff,3.0,0.0,0.0
83815efffffffff,1.0,0.0,0.0
838162fffffffff,15.0,0.0,0.0
838166fffffffff,4.0,0.0,0.0
838170fffffffff,1.0,0.0,1.0
838171fffffffff,64.0,0.0,39.0
838173fffffffff,2.0,0.0,0.0
838175fffffffff,9.0,0.0,5.0
838a00fffffffff,4.0,0.0,1.0
838a01fffffffff,3.0,0.0,0.0
838a05fffffffff,39.0,0.0,6.0
838a06fffffffff,1.0,0.0,1.0
838a10fffffffff,18.0,0.0,0.0
838a15fffffffff,2.0,0.0,0.0
838a18fffffffff,2.0,0.0,2.0
838a1afffffffff,4.0,0.0,2.0
838a1efffffffff,2.0,0.0,0.0
838a2cfffffffff,1.0,0.0,0.0
838a31fffffffff,7.0,0.0,0.0
838a33fffffffff,5.0,0.0,2.0
838a45fffffffff,67.0,9.0,0.0
838a4bfffffffff,4.0,0.0,0.0
838a63fffffffff,6.0,0.0,2.0
838a69fffffffff,42.0,30.0,0.0
838a6dfffffffff,53.0,13.0,0.0
838a80fffffffff,7.0,0.0,0.0
838a9cfffffffff,7.0,0.0,0.0
838aa9fffffffff,4.0,0.0,2.0
838aaafffffffff,6.0,0.0,0.0
838aadfffffffff,6.0,0.0,0.0
838ad1fffffffff,6.0,3.0,0.0
838ad8fffffffff,15.0,7.0,0.0
838adafffffffff,2.0,2.0,0.0
838adbfffffffff,42.0,37.0,0.0
838ae5fffffffff,2.0,2.0,0.0
838ae8fffffffff,2.0,0.0,0.0
838af0fffffffff,2.0,2.0,0.0
838af1fffffffff,4.0,4.0,0.0
838af2fffffffff,37.0,20.0,1.0
838af4fffffffff,9.0,6.0,3.0
838af6fffffffff,45.0,40.0,0.0
838b0cfffffffff,4.0,0.0,0.0
838b0dfffffffff,2.0,0.0,0.0
838b20fffffffff,13.0,0.0,0.0
838b22fffffffff,8.0,0.0,0.0
838b26fffffffff,1.0,0.0,0.0
838b28fffffffff,2.0,0.0,0.0
838b2afffffffff,13.0,0.0,1.0
838b40fffffffff,20.0,0.0,0.0
838b44fffffffff,186.0,0.0,12.0
838b45fffffffff,2.0,0.0,2.0
838b46fffffffff,6.0,0.0,0.0
838b4efffffffff,7.0,0.0,0.0
838b52fffffffff,1.0,0.0,0.0
838b56fffffffff,1.0,0.0,0.0
838b61fffffffff,64.0,0.0,4.0
838b62fffffffff,31.0,0.0,3.0
838b63fffffffff,148.0,0.0,30.0
838b69fffffffff,10.0,0.0,0.0
838b6efffffffff,6.0,0.0,2.0
838b71fffffffff,169.0,0.0,19.0
838b74fffffffff,25.0,0.0,1.0
838b75fffffffff,2.0,0.0,2.0
838b76fffffffff,7.0,0.0,0.0
838b83fffffffff,2.0,0.0,2.0
838b84fffffffff,85.0,0.0,5.0
838b88fffffffff,6.0,0.0,0.0
838b8afffffffff,4.0,0.0,1.0
838b98fffffffff,1.0,0.0,0.0
838b99fffffffff,57.0,0.0,0.0
838b9cfffffffff,1.0,0.0,0.0
838b9dfffffffff,334.0,0.0,50.0
838ba0fffffffff,25.0,0.0,0.0
838ba2fffffffff,1.0,0.0,0.0
838ba4fffffffff,2.0,0.0,2.0
838ba6fffffffff,29.0,0.0,5.0
838bb5fffffffff,31.0,0.0,0.0
838e64fffffffff,3.0,0.0,0.0
838e65fffffffff,7.0,0.0,0.0
838f40fffffffff,47.0,31.0,0.0
838f41fffffffff,2.0,1.0,0.0
838f42fffffffff,3.0,0.0,0.0
838f43fffffffff,75.0,49.0,0.0
838f44fffffffff,14.0,7.0,0.0
838f46fffffffff,52.0,32.0,0.0
838f48fffffffff,10.0,0.0,0.0
838f4afffffffff,3.0,1.0,0.0
838f4bfffffffff,8.0,0.0,0.0
838f5cfffffffff,1.0,0.0,0.0
838f5dfffffffff,17.0,1.0,0.0
838f61fffffffff,10.0,3.0,1.0
838f63fffffffff,3.0,3.0,0.0
838f65fffffffff,8.0,8.0,0.0
838f6bfffffffff,3.0,0.0,0.0
838f70fffffffff,11.0,4.0,0.0
838f71fffffffff,19.0,19.0,0.0
838f72fffffffff,27.0,9.0,0.0
838f73fffffffff,1.0,1.0,0.0
838f74fffffffff,6.0,0.0,0.0
838f76fffffffff,1.0,0.0,0.0
83a84afffffffff,8.0,0.0,3.0
83a859fffffffff,225.0,0.0,14.0
83a85afffffffff,5.0,0.0,0.0
83a85bfffffffff,4.0,0.0,0.0
83a85dfffffffff,65.0,0.0,13.0
83a8c9fffffffff,1.0,0.0,1.0
83a8cdfffffffff,2.0,0.0,0.0
83b325fffffffff,5.0,0.0,1.0
83b362fffffffff,2.0,0.0,0.0
83b366fffffffff,5.0,0.0,0.0
