cell_id,Cincloramphus macrurus,Cincloramphus macrurus interscapularis/mayri,Cincloramphus macrurus [macrurus Group]
8272a7fffffffff,1.0,0.0,0.0
8272dffffffffff,8.0,0.0,0.0
829c87fffffffff,2.0,0.0,1.0
829c97fffffffff,4.0,0.0,0.0
829cd7fffffffff,5.0,0.0,1.0
