cell_id,Cacomantis flabelliformis,Cacomantis flabelliformis [flabelliformis Group],Cacomantis flabelliformis pyrrophanus,Cacomantis flabelliformis schistaceigularis,Cacomantis flabelliformis simus
8372d2fffffffff,1.0,0.0,0.0,0.0,0.0
8372dafffffffff,9.0,0.0,0.0,0.0,0.0
839b4cfffffffff,2.0,0.0,0.0,0.0,0.0
839b6afffffffff,2.0,0.0,0.0,0.0,0.0
839c85fffffffff,1.0,0.0,0.0,0.0,0.0
839caafffffffff,2.0,0.0,0.0,0.0,0.0
839cd2fffffffff,2.0,0.0,0.0,0.0,0.0
839d24fffffffff,2.0,0.0,0.0,0.0,0.0
839d2afffffffff,2.0,0.0,0.0,0.0,0.0
839e24fffffffff,2.0,0.0,0.0,0.0,0.0
83a726fffffffff,2.0,0.0,0.0,0.0,0.0
83b829fffffffff,2.0,0.0,0.0,0.0,0.0
83b834fffffffff,1.0,0.0,0.0,0.0,0.0
83be08fffffffff,16.0,0.0,0.0,0.0,0.0
83be09fffffffff,2.0,0.0,0.0,0.0,0.0
83be0afffffffff,2.0,0.0,0.0,0.0,0.0
83be0bfffffffff,2.0,0.0,0.0,0.0,0.0
83be0cfffffffff,2.0,0.0,0.0,0.0,0.0
83be0efffffffff,2.0,0.0,0.0,0.0,0.0
83be19fffffffff,2.0,0.0,0.0,0.0,0.0
83be53fffffffff,3.0,0.0,0.0,0.0,0.0
83be61fffffffff,2.0,0.0,0.0,0.0,0.0
83be63fffffffff,24.0,0.0,0.0,0.0,0.0
83be68fffffffff,15.0,0.0,0.0,0.0,0.0
83be72fffffffff,30.0,0.0,0.0,0.0,0.0
83be89fffffffff,2.0,0.0,0.0,0.0,0.0
83be8dfffffffff,11.0,0.0,0.0,0.0,0.0
83bef6fffffffff,2.0,0.0,0.0,0.0,0.0
83bf48fffffffff,1.0,0.0,0.0,0.0,0.0
83bf6bfffffffff,2.0,0.0,0.0,0.0,0.0
