cell_id,Aegolius acadicus,Aegolius acadicus acadicus,Aegolius acadicus brooksi
830c42fffffffff,1.0,0.0,0.0
830c51fffffffff,2.0,0.0,0.0
830c5afffffffff,7.0,0.0,0.0
830c62fffffffff,1.0,0.0,0.0
830c71fffffffff,2.0,0.0,0.0
830c73fffffffff,2.0,0.0,0.0
830e49fffffffff,2.0,0.0,0.0
830ec9fffffffff,2.0,0.0,0.0
830eccfffffffff,42.0,0.0,0.0
830eeafffffffff,47.0,0.0,0.0
831243fffffffff,2.0,2.0,0.0
831251fffffffff,2.0,2.0,0.0
831259fffffffff,28.0,0.0,0.0
83125dfffffffff,5.0,2.0,0.0
83128bfffffffff,46.0,0.0,0.0
831290fffffffff,4.0,0.0,2.0
831294fffffffff,2.0,0.0,2.0
8312adfffffffff,2.0,0.0,0.0
8312ccfffffffff,91.0,0.0,0.0
8312dbfffffffff,2.0,0.0,0.0
8312ddfffffffff,35.0,0.0,0.0
8312defffffffff,3.0,0.0,0.0
8312ecfffffffff,7.0,0.0,0.0
831380fffffffff,2.0,0.0,0.0
831382fffffffff,12.0,0.0,0.0
831383fffffffff,3.0,0.0,0.0
83138cfffffffff,2.0,0.0,0.0
831aa0fffffffff,24.0,0.0,0.0
831aa2fffffffff,18.0,0.0,0.0
831aa3fffffffff,8.0,0.0,0.0
831aa6fffffffff,7.0,0.0,0.0
831b9afffffffff,4.0,0.0,0.0
831b9bfffffffff,2.0,0.0,0.0
831b9dfffffffff,2.0,0.0,0.0
831b9efffffffff,5.0,0.0,0.0
832601fffffffff,16.0,0.0,0.0
832603fffffffff,10.0,6.0,0.0
832604fffffffff,4.0,0.0,0.0
832605fffffffff,3.0,0.0,0.0
832609fffffffff,2.0,0.0,0.0
83260afffffffff,22.0,0.0,0.0
83260bfffffffff,2.0,0.0,0.0
83260cfffffffff,9.0,0.0,0.0
83260dfffffffff,4.0,0.0,0.0
83260efffffffff,14.0,9.0,0.0
832611fffffffff,2.0,0.0,0.0
83261afffffffff,3.0,0.0,0.0
83261efffffffff,4.0,0.0,0.0
832621fffffffff,10.0,0.0,0.0
832625fffffffff,1.0,0.0,0.0
832626fffffffff,2.0,0.0,0.0
832629fffffffff,25.0,0.0,0.0
83262cfffffffff,5.0,0.0,0.0
832641fffffffff,2.0,0.0,0.0
832646fffffffff,6.0,0.0,0.0
832648fffffffff,12.0,0.0,0.0
83264cfffffffff,2.0,0.0,0.0
83264dfffffffff,6.0,0.0,0.0
83264efffffffff,1.0,0.0,0.0
832652fffffffff,2.0,0.0,0.0
832653fffffffff,2.0,0.0,0.0
832654fffffffff,35.0,0.0,0.0
832655fffffffff,2.0,0.0,0.0
83265efffffffff,11.0,0.0,0.0
832660fffffffff,6.0,0.0,0.0
832662fffffffff,17.0,0.0,0.0
832663fffffffff,10.0,0.0,0.0
832664fffffffff,19.0,0.0,0.0
832665fffffffff,9.0,0.0,0.0
832668fffffffff,43.0,0.0,0.0
83266cfffffffff,7.0,0.0,0.0
83266dfffffffff,8.0,0.0,0.0
832672fffffffff,2.0,0.0,0.0
832673fffffffff,3.0,0.0,0.0
832674fffffffff,2.0,0.0,0.0
832681fffffffff,31.0,0.0,0.0
832685fffffffff,3.0,0.0,0.0
83268cfffffffff,7.0,0.0,0.0
83268dfffffffff,2.0,0.0,0.0
832690fffffffff,28.0,0.0,0.0
832692fffffffff,11.0,0.0,0.0
832694fffffffff,2.0,0.0,0.0
832696fffffffff,73.0,0.0,0.0
832698fffffffff,1.0,0.0,0.0
832699fffffffff,1.0,0.0,0.0
83269bfffffffff,2.0,0.0,0.0
83269cfffffffff,17.0,0.0,0.0
8326a1fffffffff,2.0,0.0,0.0
8326a2fffffffff,4.0,0.0,0.0
8326a5fffffffff,2.0,0.0,0.0
8326a8fffffffff,10.0,0.0,0.0
8326aafffffffff,5.0,0.0,0.0
8326aefffffffff,19.0,0.0,0.0
8326b6fffffffff,17.0,0.0,0.0
8326e4fffffffff,1.0,0.0,0.0
8326e5fffffffff,15.0,0.0,0.0
8326ecfffffffff,3.0,0.0,0.0
8326edfffffffff,81.0,0.0,0.0
8326f6fffffffff,14.0,0.0,0.0
832701fffffffff,2.0,0.0,0.0
832703fffffffff,2.0,0.0,0.0
832706fffffffff,2.0,0.0,0.0
832709fffffffff,4.0,0.0,0.0
832718fffffffff,6.0,0.0,0.0
83271bfffffffff,4.0,0.0,0.0
83271cfffffffff,2.0,0.0,0.0
832741fffffffff,1.0,0.0,0.0
832742fffffffff,2.0,0.0,0.0
832743fffffffff,2.0,0.0,0.0
832745fffffffff,9.0,0.0,0.0
832748fffffffff,32.0,0.0,0.0
832749fffffffff,2.0,0.0,0.0
83274bfffffffff,9.0,0.0,0.0
83274cfffffffff,2.0,0.0,0.0
83274dfffffffff,41.0,0.0,0.0
83274efffffffff,9.0,0.0,0.0
832752fffffffff,13.0,0.0,0.0
832753fffffffff,5.0,0.0,0.0
832755fffffffff,1.0,0.0,0.0
832756fffffffff,8.0,0.0,0.0
832758fffffffff,2.0,0.0,0.0
832759fffffffff,11.0,0.0,0.0
83275bfffffffff,2.0,0.0,0.0
83275cfffffffff,21.0,0.0,0.0
83275dfffffffff,6.0,0.0,0.0
83275efffffffff,1.0,0.0,0.0
832760fffffffff,1.0,0.0,0.0
832761fffffffff,2.0,0.0,0.0
832763fffffffff,78.0,0.0,0.0
832769fffffffff,4.0,0.0,0.0
83276afffffffff,3.0,0.0,0.0
83276dfffffffff,21.0,0.0,0.0
83276efffffffff,4.0,0.0,0.0
832770fffffffff,10.0,0.0,0.0
832771fffffffff,1.0,0.0,0.0
832772fffffffff,1.0,0.0,0.0
832773fffffffff,2.0,0.0,0.0
832774fffffffff,1.0,0.0,0.0
832780fffffffff,3.0,0.0,0.0
832788fffffffff,3.0,0.0,0.0
83278bfffffffff,3.0,0.0,0.0
83278cfffffffff,13.0,0.0,0.0
8327a0fffffffff,9.0,0.0,0.0
8327a1fffffffff,2.0,0.0,0.0
8327a6fffffffff,4.0,0.0,0.0
8327a9fffffffff,2.0,0.0,0.0
8327adfffffffff,2.0,0.0,0.0
832802fffffffff,36.0,0.0,0.0
832810fffffffff,4.0,0.0,0.0
832811fffffffff,4.0,0.0,0.0
832814fffffffff,19.0,0.0,0.0
83281bfffffffff,16.0,0.0,0.0
83281efffffffff,18.0,0.0,0.0
832830fffffffff,51.0,0.0,0.0
832832fffffffff,11.0,0.0,0.0
832834fffffffff,61.0,0.0,0.0
832835fffffffff,248.0,0.0,0.0
832836fffffffff,2.0,0.0,0.0
832884fffffffff,61.0,0.0,0.0
832886fffffffff,5.0,0.0,0.0
83288bfffffffff,1.0,0.0,0.0
83288cfffffffff,6.0,0.0,0.0
83288dfffffffff,2.0,0.0,0.0
83288efffffffff,2.0,0.0,0.0
832890fffffffff,10.0,0.0,0.0
832892fffffffff,16.0,0.0,0.0
832896fffffffff,11.0,0.0,0.0
8328a9fffffffff,22.0,0.0,0.0
8328aafffffffff,1.0,0.0,0.0
8328adfffffffff,18.0,0.0,0.0
8328d1fffffffff,2.0,0.0,0.0
8328d4fffffffff,1.0,0.0,0.0
8328d8fffffffff,2.0,0.0,0.0
