cell_id,Anas bahamensis,Anas bahamensis bahamensis/rubrirostris,Anas bahamensis galapagensis
831f91fffffffff,3.0,0.0,0.0
8343a1fffffffff,9.0,0.0,0.0
834436fffffffff,37.0,0.0,0.0
834484fffffffff,11.0,0.0,0.0
834485fffffffff,5.0,0.0,0.0
834486fffffffff,110.0,0.0,0.0
8344a3fffffffff,724.0,0.0,0.0
8344b0fffffffff,11.0,0.0,0.0
8344b1fffffffff,94.0,0.0,0.0
8344b2fffffffff,13.0,0.0,0.0
8344b4fffffffff,4.0,0.0,0.0
8344b5fffffffff,774.0,0.0,0.0
8344b6fffffffff,18.0,0.0,0.0
834583fffffffff,2.0,0.0,0.0
834588fffffffff,20.0,0.0,0.0
83458afffffffff,5.0,0.0,0.0
83458cfffffffff,10.0,2.0,0.0
83458efffffffff,7.0,1.0,0.0
834598fffffffff,86.0,10.0,0.0
83459dfffffffff,17.0,5.0,0.0
834c81fffffffff,57.0,0.0,0.0
834c83fffffffff,171.0,0.0,0.0
834c88fffffffff,226.0,0.0,0.0
834c89fffffffff,11.0,0.0,0.0
834c8cfffffffff,1.0,0.0,0.0
834c93fffffffff,25.0,0.0,0.0
834c94fffffffff,17.0,0.0,0.0
834c95fffffffff,8.0,0.0,0.0
834c96fffffffff,1.0,0.0,0.0
834c98fffffffff,18.0,2.0,0.0
834c9afffffffff,3.0,0.0,0.0
834caafffffffff,74.0,0.0,0.0
834cabfffffffff,63.0,0.0,0.0
834cb3fffffffff,169.0,0.0,0.0
834cc0fffffffff,1453.0,0.0,0.0
834cc2fffffffff,1.0,0.0,0.0
834cc4fffffffff,2.0,0.0,0.0
834cc5fffffffff,1584.0,0.0,0.0
834cc6fffffffff,243.0,0.0,0.0
834cd0fffffffff,141.0,0.0,0.0
834cd2fffffffff,143.0,0.0,0.0
834cd4fffffffff,17.0,0.0,0.0
834cd5fffffffff,2.0,0.0,0.0
834cd6fffffffff,14.0,0.0,0.0
834ce8fffffffff,363.0,0.0,0.0
834ce9fffffffff,90.0,2.0,0.0
834ceafffffffff,485.0,0.0,0.0
834cebfffffffff,112.0,2.0,0.0
