cell_id,Milvus milvus,Milvus milvus milvus,Milvus milvus fasciicauda
833944fffffffff,2.0,2.0,0.0
833945fffffffff,7.0,7.0,0.0
833946fffffffff,2.0,2.0,0.0
833954fffffffff,4.0,0.0,0.0
833956fffffffff,12.0,0.0,0.0
83395cfffffffff,4.0,0.0,0.0
833962fffffffff,2.0,0.0,0.0
833968fffffffff,2.0,0.0,0.0
83396cfffffffff,2.0,0.0,0.0
833970fffffffff,18.0,13.0,0.0
833971fffffffff,102.0,83.0,0.0
833972fffffffff,80.0,8.0,0.0
833973fffffffff,13.0,0.0,0.0
833974fffffffff,130.0,126.0,0.0
833975fffffffff,9.0,9.0,0.0
833976fffffffff,17.0,17.0,0.0
833f29fffffffff,8.0,0.0,0.0
833f2cfffffffff,8.0,0.0,0.0
833f2dfffffffff,4.0,0.0,0.0
833f72fffffffff,27.0,4.0,0.0
833f73fffffffff,3.0,0.0,0.0
833f76fffffffff,1.0,0.0,0.0
