cell_id,Aphelocoma woodhouseii,Aphelocoma woodhouseii [woodhouseii Group],Aphelocoma woodhouseii sumichrasti/remota
822687fffffffff,49.0,13.0,0.0
82268ffffffffff,157.0,39.0,0.0
822697fffffffff,533.0,461.0,0.0
82269ffffffffff,129.0,81.0,0.0
8226affffffffff,18.0,2.0,0.0
8226d7fffffffff,256.0,23.0,0.0
8226dffffffffff,1.0,1.0,0.0
8226f7fffffffff,86.0,2.0,0.0
822897fffffffff,6.0,0.0,0.0
8228b7fffffffff,98.0,9.0,0.0
822987fffffffff,250.0,65.0,0.0
82298ffffffffff,91.0,14.0,0.0
822997fffffffff,161.0,149.0,0.0
82299ffffffffff,12.0,12.0,0.0
8229a7fffffffff,10.0,5.0,0.0
8229affffffffff,412.0,46.0,0.0
8229b7fffffffff,283.0,224.0,0.0
82485ffffffffff,2.0,0.0,0.0
824887fffffffff,8.0,8.0,0.0
82488ffffffffff,219.0,8.0,0.0
824897fffffffff,2.0,0.0,0.0
82489ffffffffff,52.0,43.0,0.0
8248affffffffff,9.0,1.0,0.0
8248c7fffffffff,57.0,28.0,0.0
8248cffffffffff,52.0,34.0,0.0
8248d7fffffffff,46.0,36.0,0.0
8248dffffffffff,27.0,19.0,0.0
8248e7fffffffff,10.0,8.0,0.0
8248effffffffff,885.0,227.0,0.0
8248f7fffffffff,32.0,1.0,0.0
824987fffffffff,5.0,2.0,0.0
82498ffffffffff,1.0,0.0,0.0
824997fffffffff,10.0,0.0,7.0
8249a7fffffffff,2.0,0.0,0.0
826d37fffffffff,29.0,0.0,27.0
