cell_id,Mandingoa nitidula,Mandingoa nitidula schlegeli/virginiae,Mandingoa nitidula nitidula/chubbi
8458d33ffffffff,2.0,0.0,0.0
846ac03ffffffff,8.0,0.0,0.0
846ac0bffffffff,3.0,0.0,0.0
846ac15ffffffff,32.0,0.0,0.0
846ac1dffffffff,2.0,0.0,0.0
846ac35ffffffff,5.0,0.0,0.0
846acadffffffff,1.0,0.0,0.0
846acc7ffffffff,18.0,0.0,0.0
846acd1ffffffff,1.0,0.0,0.0
846acd5ffffffff,21.0,0.0,0.0
846adc1ffffffff,23.0,0.0,0.0
846adc5ffffffff,2.0,0.0,0.0
846ae85ffffffff,1.0,0.0,0.0
846aea1ffffffff,69.0,0.0,0.0
846aea5ffffffff,1.0,0.0,0.0
846aeb5ffffffff,1.0,0.0,0.0
847501bffffffff,1.0,0.0,0.0
84750d1ffffffff,2.0,0.0,0.0
8475293ffffffff,1.0,0.0,0.0
8475295ffffffff,14.0,0.0,0.0
847529bffffffff,1.0,0.0,0.0
84752b5ffffffff,5.0,0.0,0.0
8475a07ffffffff,4.0,0.0,0.0
847a4cbffffffff,3.0,0.0,0.0
847a4ddffffffff,1.0,0.0,0.0
847a643ffffffff,2.0,0.0,0.0
847ac81ffffffff,30.0,0.0,1.0
847ac8bffffffff,1.0,0.0,0.0
847accdffffffff,2.0,0.0,0.0
847acd5ffffffff,34.0,0.0,7.0
847acd7ffffffff,1.0,0.0,0.0
847b487ffffffff,19.0,0.0,0.0
847b4a1ffffffff,1.0,0.0,0.0
847b4b3ffffffff,1.0,0.0,0.0
847b597ffffffff,7.0,0.0,0.0
8482d07ffffffff,2.0,0.0,0.0
8482d1dffffffff,14.0,7.0,0.0
8482d27ffffffff,2.0,0.0,0.0
8483125ffffffff,3.0,0.0,0.0
8496097ffffffff,1.0,0.0,0.0
8496099ffffffff,1.0,0.0,0.0
84960bbffffffff,1.0,0.0,0.0
849615dffffffff,3.0,0.0,3.0
8496727ffffffff,1.0,0.0,0.0
8496895ffffffff,1.0,0.0,0.0
84968d1ffffffff,4.0,0.0,0.0
8496925ffffffff,18.0,0.0,0.0
84969a5ffffffff,1.0,0.0,0.0
8496a5dffffffff,2.0,0.0,0.0
8496b21ffffffff,2.0,0.0,0.0
849702bffffffff,2.0,0.0,0.0
8497035ffffffff,2.0,0.0,0.0
8497103ffffffff,9.0,0.0,0.0
8497113ffffffff,2.0,0.0,0.0
8497119ffffffff,9.0,0.0,0.0
849711dffffffff,8.0,0.0,0.0
84971c1ffffffff,37.0,0.0,4.0
84971cbffffffff,7.0,0.0,0.0
8497289ffffffff,2.0,0.0,0.0
84972d5ffffffff,3.0,0.0,3.0
84972d7ffffffff,1.0,0.0,0.0
84972d9ffffffff,40.0,0.0,6.0
84972e3ffffffff,3.0,0.0,2.0
849788bffffffff,1.0,0.0,0.0
8497895ffffffff,2.0,0.0,0.0
84978e3ffffffff,2.0,0.0,0.0
84978ebffffffff,1.0,0.0,0.0
8497937ffffffff,3.0,0.0,0.0
8497a85ffffffff,1.0,0.0,0.0
8497a89ffffffff,1.0,0.0,0.0
8497ac3ffffffff,1.0,0.0,0.0
8497ac7ffffffff,1.0,0.0,0.0
84bc091ffffffff,1.0,0.0,0.0
84bc095ffffffff,1.0,0.0,0.0
84bc0b9ffffffff,1.0,0.0,0.0
84bc193ffffffff,2.0,0.0,0.0
84bc197ffffffff,8.0,0.0,2.0
84bc1b7ffffffff,9.0,0.0,0.0
84bc1bbffffffff,5.0,0.0,0.0
84bc899ffffffff,3.0,0.0,0.0
84bc89bffffffff,6.0,0.0,0.0
84bc8d3ffffffff,2.0,0.0,0.0
84bcc49ffffffff,1.0,0.0,0.0
84bcd01ffffffff,13.0,0.0,0.0
84bcd03ffffffff,2.0,0.0,0.0
84bcd05ffffffff,9.0,0.0,6.0
84bcd07ffffffff,6.0,0.0,0.0
84bcd09ffffffff,5.0,0.0,4.0
84bcd0dffffffff,2.0,0.0,0.0
84bcd29ffffffff,3.0,0.0,0.0
84bcd37ffffffff,2.0,0.0,0.0
84bcd3dffffffff,2.0,0.0,0.0
84bcd43ffffffff,2.0,0.0,0.0
84bcd47ffffffff,1.0,0.0,0.0
84bce67ffffffff,1.0,0.0,1.0
84bcf09ffffffff,70.0,0.0,9.0
84bcf21ffffffff,7.0,0.0,6.0
84bcf25ffffffff,2.0,0.0,0.0
84bcf29ffffffff,48.0,0.0,11.0
84bcf2bffffffff,1.0,0.0,0.0
84bcf2dffffffff,2.0,0.0,0.0
84bcf43ffffffff,6.0,0.0,4.0
84bcf47ffffffff,19.0,0.0,4.0
84bcf53ffffffff,11.0,0.0,2.0
84bcf59ffffffff,10.0,0.0,2.0
84bcf5bffffffff,6.0,0.0,0.0
84bcf61ffffffff,75.0,0.0,22.0
84bcf63ffffffff,3.0,0.0,0.0
84bcf67ffffffff,23.0,0.0,4.0
84bcf6bffffffff,1.0,0.0,0.0
