cell_id,Synallaxis albescens,Synallaxis albescens [albescens Group],Synallaxis albescens australis
835f08fffffffff,61.0,0.0,0.0
835f09fffffffff,39.0,0.0,0.0
835f0bfffffffff,4.0,0.0,0.0
835f0dfffffffff,2.0,0.0,0.0
835f0efffffffff,2.0,0.0,0.0
835f16fffffffff,4.0,0.0,0.0
835f1cfffffffff,97.0,0.0,0.0
835f1dfffffffff,5.0,0.0,0.0
835f22fffffffff,19.0,0.0,0.0
835f29fffffffff,37.0,0.0,0.0
835f2dfffffffff,17.0,0.0,0.0
835f40fffffffff,53.0,0.0,0.0
835f41fffffffff,3.0,0.0,0.0
835f42fffffffff,13.0,0.0,0.0
835f43fffffffff,4.0,0.0,0.0
835f48fffffffff,39.0,0.0,0.0
835f49fffffffff,17.0,0.0,0.0
835f4afffffffff,54.0,0.0,0.0
835f4bfffffffff,94.0,0.0,0.0
835f4efffffffff,15.0,0.0,0.0
835f50fffffffff,6.0,0.0,0.0
835f58fffffffff,247.0,0.0,0.0
835f5bfffffffff,67.0,0.0,0.0
835f5dfffffffff,15.0,0.0,0.0
835f66fffffffff,1.0,0.0,0.0
835f68fffffffff,4.0,0.0,0.0
835f70fffffffff,15.0,0.0,0.0
835f71fffffffff,60.0,0.0,0.0
835f75fffffffff,61.0,0.0,0.0
836600fffffffff,5.0,0.0,0.0
836601fffffffff,24.0,0.0,0.0
836602fffffffff,57.0,0.0,0.0
836603fffffffff,2.0,0.0,0.0
836604fffffffff,37.0,0.0,0.0
836605fffffffff,1.0,0.0,0.0
836606fffffffff,27.0,0.0,0.0
836608fffffffff,1164.0,0.0,0.0
836609fffffffff,59.0,0.0,0.0
83660afffffffff,126.0,0.0,0.0
83660bfffffffff,193.0,0.0,0.0
83660cfffffffff,100.0,0.0,0.0
83660dfffffffff,106.0,0.0,0.0
83660efffffffff,47.0,0.0,0.0
836611fffffffff,60.0,0.0,0.0
836616fffffffff,32.0,0.0,0.0
836618fffffffff,362.0,0.0,0.0
836619fffffffff,1819.0,0.0,0.0
83661afffffffff,1.0,0.0,0.0
83661bfffffffff,1050.0,0.0,0.0
83661cfffffffff,31.0,0.0,0.0
83661dfffffffff,520.0,0.0,0.0
83661efffffffff,72.0,0.0,0.0
836620fffffffff,435.0,0.0,0.0
836621fffffffff,71.0,0.0,0.0
836622fffffffff,121.0,0.0,0.0
836623fffffffff,11.0,0.0,0.0
836625fffffffff,107.0,0.0,0.0
836629fffffffff,120.0,0.0,0.0
83662afffffffff,9.0,0.0,0.0
83662bfffffffff,71.0,0.0,0.0
83662cfffffffff,30.0,0.0,0.0
83662dfffffffff,55.0,0.0,0.0
83662efffffffff,35.0,0.0,0.0
836631fffffffff,59.0,0.0,0.0
836640fffffffff,2.0,0.0,0.0
836641fffffffff,93.0,0.0,0.0
836642fffffffff,1.0,0.0,0.0
836644fffffffff,4.0,0.0,0.0
836645fffffffff,8.0,0.0,0.0
836646fffffffff,1.0,0.0,0.0
836650fffffffff,7.0,0.0,0.0
836652fffffffff,79.0,0.0,0.0
836653fffffffff,4.0,0.0,0.0
836654fffffffff,39.0,0.0,0.0
836656fffffffff,130.0,0.0,0.0
83665afffffffff,11.0,0.0,0.0
83665bfffffffff,2.0,0.0,0.0
836660fffffffff,2.0,0.0,0.0
836662fffffffff,7.0,0.0,0.0
836663fffffffff,30.0,0.0,0.0
836664fffffffff,34.0,0.0,0.0
836666fffffffff,2.0,0.0,0.0
83666afffffffff,4.0,0.0,0.0
83666bfffffffff,3.0,0.0,0.0
836670fffffffff,27.0,0.0,0.0
836671fffffffff,3.0,0.0,0.0
836672fffffffff,120.0,0.0,0.0
836673fffffffff,14.0,0.0,0.0
836674fffffffff,6.0,0.0,0.0
836675fffffffff,68.0,0.0,0.0
836676fffffffff,11.0,0.0,0.0
8366a0fffffffff,60.0,0.0,0.0
8366a1fffffffff,211.0,0.0,0.0
8366a2fffffffff,22.0,0.0,0.0
8366a3fffffffff,40.0,0.0,0.0
8366a5fffffffff,220.0,0.0,0.0
8366b0fffffffff,246.0,0.0,0.0
8366b1fffffffff,14.0,0.0,0.0
8366b4fffffffff,645.0,0.0,0.0
8366b5fffffffff,1922.0,0.0,0.0
8366b6fffffffff,46.0,0.0,0.0
8366c0fffffffff,11.0,0.0,0.0
8366c1fffffffff,2.0,0.0,0.0
8366c2fffffffff,10.0,0.0,0.0
8366c4fffffffff,376.0,0.0,0.0
8366c5fffffffff,106.0,0.0,0.0
8366c6fffffffff,280.0,0.0,0.0
8366d0fffffffff,8.0,0.0,0.0
8366d1fffffffff,4.0,0.0,0.0
8366d5fffffffff,113.0,0.0,0.0
8366e0fffffffff,655.0,0.0,0.0
8366e1fffffffff,67.0,0.0,0.0
8366e2fffffffff,175.0,0.0,0.0
8366e3fffffffff,88.0,0.0,0.0
8366e4fffffffff,681.0,0.0,0.0
8366e5fffffffff,747.0,0.0,0.0
8366e6fffffffff,3833.0,0.0,0.0
8366e8fffffffff,7.0,0.0,0.0
8366eafffffffff,10.0,0.0,0.0
8366ecfffffffff,146.0,0.0,0.0
8366eefffffffff,173.0,0.0,0.0
8366f0fffffffff,65.0,0.0,0.0
8366f1fffffffff,798.0,0.0,0.0
8366f5fffffffff,1435.0,0.0,0.0
836740fffffffff,26.0,0.0,0.0
836741fffffffff,473.0,0.0,0.0
836742fffffffff,267.0,0.0,0.0
836743fffffffff,400.0,0.0,0.0
83674afffffffff,50.0,0.0,0.0
83674cfffffffff,1085.0,0.0,0.0
83674dfffffffff,15.0,0.0,0.0
83674efffffffff,511.0,0.0,0.0
836750fffffffff,10.0,0.0,0.0
836751fffffffff,218.0,0.0,0.0
836752fffffffff,42.0,0.0,0.0
836753fffffffff,188.0,0.0,0.0
836755fffffffff,628.0,0.0,0.0
836756fffffffff,34.0,0.0,0.0
836758fffffffff,21.0,0.0,0.0
836759fffffffff,26.0,0.0,0.0
83675afffffffff,52.0,0.0,0.0
83675bfffffffff,13.0,0.0,0.0
83675cfffffffff,385.0,0.0,0.0
83675dfffffffff,21.0,0.0,0.0
83675efffffffff,81.0,0.0,0.0
836769fffffffff,8.0,0.0,0.0
83676bfffffffff,45.0,0.0,0.0
836d69fffffffff,103.0,0.0,0.0
838006fffffffff,1.0,0.0,0.0
838010fffffffff,6.0,0.0,0.0
838016fffffffff,2.0,0.0,0.0
83802bfffffffff,3.0,0.0,0.0
838030fffffffff,31.0,0.0,0.0
838035fffffffff,2.0,0.0,0.0
838044fffffffff,67.0,0.0,0.0
838046fffffffff,5.0,0.0,0.0
838048fffffffff,12.0,0.0,0.0
83804efffffffff,2.0,0.0,0.0
