cell_id,Barnardius zonarius,Barnardius zonarius semitorquatus,Barnardius zonarius zonarius,Barnardius zonarius barnardi,Barnardius zonarius macgillivrayi,Barnardius zonarius semitorquatus x zonarius,Barnardius zonarius zonarius x barnardi
829497fffffffff,6.0,0.0,2.0,0.0,0.0,0.0,0.0
8294cffffffffff,3.0,0.0,1.0,0.0,0.0,0.0,0.0
829c67fffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0
829c6ffffffffff,6.0,0.0,3.0,0.0,0.0,0.0,0.0
829d47fffffffff,109.0,0.0,0.0,45.0,15.0,0.0,0.0
829d4ffffffffff,174.0,0.0,0.0,3.0,124.0,0.0,0.0
829d57fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
829d5ffffffffff,28.0,0.0,0.0,0.0,18.0,0.0,0.0
829d67fffffffff,50.0,0.0,0.0,32.0,0.0,0.0,0.0
829d6ffffffffff,16.0,0.0,0.0,2.0,6.0,0.0,0.0
829d77fffffffff,22.0,0.0,0.0,9.0,0.0,0.0,0.0
82a607fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
82a617fffffffff,80.0,0.0,6.0,0.0,0.0,0.0,0.0
82a637fffffffff,54.0,0.0,19.0,0.0,0.0,0.0,0.0
82a6a7fffffffff,22.0,0.0,1.0,0.0,0.0,0.0,0.0
82a707fffffffff,164.0,4.0,38.0,0.0,0.0,0.0,0.0
82a717fffffffff,106.0,0.0,25.0,0.0,0.0,0.0,0.0
82a71ffffffffff,104.0,0.0,29.0,0.0,0.0,0.0,0.0
82a727fffffffff,1293.0,316.0,14.0,0.0,0.0,0.0,0.0
82a737fffffffff,1008.0,12.0,185.0,0.0,0.0,0.0,0.0
82a787fffffffff,56.0,0.0,5.0,0.0,0.0,0.0,0.0
82a78ffffffffff,45.0,0.0,6.0,0.0,0.0,0.0,0.0
82a797fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
82a79ffffffffff,48.0,0.0,5.0,0.0,0.0,0.0,0.0
82a7a7fffffffff,10.0,0.0,2.0,0.0,0.0,0.0,0.0
82a7affffffffff,13.0,0.0,8.0,0.0,0.0,0.0,0.0
82b807fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82b817fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
82b827fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
82b82ffffffffff,10.0,0.0,4.0,0.0,0.0,0.0,0.0
82b837fffffffff,33.0,0.0,16.0,0.0,0.0,0.0,0.0
82b847fffffffff,120.0,0.0,58.0,0.0,0.0,0.0,0.0
82b84ffffffffff,14.0,0.0,6.0,0.0,0.0,0.0,0.0
82b857fffffffff,20.0,0.0,4.0,0.0,0.0,0.0,0.0
82b85ffffffffff,10.0,0.0,3.0,0.0,0.0,0.0,0.0
82b867fffffffff,40.0,2.0,14.0,0.0,0.0,0.0,0.0
82b86ffffffffff,231.0,0.0,78.0,0.0,0.0,0.0,0.0
82b877fffffffff,8.0,0.0,5.0,0.0,0.0,0.0,0.0
82b887fffffffff,1017.0,0.0,316.0,0.0,0.0,0.0,0.0
82b88ffffffffff,19.0,0.0,8.0,0.0,0.0,0.0,0.0
82b89ffffffffff,51.0,0.0,25.0,0.0,0.0,0.0,0.0
82b8a7fffffffff,25.0,0.0,5.0,0.0,0.0,0.0,0.0
82b8affffffffff,145.0,0.0,58.0,0.0,0.0,0.0,0.0
82b8b7fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
82b917fffffffff,152.0,0.0,60.0,5.0,0.0,0.0,0.0
82b91ffffffffff,15.0,0.0,7.0,0.0,0.0,0.0,0.0
82b937fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82b95ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82b987fffffffff,65.0,0.0,1.0,6.0,0.0,0.0,0.0
82b98ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82b997fffffffff,19.0,0.0,0.0,6.0,0.0,0.0,0.0
82b9a7fffffffff,739.0,0.0,15.0,281.0,0.0,0.0,0.0
82b9affffffffff,285.0,0.0,106.0,0.0,0.0,0.0,0.0
82b9b7fffffffff,158.0,0.0,0.0,46.0,0.0,0.0,0.0
82be47fffffffff,427.0,0.0,0.0,178.0,0.0,0.0,0.0
82be4ffffffffff,2819.0,0.0,0.0,1496.0,0.0,0.0,0.0
82be57fffffffff,1510.0,0.0,0.0,491.0,0.0,0.0,0.0
82be5ffffffffff,264.0,0.0,0.0,120.0,0.0,0.0,0.0
82be6ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
82bec7fffffffff,229.0,0.0,0.0,70.0,0.0,0.0,0.0
82becffffffffff,762.0,0.0,0.0,187.0,0.0,0.0,0.0
82bed7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
82bedffffffffff,53.0,0.0,0.0,11.0,0.0,0.0,0.0
82bee7fffffffff,352.0,0.0,0.0,143.0,0.0,0.0,0.0
82beeffffffffff,400.0,0.0,0.0,140.0,0.0,0.0,0.0
82bef7fffffffff,84.0,0.0,0.0,27.0,0.0,0.0,0.0
82c987fffffffff,1113.0,405.0,4.0,0.0,0.0,0.0,0.0
82c997fffffffff,4375.0,699.0,79.0,0.0,0.0,0.0,0.0
82c99ffffffffff,392.0,112.0,0.0,0.0,0.0,0.0,0.0
82c9b7fffffffff,640.0,127.0,16.0,0.0,0.0,0.0,0.0
