cell_id,Contopus pertinax,Contopus pertinax pertinax,Contopus pertinax minor
8329b2fffffffff,65.0,0.0,0.0
8329b6fffffffff,66.0,0.0,0.0
834520fffffffff,8.0,0.0,0.0
834524fffffffff,569.0,0.0,0.0
834525fffffffff,265.0,10.0,0.0
834526fffffffff,143.0,0.0,2.0
83452efffffffff,115.0,0.0,0.0
834530fffffffff,5.0,0.0,0.0
834532fffffffff,3.0,0.0,0.0
834534fffffffff,5.0,0.0,0.0
834535fffffffff,147.0,0.0,0.0
834536fffffffff,2.0,0.0,0.0
834802fffffffff,13.0,0.0,0.0
834803fffffffff,3.0,3.0,0.0
834806fffffffff,2.0,0.0,0.0
834809fffffffff,6.0,0.0,0.0
83480afffffffff,751.0,0.0,0.0
83480efffffffff,4.0,0.0,0.0
834810fffffffff,2.0,0.0,0.0
834811fffffffff,1.0,0.0,0.0
834812fffffffff,1.0,0.0,0.0
834814fffffffff,178.0,0.0,0.0
834815fffffffff,41.0,0.0,0.0
834816fffffffff,2.0,0.0,0.0
834819fffffffff,49.0,0.0,0.0
83481bfffffffff,4.0,0.0,0.0
83481cfffffffff,8.0,0.0,0.0
83481dfffffffff,58.0,0.0,0.0
834832fffffffff,39.0,0.0,0.0
834833fffffffff,1061.0,21.0,0.0
834836fffffffff,2026.0,141.0,0.0
834856fffffffff,2.0,0.0,0.0
834884fffffffff,5.0,0.0,0.0
8348a0fffffffff,1.0,0.0,0.0
8348a2fffffffff,396.0,0.0,0.0
8348a6fffffffff,16.0,0.0,0.0
8348b5fffffffff,3.0,0.0,0.0
8348c0fffffffff,35.0,0.0,0.0
8348c1fffffffff,13.0,0.0,0.0
8348c5fffffffff,2413.0,0.0,0.0
8348ccfffffffff,2.0,0.0,0.0
8348cdfffffffff,27.0,0.0,0.0
8348e0fffffffff,30.0,0.0,0.0
8348e1fffffffff,6.0,0.0,0.0
8348e2fffffffff,9.0,0.0,0.0
8348e3fffffffff,29.0,0.0,0.0
8348e4fffffffff,160.0,0.0,0.0
8348e6fffffffff,90.0,4.0,0.0
8348e8fffffffff,2321.0,0.0,0.0
8348eafffffffff,90.0,0.0,0.0
8348ebfffffffff,134.0,0.0,0.0
8348ecfffffffff,3.0,0.0,0.0
8348eefffffffff,3602.0,0.0,0.0
834980fffffffff,835.0,177.0,0.0
834982fffffffff,198.0,16.0,0.0
834983fffffffff,74.0,2.0,0.0
834985fffffffff,67.0,14.0,0.0
834986fffffffff,731.0,93.0,0.0
834988fffffffff,62.0,0.0,0.0
834989fffffffff,20.0,0.0,0.0
83498afffffffff,1.0,0.0,0.0
83498cfffffffff,168.0,3.0,0.0
83498dfffffffff,19.0,2.0,0.0
83498efffffffff,3.0,0.0,0.0
834990fffffffff,57.0,2.0,0.0
834991fffffffff,93.0,19.0,0.0
834993fffffffff,1.0,1.0,0.0
834994fffffffff,214.0,0.0,0.0
834995fffffffff,5644.0,745.0,0.0
834996fffffffff,1055.0,149.0,0.0
834998fffffffff,432.0,12.0,0.0
83499bfffffffff,24.0,1.0,0.0
83499cfffffffff,154.0,32.0,0.0
83499dfffffffff,41.0,2.0,0.0
83499efffffffff,11.0,0.0,0.0
8349a2fffffffff,9.0,0.0,0.0
8349a8fffffffff,807.0,16.0,0.0
8349a9fffffffff,1042.0,97.0,0.0
8349aafffffffff,544.0,71.0,0.0
8349abfffffffff,459.0,13.0,0.0
8349aefffffffff,7.0,0.0,0.0
8349b0fffffffff,21.0,0.0,0.0
8349b1fffffffff,71.0,0.0,0.0
8349b2fffffffff,138.0,7.0,0.0
8349b3fffffffff,1040.0,26.0,0.0
8349b5fffffffff,37.0,0.0,0.0
8349b6fffffffff,15.0,0.0,0.0
836d04fffffffff,29.0,0.0,0.0
836d05fffffffff,158.0,0.0,0.0
836d14fffffffff,3.0,0.0,0.0
836d20fffffffff,47.0,0.0,0.0
836d21fffffffff,60.0,0.0,0.0
836d23fffffffff,985.0,0.0,0.0
836d28fffffffff,2078.0,0.0,0.0
836d29fffffffff,1636.0,0.0,0.0
836d2afffffffff,243.0,0.0,0.0
836d2bfffffffff,1071.0,0.0,0.0
836d2cfffffffff,14.0,0.0,0.0
836d2dfffffffff,3034.0,0.0,0.0
836d2efffffffff,164.0,0.0,0.0
836d30fffffffff,246.0,34.0,0.0
836d32fffffffff,1599.0,213.0,0.0
836d33fffffffff,517.0,68.0,0.0
836d36fffffffff,54.0,0.0,0.0
836d60fffffffff,195.0,0.0,1.0
836d64fffffffff,1246.0,0.0,21.0
836d65fffffffff,367.0,0.0,0.0
836d66fffffffff,197.0,0.0,1.0
836d74fffffffff,46.0,0.0,0.0
836d75fffffffff,4.0,0.0,0.0
836d76fffffffff,5.0,0.0,0.0
