cell_id,Todiramphus tristrami,Todiramphus tristrami matthiae,Todiramphus tristrami stresemanni,Todiramphus tristrami [nusae Group],Todiramphus tristrami tristrami,Todiramphus tristrami alberti
8476807ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8476809ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
847680dffffffff,3.0,0.0,0.0,0.0,0.0,1.0
8476815ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
847683bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8476845ffffffff,3.0,0.0,0.0,0.0,0.0,3.0
8476847ffffffff,1.0,0.0,0.0,0.0,0.0,1.0
847686bffffffff,1.0,0.0,0.0,0.0,0.0,1.0
847699bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
847699dffffffff,28.0,0.0,0.0,0.0,0.0,0.0
84769d1ffffffff,25.0,0.0,0.0,0.0,0.0,0.0
84769d3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84769d7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84769d9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84769ddffffffff,8.0,0.0,0.0,0.0,0.0,6.0
8476a27ffffffff,1.0,0.0,0.0,0.0,0.0,1.0
8476a29ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8477913ffffffff,14.0,0.0,0.0,2.0,0.0,0.0
847791bffffffff,3.0,0.0,0.0,1.0,0.0,0.0
847795bffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8477981ffffffff,3.0,0.0,0.0,1.0,0.0,0.0
8477989ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
847798dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
847799dffffffff,9.0,0.0,0.0,7.0,0.0,0.0
84779a3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84779abffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84779bdffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84779c3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84779c5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
849c901ffffffff,86.0,0.0,0.0,0.0,35.0,0.0
849c905ffffffff,2.0,0.0,0.0,0.0,2.0,0.0
849c907ffffffff,30.0,0.0,0.0,0.0,21.0,0.0
849c90dffffffff,1.0,0.0,0.0,0.0,1.0,0.0
849c91dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
849c961ffffffff,2.0,0.0,0.0,0.0,1.0,0.0
849c969ffffffff,2.0,0.0,0.0,0.0,2.0,0.0
849e815ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849ed13ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849ed8dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
849eda1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849eda7ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
849edc5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849ede1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
849edebffffffff,5.0,0.0,0.0,0.0,0.0,0.0
