cell_id,Loriotus cristatus,Loriotus cristatus [cristatus Group],Loriotus cristatus nattereri
845f689ffffffff,1.0,0.0,0.0
8466c05ffffffff,1.0,0.0,0.0
8466c5dffffffff,2.0,0.0,0.0
8466de1ffffffff,4.0,4.0,0.0
8466de3ffffffff,6.0,0.0,0.0
8466debffffffff,1.0,1.0,0.0
8466e03ffffffff,15.0,0.0,0.0
8466e0bffffffff,6.0,0.0,0.0
8466e11ffffffff,3.0,0.0,0.0
8466e15ffffffff,22.0,0.0,0.0
8466e39ffffffff,5.0,0.0,0.0
8466e3bffffffff,2.0,0.0,0.0
8466e57ffffffff,4.0,0.0,0.0
8481341ffffffff,2.0,0.0,0.0
8481343ffffffff,4.0,0.0,0.0
848134dffffffff,2.0,0.0,0.0
84814e3ffffffff,3.0,3.0,0.0
84814e7ffffffff,2.0,2.0,0.0
848b42dffffffff,2.0,2.0,0.0
848b529ffffffff,1.0,1.0,0.0
848b839ffffffff,3.0,3.0,0.0
848f729ffffffff,2.0,2.0,0.0
848f72bffffffff,1.0,1.0,0.0
84a8831ffffffff,2.0,0.0,0.0
84a8839ffffffff,4.0,0.0,0.0
84a883bffffffff,14.0,0.0,0.0
84a8a15ffffffff,1.0,1.0,0.0
84a8a19ffffffff,2.0,2.0,0.0
84a8c03ffffffff,25.0,0.0,0.0
84a8cebffffffff,1.0,0.0,0.0
