cell_id,Iole viridescens,Iole viridescens viridescens/lekhakuni,Iole viridescens cinnamomeoventris
823ccffffffffff,11.0,1.0,0.0
823cdffffffffff,3.0,0.0,0.0
823ceffffffffff,12.0,0.0,0.0
82404ffffffffff,3.0,0.0,0.0
826417fffffffff,1159.0,0.0,763.0
826427fffffffff,3.0,0.0,3.0
826437fffffffff,379.0,0.0,311.0
826487fffffffff,105.0,55.0,0.0
82648ffffffffff,13.0,2.0,0.0
82649ffffffffff,2.0,0.0,0.0
8264a7fffffffff,123.0,35.0,0.0
8264affffffffff,1.0,0.0,0.0
82651ffffffffff,48.0,0.0,36.0
82658ffffffffff,29.0,0.0,19.0
