cell_id,Acridotheres fuscus,Acridotheres fuscus mahrattensis,Acridotheres fuscus [fuscus Group]
832098fffffffff,5.0,0.0,0.0
83209afffffffff,6.0,0.0,0.0
83209efffffffff,19.0,0.0,0.0
833c00fffffffff,2.0,0.0,0.0
833c02fffffffff,1760.0,0.0,0.0
833c06fffffffff,20.0,0.0,0.0
833c0afffffffff,22.0,0.0,0.0
833c0bfffffffff,1.0,0.0,0.0
833c15fffffffff,301.0,0.0,0.0
833c18fffffffff,15.0,0.0,0.0
833c19fffffffff,308.0,0.0,0.0
833c1bfffffffff,122.0,0.0,0.0
833c1cfffffffff,160.0,0.0,0.0
833c1dfffffffff,25.0,0.0,0.0
833c30fffffffff,5.0,0.0,0.0
833c31fffffffff,5.0,0.0,0.0
833c32fffffffff,4.0,0.0,0.0
833c33fffffffff,212.0,0.0,0.0
833c34fffffffff,8.0,0.0,0.0
833c36fffffffff,42.0,0.0,0.0
833c52fffffffff,34.0,0.0,0.0
833c53fffffffff,10.0,0.0,0.0
833c58fffffffff,134.0,0.0,0.0
833c5afffffffff,1183.0,0.0,0.0
833c5bfffffffff,80.0,0.0,0.0
833c5efffffffff,21.0,0.0,0.0
833c80fffffffff,63.0,0.0,0.0
833c81fffffffff,4.0,0.0,0.0
833c82fffffffff,3.0,0.0,0.0
833c83fffffffff,26.0,0.0,0.0
833c84fffffffff,2.0,0.0,0.0
833c88fffffffff,138.0,0.0,0.0
833c89fffffffff,104.0,0.0,0.0
833c8afffffffff,7.0,0.0,0.0
833c8cfffffffff,58.0,0.0,0.0
833c8dfffffffff,52.0,0.0,0.0
833c8efffffffff,470.0,0.0,0.0
833c90fffffffff,10.0,0.0,0.0
833c91fffffffff,4.0,0.0,0.0
833c92fffffffff,290.0,0.0,0.0
833c93fffffffff,10.0,0.0,0.0
833c96fffffffff,37.0,0.0,0.0
833c9cfffffffff,10.0,0.0,0.0
833c9dfffffffff,137.0,0.0,0.0
833c9efffffffff,6.0,0.0,0.0
833ca4fffffffff,13.0,0.0,0.0
833ca9fffffffff,13.0,0.0,0.0
833cabfffffffff,16.0,0.0,0.0
833cb5fffffffff,37.0,0.0,0.0
833cc0fffffffff,12.0,0.0,0.0
833cc2fffffffff,92.0,0.0,0.0
833cc4fffffffff,664.0,0.0,0.0
833cc5fffffffff,150.0,0.0,0.0
833cc6fffffffff,432.0,0.0,0.0
833cc8fffffffff,1.0,0.0,0.0
833ccafffffffff,2.0,0.0,0.0
833ccbfffffffff,3.0,0.0,0.0
833cd1fffffffff,36.0,0.0,0.0
833cd4fffffffff,37.0,0.0,0.0
833cd5fffffffff,4.0,0.0,0.0
833cd9fffffffff,74.0,0.0,0.0
833cdbfffffffff,4.0,0.0,0.0
833cdcfffffffff,6.0,0.0,0.0
833cddfffffffff,1.0,0.0,0.0
833ce0fffffffff,123.0,0.0,0.0
833ce1fffffffff,2165.0,0.0,0.0
833ce2fffffffff,38.0,0.0,0.0
833ce3fffffffff,14.0,0.0,0.0
833ce4fffffffff,264.0,0.0,0.0
833ce5fffffffff,803.0,0.0,0.0
833ce6fffffffff,6.0,0.0,0.0
833ce8fffffffff,8.0,0.0,0.0
833cecfffffffff,2210.0,0.0,0.0
833cedfffffffff,197.0,0.0,0.0
833ceefffffffff,4.0,0.0,0.0
833cf0fffffffff,267.0,0.0,0.0
833cf1fffffffff,1960.0,0.0,0.0
833cf2fffffffff,2503.0,0.0,0.0
833cf3fffffffff,99.0,0.0,0.0
833cf4fffffffff,207.0,0.0,0.0
833cf5fffffffff,10.0,0.0,0.0
833cf6fffffffff,42.0,0.0,0.0
833d10fffffffff,801.0,0.0,0.0
833d11fffffffff,11.0,0.0,0.0
833d12fffffffff,2.0,0.0,0.0
833d13fffffffff,2212.0,0.0,0.0
833d14fffffffff,47.0,0.0,0.0
833d15fffffffff,26.0,0.0,0.0
833d1afffffffff,6.0,0.0,0.0
833d1efffffffff,77.0,0.0,0.0
833d30fffffffff,3.0,0.0,0.0
833d32fffffffff,4.0,0.0,0.0
833d33fffffffff,77.0,0.0,0.0
833d34fffffffff,14.0,0.0,0.0
833d36fffffffff,28.0,0.0,0.0
833d98fffffffff,98.0,0.0,0.0
833d99fffffffff,13.0,0.0,0.0
833d9afffffffff,1.0,0.0,0.0
833d9bfffffffff,113.0,0.0,0.0
833da8fffffffff,5.0,0.0,0.0
833da9fffffffff,34.0,0.0,0.0
833dacfffffffff,16.0,0.0,0.0
833dadfffffffff,817.0,0.0,0.0
834048fffffffff,1.0,0.0,0.0
834049fffffffff,17.0,0.0,0.0
83404bfffffffff,3.0,0.0,0.0
834249fffffffff,6.0,0.0,0.0
834269fffffffff,78.0,0.0,0.0
8342d9fffffffff,19.0,0.0,0.0
8342dbfffffffff,45.0,0.0,0.0
836002fffffffff,377.0,0.0,0.0
836004fffffffff,282.0,0.0,0.0
836006fffffffff,1650.0,0.0,0.0
836010fffffffff,213.0,0.0,0.0
836011fffffffff,855.0,0.0,0.0
836012fffffffff,42.0,0.0,0.0
836013fffffffff,195.0,0.0,0.0
836014fffffffff,10158.0,0.0,0.0
836015fffffffff,6019.0,0.0,0.0
836016fffffffff,6510.0,0.0,0.0
83601afffffffff,7.0,0.0,0.0
83601efffffffff,1694.0,0.0,0.0
836022fffffffff,2261.0,0.0,0.0
836026fffffffff,531.0,0.0,0.0
836030fffffffff,691.0,0.0,0.0
836031fffffffff,10560.0,0.0,0.0
836032fffffffff,759.0,0.0,0.0
836033fffffffff,5417.0,0.0,0.0
836034fffffffff,8.0,0.0,0.0
836035fffffffff,1149.0,0.0,0.0
836036fffffffff,15.0,0.0,0.0
