cell_id,Pyrrhula pyrrhula,Pyrrhula pyrrhula [pyrrhula Group],Pyrrhula pyrrhula [griseiventris Group]
830125fffffffff,1.0,1.0,0.0
830126fffffffff,12.0,0.0,0.0
830134fffffffff,11.0,0.0,0.0
830135fffffffff,19.0,3.0,0.0
830802fffffffff,11.0,0.0,0.0
830806fffffffff,6.0,0.0,0.0
830810fffffffff,12.0,0.0,0.0
830811fffffffff,8.0,0.0,0.0
830812fffffffff,15.0,0.0,0.0
830813fffffffff,18.0,0.0,0.0
830814fffffffff,7.0,0.0,0.0
830815fffffffff,28.0,4.0,0.0
830816fffffffff,6.0,0.0,0.0
830819fffffffff,14.0,0.0,0.0
83081dfffffffff,1.0,0.0,0.0
83081efffffffff,35.0,0.0,0.0
830829fffffffff,4.0,0.0,0.0
83082bfffffffff,4.0,0.0,0.0
830832fffffffff,4.0,0.0,0.0
830833fffffffff,11.0,0.0,0.0
830880fffffffff,37.0,0.0,0.0
830882fffffffff,16.0,0.0,0.0
830883fffffffff,26.0,1.0,0.0
830884fffffffff,22.0,0.0,0.0
830885fffffffff,16.0,0.0,0.0
830886fffffffff,189.0,0.0,0.0
830888fffffffff,28.0,2.0,0.0
830889fffffffff,1.0,0.0,0.0
83088afffffffff,6.0,0.0,0.0
83088bfffffffff,3.0,0.0,0.0
83088dfffffffff,2.0,0.0,0.0
83088efffffffff,20.0,16.0,0.0
830893fffffffff,8.0,0.0,0.0
830895fffffffff,26.0,0.0,0.0
830896fffffffff,9.0,0.0,0.0
830898fffffffff,31.0,0.0,0.0
830899fffffffff,142.0,36.0,0.0
83089afffffffff,74.0,0.0,0.0
83089bfffffffff,24.0,0.0,0.0
83089cfffffffff,5.0,0.0,0.0
83089dfffffffff,115.0,4.0,0.0
83089efffffffff,43.0,0.0,0.0
8308a0fffffffff,5.0,0.0,0.0
8308a2fffffffff,29.0,0.0,0.0
8308a3fffffffff,6.0,0.0,0.0
8308a4fffffffff,26.0,6.0,0.0
8308a5fffffffff,11.0,0.0,0.0
8308a6fffffffff,3.0,1.0,0.0
8308a8fffffffff,2.0,0.0,0.0
8308a9fffffffff,2.0,0.0,0.0
8308b0fffffffff,10.0,0.0,0.0
8308b1fffffffff,30.0,0.0,0.0
8308b2fffffffff,4.0,0.0,0.0
8308b3fffffffff,16.0,0.0,0.0
8308b4fffffffff,8.0,0.0,0.0
8308b5fffffffff,4.0,0.0,0.0
8308b6fffffffff,8.0,0.0,0.0
8308c1fffffffff,16.0,2.0,0.0
8308c2fffffffff,18.0,2.0,0.0
8308c3fffffffff,5.0,0.0,0.0
8308c8fffffffff,14.0,1.0,0.0
8308c9fffffffff,47.0,20.0,0.0
8308ccfffffffff,3.0,0.0,0.0
8308cdfffffffff,34.0,1.0,0.0
8308cefffffffff,10.0,4.0,0.0
8308d1fffffffff,65.0,3.0,0.0
8308d2fffffffff,9.0,0.0,0.0
8308d3fffffffff,8.0,2.0,0.0
8308d4fffffffff,11.0,0.0,0.0
8308d5fffffffff,27.0,0.0,0.0
8308d8fffffffff,174.0,11.0,0.0
8308dafffffffff,4.0,0.0,0.0
8308dcfffffffff,2.0,0.0,0.0
8308ddfffffffff,12.0,6.0,0.0
8308defffffffff,1.0,1.0,0.0
8308e1fffffffff,2.0,0.0,0.0
8308e3fffffffff,2.0,0.0,0.0
8308e4fffffffff,1.0,0.0,0.0
8308e8fffffffff,2.0,0.0,0.0
8308e9fffffffff,1.0,0.0,0.0
8308eafffffffff,12.0,0.0,0.0
8308ecfffffffff,2.0,0.0,0.0
8308edfffffffff,14.0,0.0,0.0
8308eefffffffff,2.0,0.0,0.0
8308f0fffffffff,6.0,0.0,0.0
8308f2fffffffff,5.0,2.0,0.0
8308f4fffffffff,2.0,0.0,0.0
8308f6fffffffff,7.0,0.0,0.0
83094afffffffff,2.0,0.0,0.0
83094bfffffffff,10.0,0.0,0.0
830958fffffffff,6.0,0.0,0.0
830959fffffffff,2.0,0.0,0.0
83095afffffffff,5.0,0.0,0.0
83095bfffffffff,8.0,0.0,0.0
830981fffffffff,7.0,0.0,0.0
830982fffffffff,3.0,0.0,0.0
830988fffffffff,12.0,0.0,0.0
830989fffffffff,4.0,1.0,0.0
83098afffffffff,11.0,8.0,0.0
83098bfffffffff,7.0,0.0,0.0
83098cfffffffff,4.0,0.0,0.0
83098dfffffffff,4.0,0.0,0.0
83098efffffffff,1.0,0.0,0.0
830991fffffffff,33.0,0.0,0.0
830993fffffffff,2.0,0.0,0.0
830998fffffffff,6.0,0.0,0.0
830999fffffffff,156.0,61.0,0.0
83099bfffffffff,9.0,0.0,0.0
83099cfffffffff,6.0,0.0,0.0
83099efffffffff,15.0,0.0,0.0
8309abfffffffff,2.0,0.0,0.0
830a33fffffffff,5.0,0.0,0.0
830b9afffffffff,4.0,0.0,0.0
830bb0fffffffff,40.0,0.0,0.0
830bb3fffffffff,2.0,0.0,0.0
830bb6fffffffff,2.0,0.0,0.0
831016fffffffff,3.0,0.0,0.0
831023fffffffff,2.0,0.0,0.0
831026fffffffff,1.0,1.0,0.0
8310a2fffffffff,2.0,0.0,0.0
8310a8fffffffff,4.0,0.0,0.0
8310c0fffffffff,18.0,0.0,0.0
8310c2fffffffff,130.0,0.0,0.0
8310d1fffffffff,2.0,0.0,0.0
8310d2fffffffff,4.0,0.0,0.0
8310d3fffffffff,2.0,0.0,0.0
