cell_id,Hypsipetes siquijorensis,Hypsipetes siquijorensis cinereiceps,Hypsipetes siquijorensis monticola,Hypsipetes siquijorensis siquijorensis
826847fffffffff,51.0,0.0,4.0,6.0
82695ffffffffff,37.0,25.0,0.0,0.0
