cell_id,Cyanoliseus patagonus,Cyanoliseus patagonus andinus,Cyanoliseus patagonus patagonus/conlara,Cyanoliseus patagonus bloxami
8329a4fffffffff,92.0,0.0,2.0,0.0
833919fffffffff,1.0,0.0,0.0,0.0
833944fffffffff,1.0,0.0,0.0,0.0
833974fffffffff,1.0,0.0,0.0,0.0
834995fffffffff,1.0,0.0,0.0,0.0
835d10fffffffff,6.0,0.0,0.0,0.0
83b20bfffffffff,2.0,0.0,0.0,0.0
83b219fffffffff,88.0,0.0,0.0,0.0
83b21dfffffffff,58.0,0.0,0.0,0.0
83b24afffffffff,2.0,0.0,0.0,0.0
83b258fffffffff,6.0,0.0,0.0,0.0
83b25cfffffffff,1.0,0.0,0.0,0.0
83b270fffffffff,5.0,4.0,0.0,0.0
83b276fffffffff,2.0,2.0,0.0,0.0
83b2c0fffffffff,3.0,0.0,0.0,0.0
83b2c1fffffffff,36.0,0.0,0.0,5.0
83b2c5fffffffff,34.0,0.0,0.0,2.0
83b2ddfffffffff,2.0,0.0,0.0,2.0
83b2e4fffffffff,1.0,0.0,0.0,0.0
83b2ebfffffffff,3.0,0.0,0.0,0.0
83b35afffffffff,14.0,6.0,0.0,0.0
83b35efffffffff,4.0,4.0,0.0,0.0
83c21dfffffffff,3.0,0.0,0.0,0.0
83c2e3fffffffff,16.0,0.0,0.0,0.0
83c2eefffffffff,1.0,0.0,0.0,0.0
83c308fffffffff,3.0,0.0,0.0,0.0
83c329fffffffff,1.0,0.0,1.0,0.0
83c32efffffffff,2.0,0.0,2.0,0.0
83c356fffffffff,2.0,0.0,0.0,0.0
