cell_id,Vireo chivi,Vireo chivi [agilis Group],Vireo chivi chivi/diversus
835f00fffffffff,3.0,3.0,0.0
835f01fffffffff,1.0,0.0,0.0
835f02fffffffff,1.0,0.0,0.0
835f03fffffffff,111.0,30.0,0.0
835f08fffffffff,4.0,0.0,0.0
835f09fffffffff,29.0,0.0,0.0
835f0bfffffffff,2.0,0.0,0.0
835f0dfffffffff,7.0,0.0,0.0
835f10fffffffff,15.0,0.0,0.0
835f11fffffffff,9.0,0.0,0.0
835f12fffffffff,14.0,0.0,0.0
835f13fffffffff,4.0,0.0,0.0
835f14fffffffff,1.0,0.0,0.0
835f15fffffffff,2.0,0.0,0.0
835f16fffffffff,10.0,0.0,0.0
835f1cfffffffff,10.0,4.0,0.0
835f22fffffffff,16.0,16.0,0.0
835f29fffffffff,187.0,0.0,0.0
835f2bfffffffff,102.0,0.0,0.0
835f2dfffffffff,92.0,0.0,0.0
835f36fffffffff,1.0,0.0,0.0
835f40fffffffff,12.0,0.0,0.0
835f41fffffffff,22.0,0.0,0.0
835f46fffffffff,1.0,0.0,0.0
835f49fffffffff,13.0,0.0,0.0
835f4afffffffff,7.0,0.0,0.0
835f4bfffffffff,28.0,0.0,0.0
835f50fffffffff,9.0,0.0,0.0
835f56fffffffff,2.0,0.0,0.0
835f58fffffffff,229.0,0.0,0.0
835f59fffffffff,11.0,0.0,0.0
835f5bfffffffff,519.0,0.0,0.0
835f5dfffffffff,4.0,0.0,0.0
835f68fffffffff,3.0,0.0,0.0
835f74fffffffff,1.0,0.0,0.0
835f75fffffffff,3.0,0.0,0.0
836601fffffffff,2.0,0.0,0.0
836604fffffffff,1.0,0.0,0.0
836606fffffffff,2.0,0.0,0.0
836608fffffffff,21.0,0.0,0.0
836609fffffffff,7.0,0.0,0.0
83660afffffffff,2.0,0.0,0.0
83660bfffffffff,8.0,0.0,0.0
83660cfffffffff,8.0,0.0,0.0
83660dfffffffff,1.0,0.0,0.0
836615fffffffff,2.0,0.0,0.0
836618fffffffff,204.0,0.0,1.0
836619fffffffff,90.0,0.0,0.0
83661afffffffff,1.0,0.0,0.0
83661bfffffffff,292.0,0.0,22.0
83661cfffffffff,4.0,0.0,0.0
83661dfffffffff,1.0,0.0,0.0
83661efffffffff,2.0,0.0,0.0
836620fffffffff,130.0,0.0,0.0
836621fffffffff,37.0,0.0,0.0
836622fffffffff,40.0,0.0,0.0
836623fffffffff,7.0,0.0,0.0
836625fffffffff,1.0,0.0,0.0
836629fffffffff,2.0,0.0,0.0
83662bfffffffff,4.0,0.0,0.0
83662cfffffffff,7.0,0.0,0.0
83662efffffffff,2.0,0.0,0.0
836631fffffffff,1.0,0.0,0.0
836641fffffffff,79.0,0.0,0.0
836645fffffffff,1.0,0.0,0.0
836648fffffffff,6.0,0.0,0.0
836650fffffffff,9.0,0.0,0.0
836652fffffffff,16.0,0.0,0.0
836654fffffffff,57.0,0.0,0.0
836656fffffffff,47.0,0.0,0.0
83665afffffffff,106.0,0.0,0.0
83665bfffffffff,15.0,0.0,0.0
83665efffffffff,2.0,0.0,0.0
836663fffffffff,9.0,0.0,0.0
836664fffffffff,2.0,0.0,0.0
836672fffffffff,5.0,0.0,0.0
836673fffffffff,14.0,0.0,0.0
8366c0fffffffff,8.0,0.0,0.0
8366c1fffffffff,7.0,0.0,0.0
8366c2fffffffff,38.0,0.0,0.0
8366c4fffffffff,4.0,0.0,0.0
8366c5fffffffff,7.0,0.0,0.0
8366c6fffffffff,22.0,0.0,0.0
8366cefffffffff,18.0,0.0,0.0
8366d0fffffffff,206.0,13.0,0.0
8366d1fffffffff,23.0,2.0,0.0
8366d2fffffffff,154.0,34.0,0.0
8366d3fffffffff,3399.0,522.0,0.0
8366d4fffffffff,3.0,0.0,0.0
8366d5fffffffff,24.0,0.0,0.0
8366dafffffffff,8.0,0.0,0.0
8366dcfffffffff,40.0,0.0,3.0
8366defffffffff,31.0,0.0,2.0
8366e0fffffffff,30.0,0.0,0.0
8366e1fffffffff,49.0,0.0,0.0
8366e3fffffffff,27.0,0.0,0.0
8366e4fffffffff,38.0,0.0,0.0
8366e5fffffffff,228.0,0.0,0.0
8366e6fffffffff,719.0,0.0,35.0
8366e9fffffffff,2.0,0.0,0.0
8366ecfffffffff,97.0,0.0,0.0
8366eefffffffff,60.0,0.0,0.0
8366f0fffffffff,64.0,0.0,0.0
8366f1fffffffff,496.0,0.0,2.0
8366f5fffffffff,746.0,0.0,9.0
836741fffffffff,111.0,0.0,0.0
836742fffffffff,8.0,0.0,0.0
836743fffffffff,51.0,0.0,0.0
836746fffffffff,2.0,0.0,0.0
83674afffffffff,3.0,0.0,0.0
83674cfffffffff,595.0,0.0,0.0
83674efffffffff,30.0,0.0,0.0
836751fffffffff,13.0,1.0,0.0
836753fffffffff,129.0,0.0,0.0
836755fffffffff,25.0,0.0,0.0
836756fffffffff,4.0,0.0,0.0
83675cfffffffff,44.0,0.0,0.0
83675dfffffffff,4.0,0.0,0.0
83675efffffffff,3.0,0.0,0.0
838000fffffffff,2.0,0.0,0.0
838005fffffffff,16.0,0.0,1.0
838006fffffffff,2.0,0.0,0.0
838008fffffffff,5.0,0.0,0.0
83800cfffffffff,14.0,0.0,0.0
83800efffffffff,2.0,0.0,0.0
838010fffffffff,115.0,0.0,0.0
838011fffffffff,21.0,0.0,0.0
838013fffffffff,1.0,0.0,0.0
838014fffffffff,33.0,0.0,0.0
838016fffffffff,9.0,0.0,0.0
83801cfffffffff,4.0,0.0,0.0
838023fffffffff,2.0,0.0,0.0
