cell_id,Cyanocorax yncas,Cyanocorax yncas [luxuosus Group],Cyanocorax yncas [yncas Group]
824507fffffffff,493.0,8.0,0.0
82450ffffffffff,8627.0,1711.0,0.0
82451ffffffffff,22.0,3.0,0.0
824527fffffffff,1013.0,2.0,0.0
82452ffffffffff,5479.0,270.0,0.0
824537fffffffff,20.0,0.0,0.0
824577fffffffff,389.0,93.0,0.0
824837fffffffff,1067.0,18.0,0.0
824887fffffffff,9455.0,340.0,0.0
824897fffffffff,5222.0,168.0,0.0
82489ffffffffff,13.0,0.0,0.0
8248a7fffffffff,3145.0,226.0,0.0
8248b7fffffffff,56428.0,2741.0,0.0
824987fffffffff,1.0,0.0,0.0
824997fffffffff,1544.0,208.0,0.0
82499ffffffffff,1223.0,23.0,0.0
8249affffffffff,1070.0,20.0,0.0
8249b7fffffffff,80.0,0.0,0.0
825f4ffffffffff,160.0,0.0,18.0
826607fffffffff,304.0,0.0,60.0
82660ffffffffff,1685.0,0.0,75.0
82661ffffffffff,6705.0,0.0,376.0
826627fffffffff,727.0,0.0,192.0
82662ffffffffff,622.0,0.0,54.0
8266c7fffffffff,2895.0,0.0,101.0
8266d7fffffffff,215.0,0.0,17.0
8266dffffffffff,6146.0,0.0,2877.0
8266e7fffffffff,6313.0,0.0,482.0
8266f7fffffffff,2172.0,0.0,99.0
826747fffffffff,412.0,0.0,29.0
82674ffffffffff,2581.0,0.0,129.0
826757fffffffff,16.0,0.0,0.0
82675ffffffffff,210.0,0.0,2.0
826d07fffffffff,321.0,41.0,0.0
826d17fffffffff,237.0,30.0,0.0
826d27fffffffff,1438.0,255.0,0.0
826d2ffffffffff,770.0,265.0,0.0
826d37fffffffff,478.0,14.0,0.0
828b27fffffffff,9.0,0.0,2.0
828b2ffffffffff,85.0,0.0,4.0
828b67fffffffff,380.0,0.0,137.0
828b6ffffffffff,424.0,0.0,102.0
828b77fffffffff,25.0,0.0,0.0
828e67fffffffff,412.0,0.0,93.0
828e6ffffffffff,9.0,0.0,2.0
828f2ffffffffff,135.0,0.0,67.0
828f47fffffffff,401.0,0.0,114.0
828f4ffffffffff,135.0,0.0,5.0
828f57fffffffff,1061.0,0.0,324.0
828f5ffffffffff,62.0,0.0,2.0
828f77fffffffff,2077.0,0.0,848.0
82b327fffffffff,19.0,0.0,8.0
