cell_id,Erythrura cyaneovirens,Erythrura cyaneovirens [regia Group],Erythrura cyaneovirens cyaneovirens/gaughrani
839a02fffffffff,9.0,0.0,9.0
839a15fffffffff,60.0,0.0,57.0
839e02fffffffff,16.0,0.0,0.0
839e10fffffffff,2.0,0.0,0.0
839e13fffffffff,1.0,0.0,0.0
839e22fffffffff,1.0,0.0,0.0
839e31fffffffff,1.0,0.0,0.0
