cell_id,Cinnyris osea,Cinnyris osea decorsei,Cinnyris osea osea
842da25ffffffff,17.0,0.0,0.0
842da27ffffffff,10.0,0.0,0.0
842db01ffffffff,870.0,0.0,152.0
842db03ffffffff,907.0,0.0,224.0
842db05ffffffff,3104.0,0.0,746.0
842db07ffffffff,37.0,0.0,7.0
842db0bffffffff,606.0,0.0,132.0
842db0dffffffff,522.0,0.0,87.0
842db11ffffffff,277.0,0.0,77.0
842db15ffffffff,257.0,0.0,40.0
842db1dffffffff,526.0,0.0,115.0
842db21ffffffff,212.0,0.0,41.0
842db23ffffffff,7.0,0.0,0.0
842db25ffffffff,131.0,0.0,34.0
842db29ffffffff,334.0,0.0,33.0
842db2bffffffff,345.0,0.0,72.0
842db2dffffffff,346.0,0.0,59.0
842db39ffffffff,12.0,0.0,3.0
842db3dffffffff,61.0,0.0,5.0
842db57ffffffff,3.0,0.0,0.0
842db63ffffffff,247.0,0.0,39.0
842db65ffffffff,15.0,0.0,6.0
842db67ffffffff,524.0,0.0,78.0
843e5cbffffffff,1.0,0.0,0.0
843e655ffffffff,1.0,0.0,0.0
843e681ffffffff,3.0,0.0,0.0
843e687ffffffff,1.0,0.0,0.0
843e689ffffffff,2597.0,0.0,342.0
843e68bffffffff,2.0,0.0,0.0
843e68dffffffff,206.0,0.0,28.0
843e6a1ffffffff,1.0,0.0,0.0
843e6adffffffff,17.0,0.0,0.0
843e6c1ffffffff,5.0,0.0,0.0
843e6c3ffffffff,384.0,0.0,52.0
843e6c7ffffffff,28.0,0.0,0.0
843e6c9ffffffff,1005.0,0.0,236.0
843e6cbffffffff,281.0,0.0,48.0
843e6ddffffffff,34.0,0.0,0.0
8452021ffffffff,16.0,0.0,0.0
8452025ffffffff,52.0,0.0,0.0
8452027ffffffff,7.0,0.0,0.0
845202dffffffff,60.0,0.0,0.0
8452065ffffffff,118.0,0.0,0.0
845206bffffffff,2.0,0.0,0.0
8452153ffffffff,22.0,0.0,0.0
845215bffffffff,18.0,0.0,0.0
84521b1ffffffff,1.0,0.0,0.0
84521b9ffffffff,1.0,0.0,0.0
84521c1ffffffff,6.0,0.0,0.0
84521c5ffffffff,2.0,0.0,0.0
84521c7ffffffff,1.0,0.0,0.0
84521cdffffffff,6.0,0.0,0.0
8452301ffffffff,5.0,0.0,0.0
8452303ffffffff,16.0,0.0,0.0
8452339ffffffff,3.0,0.0,0.0
845233bffffffff,1.0,0.0,0.0
8452345ffffffff,10.0,0.0,0.0
8452347ffffffff,2.0,0.0,0.0
84524d3ffffffff,3.0,0.0,0.0
84524d7ffffffff,1.0,0.0,0.0
84524ddffffffff,27.0,0.0,2.0
845313bffffffff,2.0,0.0,0.0
8453323ffffffff,2.0,0.0,0.0
8453365ffffffff,4.0,0.0,0.0
846330bffffffff,2.0,0.0,0.0
8463321ffffffff,83.0,0.0,18.0
8463325ffffffff,15.0,0.0,2.0
846332dffffffff,119.0,0.0,19.0
