cell_id,Telophorus viridis,Telophorus viridis viridis,Telophorus viridis [quadricolor Group]
837a66fffffffff,2.0,0.0,0.0
837a75fffffffff,1.0,0.0,0.0
837b4cfffffffff,4.0,0.0,0.0
837b59fffffffff,109.0,0.0,22.0
837b5bfffffffff,2.0,0.0,0.0
8382a0fffffffff,4.0,0.0,0.0
838311fffffffff,2.0,1.0,0.0
838312fffffffff,11.0,7.0,0.0
838315fffffffff,9.0,0.0,0.0
8383adfffffffff,4.0,0.0,0.0
839670fffffffff,4.0,1.0,0.0
839672fffffffff,6.0,1.0,0.0
839702fffffffff,14.0,0.0,0.0
839703fffffffff,22.0,0.0,8.0
839705fffffffff,3.0,0.0,0.0
839710fffffffff,2.0,0.0,0.0
839711fffffffff,1.0,0.0,0.0
83971cfffffffff,15.0,0.0,3.0
839724fffffffff,3.0,0.0,0.0
839725fffffffff,1.0,0.0,1.0
839728fffffffff,4.0,0.0,3.0
83972dfffffffff,13.0,0.0,5.0
83972efffffffff,48.0,0.0,9.0
839731fffffffff,6.0,0.0,0.0
839735fffffffff,13.0,0.0,0.0
839793fffffffff,4.0,0.0,0.0
8397a8fffffffff,1.0,0.0,0.0
83bc1bfffffffff,2.0,0.0,0.0
83bc89fffffffff,91.0,0.0,49.0
83bc8bfffffffff,1.0,0.0,0.0
83bc99fffffffff,20.0,0.0,2.0
83bcd0fffffffff,35.0,0.0,8.0
83bcd2fffffffff,53.0,0.0,7.0
83bcd3fffffffff,16.0,0.0,3.0
83bcd4fffffffff,18.0,0.0,1.0
83bcd6fffffffff,36.0,0.0,3.0
83bcf0fffffffff,36.0,0.0,6.0
83bcf1fffffffff,1.0,0.0,1.0
83bcf2fffffffff,609.0,0.0,188.0
83bcf3fffffffff,18.0,0.0,16.0
83bcf4fffffffff,25.0,0.0,7.0
83bcf5fffffffff,9.0,0.0,2.0
83bcf6fffffffff,408.0,0.0,140.0
