cell_id,Agelaius phoeniceus,Agelaius phoeniceus [phoeniceus Group],Agelaius phoeniceus californicus/mailliardorum,Agelaius phoeniceus gubernator
820c67fffffffff,76.0,0.0,0.0,0.0
820c77fffffffff,211.0,0.0,0.0,0.0
820d4ffffffffff,2.0,0.0,0.0,0.0
820d5ffffffffff,18.0,0.0,0.0,0.0
820d67fffffffff,3.0,0.0,0.0,0.0
820e4ffffffffff,1097.0,0.0,0.0,0.0
820e5ffffffffff,26.0,0.0,0.0,0.0
820e87fffffffff,25.0,0.0,0.0,0.0
820e9ffffffffff,17.0,0.0,0.0,0.0
820ec7fffffffff,113.0,2.0,0.0,0.0
820ecffffffffff,1268.0,23.0,0.0,0.0
820edffffffffff,40.0,5.0,0.0,0.0
820eeffffffffff,2055.0,0.0,0.0,0.0
821207fffffffff,3.0,0.0,0.0,0.0
82120ffffffffff,34.0,0.0,0.0,0.0
821217fffffffff,15.0,0.0,0.0,0.0
82121ffffffffff,884.0,0.0,0.0,0.0
821227fffffffff,6.0,0.0,0.0,0.0
82122ffffffffff,13.0,0.0,0.0,0.0
821237fffffffff,18.0,0.0,0.0,0.0
821247fffffffff,36.0,0.0,0.0,0.0
82124ffffffffff,308.0,0.0,0.0,0.0
821257fffffffff,1961.0,169.0,0.0,0.0
82125ffffffffff,2067.0,3.0,0.0,0.0
821267fffffffff,12.0,0.0,0.0,0.0
82126ffffffffff,22.0,0.0,0.0,0.0
821277fffffffff,856.0,11.0,0.0,0.0
821287fffffffff,571.0,6.0,0.0,0.0
82128ffffffffff,1457.0,0.0,0.0,0.0
821297fffffffff,2.0,0.0,0.0,0.0
82129ffffffffff,14.0,0.0,0.0,0.0
8212a7fffffffff,9.0,0.0,0.0,0.0
8212affffffffff,1253.0,2.0,0.0,0.0
8212b7fffffffff,107.0,0.0,0.0,0.0
8212c7fffffffff,5374.0,32.0,0.0,0.0
8212cffffffffff,19395.0,255.0,0.0,0.0
8212d7fffffffff,7714.0,0.0,0.0,0.0
8212dffffffffff,14556.0,253.0,0.0,0.0
8212e7fffffffff,1085.0,8.0,0.0,0.0
8212effffffffff,9353.0,171.0,0.0,0.0
8212f7fffffffff,953.0,10.0,0.0,0.0
821307fffffffff,8.0,0.0,0.0,0.0
821317fffffffff,1.0,0.0,0.0,0.0
821357fffffffff,257.0,0.0,0.0,0.0
821387fffffffff,633.0,0.0,0.0,0.0
82138ffffffffff,415.0,0.0,0.0,0.0
821397fffffffff,61.0,0.0,0.0,0.0
82139ffffffffff,300.0,0.0,0.0,0.0
8213a7fffffffff,4.0,0.0,0.0,0.0
8213affffffffff,7.0,0.0,0.0,0.0
8213b7fffffffff,73.0,0.0,0.0,0.0
821b97fffffffff,2.0,0.0,0.0,0.0
821d27fffffffff,6.0,0.0,0.0,0.0
822607fffffffff,6605.0,442.0,0.0,0.0
82260ffffffffff,11859.0,388.0,0.0,0.0
822617fffffffff,4539.0,60.0,0.0,0.0
82261ffffffffff,5388.0,375.0,0.0,0.0
822627fffffffff,21690.0,729.0,0.0,0.0
82262ffffffffff,26258.0,531.0,0.0,0.0
822637fffffffff,6630.0,820.0,0.0,0.0
822647fffffffff,27280.0,1767.0,0.0,0.0
82264ffffffffff,20392.0,388.0,0.0,0.0
822657fffffffff,34400.0,632.0,0.0,0.0
82265ffffffffff,15870.0,378.0,0.0,0.0
822667fffffffff,82909.0,3254.0,0.0,0.0
82266ffffffffff,26496.0,703.0,0.0,0.0
822677fffffffff,12690.0,393.0,0.0,0.0
822687fffffffff,38033.0,11.0,0.0,0.0
82268ffffffffff,57994.0,36.0,0.0,0.0
822697fffffffff,26777.0,7463.0,0.0,0.0
82269ffffffffff,18840.0,129.0,0.0,0.0
8226a7fffffffff,2625.0,2.0,0.0,0.0
8226affffffffff,29995.0,109.0,0.0,0.0
8226b7fffffffff,2877.0,18.0,0.0,0.0
8226c7fffffffff,7002.0,119.0,0.0,0.0
8226cffffffffff,18974.0,260.0,0.0,0.0
8226d7fffffffff,3981.0,90.0,0.0,0.0
8226dffffffffff,7146.0,168.0,0.0,0.0
8226e7fffffffff,22302.0,668.0,0.0,0.0
8226effffffffff,7920.0,97.0,0.0,0.0
8226f7fffffffff,10034.0,219.0,0.0,0.0
822707fffffffff,8630.0,2.0,0.0,0.0
82270ffffffffff,5607.0,309.0,0.0,0.0
822717fffffffff,6132.0,0.0,0.0,0.0
82271ffffffffff,8580.0,504.0,0.0,0.0
822727fffffffff,2.0,0.0,0.0,0.0
82272ffffffffff,44.0,0.0,0.0,0.0
822737fffffffff,2.0,0.0,0.0,0.0
822747fffffffff,22189.0,389.0,0.0,0.0
82274ffffffffff,103535.0,95.0,0.0,0.0
822757fffffffff,27875.0,2170.0,0.0,0.0
82275ffffffffff,96891.0,2378.0,0.0,0.0
822767fffffffff,4470.0,393.0,0.0,0.0
82276ffffffffff,23419.0,1215.0,0.0,0.0
822777fffffffff,2293.0,134.0,0.0,0.0
822787fffffffff,3204.0,2.0,0.0,0.0
82278ffffffffff,3731.0,252.0,0.0,0.0
822797fffffffff,7070.0,0.0,0.0,0.0
82279ffffffffff,3924.0,0.0,0.0,0.0
8227a7fffffffff,4346.0,0.0,0.0,0.0
8227affffffffff,7320.0,442.0,0.0,0.0
8227b7fffffffff,3166.0,41.0,0.0,0.0
822807fffffffff,7664.0,656.0,40.0,0.0
822817fffffffff,17266.0,184.0,38.0,0.0
82281ffffffffff,20323.0,417.0,0.0,0.0
822837fffffffff,119397.0,1279.0,19764.0,0.0
822887fffffffff,23504.0,160.0,0.0,0.0
82288ffffffffff,27716.0,967.0,0.0,0.0
822897fffffffff,11628.0,18.0,0.0,0.0
82289ffffffffff,9766.0,16.0,0.0,0.0
8228a7fffffffff,1328.0,23.0,0.0,0.0
8228affffffffff,21451.0,65.0,0.0,0.0
8228b7fffffffff,12995.0,1211.0,0.0,0.0
8228c7fffffffff,6453.0,143.0,0.0,0.0
8228cffffffffff,24.0,3.0,0.0,0.0
8228d7fffffffff,78866.0,1656.0,0.0,0.0
8228dffffffffff,32463.0,169.0,0.0,0.0
8228f7fffffffff,62661.0,708.0,0.0,0.0
822917fffffffff,6683.0,0.0,0.0,0.0
82291ffffffffff,4083.0,0.0,2378.0,0.0
822987fffffffff,5426.0,140.0,4.0,0.0
82298ffffffffff,12371.0,428.0,44.0,0.0
822997fffffffff,2550.0,148.0,0.0,0.0
82299ffffffffff,947.0,89.0,0.0,0.0
8229a7fffffffff,55704.0,604.0,20.0,0.0
8229affffffffff,25713.0,44.0,1599.0,0.0
8229b7fffffffff,13589.0,1092.0,0.0,0.0
822a07fffffffff,3077.0,440.0,0.0,0.0
822a17fffffffff,200728.0,9593.0,0.0,0.0
822a1ffffffffff,17.0,12.0,0.0,0.0
822a37fffffffff,157198.0,13833.0,0.0,0.0
822a4ffffffffff,14.0,0.0,0.0,0.0
822a87fffffffff,37585.0,994.0,0.0,0.0
822a8ffffffffff,32792.0,1549.0,0.0,0.0
822a97fffffffff,63975.0,158.0,0.0,0.0
822a9ffffffffff,8848.0,229.0,0.0,0.0
822aa7fffffffff,96047.0,18238.0,0.0,0.0
822aaffffffffff,254899.0,17152.0,0.0,0.0
822ab7fffffffff,203319.0,4881.0,0.0,0.0
822ac7fffffffff,1.0,0.0,0.0,0.0
822ad7fffffffff,10921.0,76.0,0.0,0.0
822af7fffffffff,37265.0,1633.0,0.0,0.0
822b07fffffffff,9679.0,0.0,0.0,0.0
822b0ffffffffff,4881.0,0.0,0.0,0.0
822b17fffffffff,16382.0,171.0,0.0,0.0
