cell_id,Stelgidopteryx serripennis,Stelgidopteryx serripennis [serripennis Group],Stelgidopteryx serripennis ridgwayi/stuarti
840c147ffffffff,2.0,0.0,0.0
840e805ffffffff,2.0,0.0,0.0
84120e9ffffffff,2.0,0.0,0.0
8412515ffffffff,2.0,0.0,0.0
8412523ffffffff,3.0,0.0,0.0
8412597ffffffff,1.0,0.0,0.0
84125dbffffffff,2.0,0.0,0.0
84128bdffffffff,6.0,0.0,0.0
8412a25ffffffff,30.0,0.0,0.0
8412abbffffffff,1.0,1.0,0.0
8412b01ffffffff,9.0,0.0,0.0
8412b03ffffffff,2.0,0.0,0.0
8412b4bffffffff,17.0,0.0,0.0
8412c11ffffffff,4.0,0.0,0.0
8412c3bffffffff,1.0,1.0,0.0
8412c4dffffffff,1.0,0.0,0.0
8412c97ffffffff,2.0,0.0,0.0
8412ca5ffffffff,1.0,0.0,0.0
8412cadffffffff,2.0,0.0,0.0
8412cb5ffffffff,1.0,0.0,0.0
8412cb9ffffffff,3.0,0.0,0.0
8412cc1ffffffff,2.0,0.0,0.0
8412cc9ffffffff,5.0,0.0,0.0
8412ccdffffffff,13.0,0.0,0.0
8412cd9ffffffff,3.0,0.0,0.0
8412ce3ffffffff,2.0,0.0,0.0
8412d17ffffffff,6.0,0.0,0.0
8412d19ffffffff,1.0,0.0,0.0
8412d37ffffffff,2.0,0.0,0.0
8412d8dffffffff,2.0,0.0,0.0
8412db3ffffffff,2.0,0.0,0.0
8412dc7ffffffff,2.0,0.0,0.0
8412ddbffffffff,4.0,0.0,0.0
8412de5ffffffff,7.0,0.0,0.0
8413829ffffffff,1.0,0.0,0.0
841383dffffffff,2.0,0.0,0.0
8413861ffffffff,7.0,0.0,0.0
8413867ffffffff,15.0,0.0,0.0
84138c7ffffffff,1.0,0.0,0.0
8413917ffffffff,2.0,0.0,0.0
8413941ffffffff,1.0,0.0,0.0
8413943ffffffff,1.0,0.0,0.0
84260a1ffffffff,2.0,0.0,0.0
84260b3ffffffff,1.0,0.0,0.0
84260b9ffffffff,7.0,0.0,0.0
842611dffffffff,4.0,0.0,0.0
8426187ffffffff,1.0,0.0,0.0
842621dffffffff,2.0,0.0,0.0
842622dffffffff,2.0,0.0,0.0
842623dffffffff,2.0,0.0,0.0
8426293ffffffff,2.0,0.0,0.0
84262dbffffffff,2.0,0.0,0.0
8426341ffffffff,6.0,0.0,0.0
842634bffffffff,2.0,0.0,0.0
8426363ffffffff,2.0,0.0,0.0
8426407ffffffff,4.0,2.0,0.0
8426409ffffffff,1.0,0.0,0.0
842640dffffffff,2.0,0.0,0.0
8426415ffffffff,6.0,0.0,0.0
8426417ffffffff,6.0,0.0,0.0
842641bffffffff,2.0,0.0,0.0
8426431ffffffff,1.0,0.0,0.0
8426433ffffffff,11.0,0.0,0.0
8426437ffffffff,8.0,0.0,0.0
842643bffffffff,3.0,0.0,0.0
8426461ffffffff,4.0,0.0,0.0
8426463ffffffff,4.0,3.0,0.0
842646bffffffff,4.0,0.0,0.0
8426481ffffffff,3.0,0.0,0.0
8426489ffffffff,49.0,3.0,0.0
842648dffffffff,1.0,0.0,0.0
8426493ffffffff,16.0,0.0,0.0
8426497ffffffff,5.0,0.0,0.0
842649dffffffff,6.0,4.0,0.0
84264a1ffffffff,11.0,0.0,0.0
84264a5ffffffff,3.0,0.0,0.0
84264a7ffffffff,15.0,0.0,0.0
84264adffffffff,2.0,0.0,0.0
84264b9ffffffff,13.0,0.0,0.0
84264bbffffffff,4.0,0.0,0.0
84264c3ffffffff,1.0,1.0,0.0
84264c7ffffffff,20.0,0.0,0.0
84264cbffffffff,2.0,0.0,0.0
84264d1ffffffff,14.0,0.0,0.0
84264d7ffffffff,2.0,0.0,0.0
84264d9ffffffff,45.0,0.0,0.0
84264dbffffffff,14.0,0.0,0.0
84264ddffffffff,3.0,0.0,0.0
84264e1ffffffff,2.0,0.0,0.0
84264e5ffffffff,35.0,19.0,0.0
84264edffffffff,7.0,0.0,0.0
842650dffffffff,2.0,0.0,0.0
8426521ffffffff,2.0,0.0,0.0
8426529ffffffff,2.0,0.0,0.0
842652bffffffff,5.0,0.0,0.0
842652dffffffff,1.0,0.0,0.0
8426533ffffffff,10.0,0.0,0.0
842653bffffffff,3.0,0.0,0.0
842653dffffffff,5.0,0.0,0.0
842654bffffffff,2.0,0.0,0.0
842654dffffffff,2.0,0.0,0.0
8426555ffffffff,15.0,0.0,0.0
8426557ffffffff,1.0,0.0,0.0
842655dffffffff,1.0,0.0,0.0
8426567ffffffff,11.0,0.0,0.0
8426583ffffffff,7.0,0.0,0.0
8426589ffffffff,2.0,0.0,0.0
8426593ffffffff,3.0,0.0,0.0
8426595ffffffff,3.0,0.0,0.0
8426599ffffffff,21.0,0.0,0.0
842659bffffffff,45.0,9.0,0.0
84265a3ffffffff,10.0,0.0,0.0
84265a7ffffffff,2.0,0.0,0.0
84265a9ffffffff,1.0,0.0,0.0
84265adffffffff,2.0,0.0,0.0
84265b1ffffffff,2.0,0.0,0.0
84265b5ffffffff,5.0,0.0,0.0
84265b7ffffffff,2.0,0.0,0.0
84265b9ffffffff,2.0,0.0,0.0
84265d5ffffffff,5.0,0.0,0.0
84265d9ffffffff,5.0,0.0,0.0
84265dbffffffff,13.0,7.0,0.0
84265e3ffffffff,4.0,0.0,0.0
8426603ffffffff,2.0,0.0,0.0
842660bffffffff,3.0,0.0,0.0
8426613ffffffff,2.0,0.0,0.0
8426625ffffffff,1.0,1.0,0.0
842662dffffffff,2.0,0.0,0.0
8426631ffffffff,2.0,0.0,0.0
8426641ffffffff,8.0,0.0,0.0
8426645ffffffff,7.0,0.0,0.0
8426647ffffffff,6.0,0.0,0.0
8426649ffffffff,1.0,0.0,0.0
842664bffffffff,3.0,0.0,0.0
842664dffffffff,17.0,4.0,0.0
8426661ffffffff,5.0,0.0,0.0
8426665ffffffff,7.0,0.0,0.0
8426667ffffffff,2.0,0.0,0.0
8426669ffffffff,10.0,0.0,0.0
842666bffffffff,4.0,0.0,0.0
842668bffffffff,1.0,0.0,0.0
842669bffffffff,8.0,0.0,0.0
842669dffffffff,1.0,0.0,0.0
84266a1ffffffff,2.0,0.0,0.0
84266a5ffffffff,2.0,0.0,0.0
84266adffffffff,4.0,0.0,0.0
84266b7ffffffff,5.0,0.0,0.0
84266bbffffffff,5.0,0.0,0.0
84266c5ffffffff,6.0,0.0,0.0
84266d5ffffffff,4.0,0.0,0.0
84266dbffffffff,4.0,0.0,0.0
84266e1ffffffff,11.0,0.0,0.0
84266e5ffffffff,2.0,0.0,0.0
8426703ffffffff,2.0,0.0,0.0
8426705ffffffff,2.0,0.0,0.0
8426711ffffffff,3.0,0.0,0.0
8426713ffffffff,1.0,0.0,0.0
8426717ffffffff,2.0,0.0,0.0
8426719ffffffff,8.0,0.0,0.0
8426747ffffffff,2.0,0.0,0.0
842675bffffffff,2.0,0.0,0.0
8426801ffffffff,1.0,0.0,0.0
8426803ffffffff,5.0,0.0,0.0
842680bffffffff,3.0,0.0,0.0
8426811ffffffff,2.0,0.0,0.0
8426813ffffffff,5.0,0.0,0.0
8426817ffffffff,2.0,0.0,0.0
8426819ffffffff,4.0,0.0,0.0
842681bffffffff,14.0,0.0,0.0
8426825ffffffff,4.0,0.0,0.0
8426829ffffffff,5.0,0.0,0.0
842682bffffffff,10.0,0.0,0.0
8426831ffffffff,3.0,0.0,0.0
8426833ffffffff,2.0,0.0,0.0
842683dffffffff,1.0,0.0,0.0
8426859ffffffff,1.0,0.0,0.0
842685dffffffff,2.0,0.0,0.0
8426881ffffffff,11.0,2.0,0.0
8426885ffffffff,22.0,0.0,0.0
8426887ffffffff,3.0,0.0,0.0
8426889ffffffff,14.0,0.0,0.0
842688dffffffff,2.0,0.0,0.0
8426893ffffffff,2.0,0.0,0.0
84268a1ffffffff,3.0,0.0,0.0
84268a3ffffffff,6.0,0.0,0.0
84268a7ffffffff,4.0,0.0,0.0
84268abffffffff,2.0,0.0,0.0
84268adffffffff,1.0,0.0,0.0
84268b1ffffffff,4.0,0.0,0.0
84268b9ffffffff,3.0,0.0,0.0
84268bbffffffff,1.0,0.0,0.0
84268c5ffffffff,4.0,0.0,0.0
84268c7ffffffff,8.0,0.0,0.0
84268cdffffffff,22.0,4.0,0.0
84268d3ffffffff,1.0,0.0,0.0
84268d5ffffffff,35.0,0.0,0.0
84268d7ffffffff,15.0,0.0,0.0
84268e7ffffffff,12.0,0.0,0.0
84268ebffffffff,2.0,0.0,0.0
8426905ffffffff,15.0,0.0,0.0
842691dffffffff,4.0,0.0,0.0
842694dffffffff,2.0,0.0,0.0
8426961ffffffff,22.0,0.0,0.0
8426963ffffffff,53.0,0.0,0.0
8426969ffffffff,13.0,0.0,0.0
842696bffffffff,17.0,0.0,0.0
8426981ffffffff,5.0,0.0,0.0
8426983ffffffff,3.0,0.0,0.0
8426987ffffffff,5.0,0.0,0.0
8426989ffffffff,2.0,0.0,0.0
8426991ffffffff,4.0,0.0,0.0
8426995ffffffff,7.0,0.0,0.0
8426997ffffffff,2.0,0.0,0.0
842699bffffffff,4.0,0.0,0.0
84269a1ffffffff,2.0,0.0,0.0
84269c1ffffffff,28.0,0.0,0.0
84269c5ffffffff,6.0,0.0,0.0
84269c7ffffffff,5.0,0.0,0.0
84269cbffffffff,3.0,0.0,0.0
84269cdffffffff,20.0,0.0,0.0
84269d1ffffffff,9.0,0.0,0.0
84269d9ffffffff,2.0,0.0,0.0
84269e1ffffffff,3.0,0.0,0.0
84269e9ffffffff,7.0,0.0,0.0
8426a87ffffffff,8.0,0.0,0.0
8426a8bffffffff,4.0,0.0,0.0
8426a95ffffffff,10.0,0.0,0.0
8426a97ffffffff,1.0,0.0,0.0
8426aa1ffffffff,4.0,0.0,0.0
8426aa3ffffffff,2.0,0.0,0.0
8426aa5ffffffff,17.0,0.0,0.0
8426aa7ffffffff,4.0,0.0,0.0
8426aa9ffffffff,1.0,0.0,0.0
8426aabffffffff,8.0,0.0,0.0
8426abbffffffff,2.0,0.0,0.0
8426ae7ffffffff,3.0,0.0,0.0
8426b25ffffffff,2.0,0.0,0.0
8426b61ffffffff,2.0,0.0,0.0
8426b69ffffffff,2.0,0.0,0.0
8426c83ffffffff,3.0,0.0,0.0
8426c85ffffffff,1.0,0.0,0.0
8426c87ffffffff,10.0,0.0,0.0
8426c89ffffffff,6.0,0.0,0.0
8426ca5ffffffff,2.0,0.0,0.0
8426cabffffffff,2.0,0.0,0.0
8426cb3ffffffff,2.0,0.0,0.0
8426cb9ffffffff,9.0,0.0,0.0
8426cbdffffffff,10.0,0.0,0.0
8426cc3ffffffff,2.0,0.0,0.0
8426ce3ffffffff,3.0,0.0,0.0
8426d1bffffffff,1.0,0.0,0.0
8426d35ffffffff,2.0,0.0,0.0
8426d5dffffffff,8.0,0.0,0.0
8426dc3ffffffff,4.0,0.0,0.0
8426de7ffffffff,4.0,0.0,0.0
8426debffffffff,1.0,0.0,0.0
8426e07ffffffff,1.0,0.0,0.0
8426e21ffffffff,7.0,0.0,0.0
8426e2dffffffff,3.0,0.0,0.0
8426e5bffffffff,8.0,0.0,0.0
8426e5dffffffff,2.0,0.0,0.0
8426e83ffffffff,2.0,0.0,0.0
8426e85ffffffff,2.0,0.0,0.0
8426e95ffffffff,2.0,0.0,0.0
8426ec3ffffffff,1.0,0.0,0.0
8426f25ffffffff,3.0,0.0,0.0
8426f43ffffffff,3.0,0.0,0.0
8426f65ffffffff,5.0,0.0,0.0
8427023ffffffff,1.0,0.0,0.0
8427199ffffffff,3.0,0.0,0.0
84271abffffffff,2.0,2.0,0.0
8427419ffffffff,2.0,0.0,0.0
842741bffffffff,5.0,0.0,0.0
8427435ffffffff,2.0,0.0,0.0
8427461ffffffff,1.0,0.0,0.0
8427463ffffffff,8.0,0.0,0.0
8427481ffffffff,10.0,0.0,0.0
8427485ffffffff,4.0,0.0,0.0
8427487ffffffff,8.0,0.0,0.0
8427489ffffffff,2.0,0.0,0.0
842748bffffffff,4.0,0.0,0.0
842748dffffffff,40.0,0.0,0.0
8427491ffffffff,6.0,0.0,0.0
8427495ffffffff,4.0,0.0,0.0
8427499ffffffff,36.0,0.0,0.0
842749dffffffff,2.0,0.0,0.0
84274abffffffff,7.0,0.0,0.0
84274b1ffffffff,7.0,0.0,0.0
84274b5ffffffff,8.0,0.0,0.0
84274b7ffffffff,7.0,1.0,0.0
84274b9ffffffff,3.0,0.0,0.0
84274bbffffffff,2.0,0.0,0.0
84274bdffffffff,2.0,0.0,0.0
84274c1ffffffff,5.0,0.0,0.0
84274cbffffffff,2.0,0.0,0.0
84274d1ffffffff,1.0,0.0,0.0
84274d3ffffffff,20.0,0.0,0.0
84274d5ffffffff,2.0,0.0,0.0
84274d7ffffffff,3.0,0.0,0.0
84274d9ffffffff,5.0,0.0,0.0
84274dbffffffff,22.0,0.0,0.0
84274ddffffffff,9.0,0.0,0.0
84274e1ffffffff,2.0,2.0,0.0
84274e3ffffffff,13.0,1.0,0.0
8427523ffffffff,4.0,0.0,0.0
8427531ffffffff,2.0,0.0,0.0
8427537ffffffff,1.0,0.0,0.0
8427569ffffffff,4.0,0.0,0.0
8427581ffffffff,3.0,0.0,0.0
8427585ffffffff,9.0,0.0,0.0
842758bffffffff,2.0,0.0,0.0
842758dffffffff,3.0,0.0,0.0
8427593ffffffff,24.0,2.0,0.0
8427599ffffffff,3.0,0.0,0.0
842759bffffffff,9.0,0.0,0.0
842759dffffffff,2.0,0.0,0.0
84275a1ffffffff,6.0,0.0,0.0
84275a3ffffffff,2.0,0.0,0.0
84275b5ffffffff,7.0,0.0,0.0
84275b7ffffffff,6.0,0.0,0.0
84275c3ffffffff,3.0,0.0,0.0
84275c5ffffffff,2.0,0.0,0.0
84275cbffffffff,2.0,0.0,0.0
84275d3ffffffff,10.0,0.0,0.0
84275d5ffffffff,4.0,0.0,0.0
84275d7ffffffff,9.0,0.0,0.0
84275d9ffffffff,2.0,0.0,0.0
84275e5ffffffff,6.0,0.0,0.0
8427631ffffffff,1.0,0.0,0.0
842763bffffffff,28.0,2.0,0.0
8427693ffffffff,10.0,8.0,0.0
8427699ffffffff,5.0,5.0,0.0
84276a1ffffffff,1.0,0.0,0.0
84276b1ffffffff,1.0,0.0,0.0
84276b5ffffffff,4.0,0.0,0.0
84276b7ffffffff,23.0,0.0,0.0
84276bbffffffff,2.0,0.0,0.0
84276bdffffffff,4.0,0.0,0.0
84276cbffffffff,2.0,2.0,0.0
84276d1ffffffff,10.0,10.0,0.0
84276d3ffffffff,19.0,19.0,0.0
84276d7ffffffff,1.0,1.0,0.0
842770dffffffff,2.0,0.0,0.0
8427833ffffffff,3.0,0.0,0.0
842785bffffffff,2.0,0.0,0.0
8427861ffffffff,2.0,0.0,0.0
84278cdffffffff,1.0,0.0,0.0
84278d1ffffffff,2.0,0.0,0.0
842790dffffffff,2.0,0.0,0.0
8427921ffffffff,2.0,0.0,0.0
8427927ffffffff,7.0,0.0,0.0
8427937ffffffff,7.0,0.0,0.0
842795bffffffff,1.0,0.0,0.0
8427969ffffffff,4.0,0.0,0.0
8427997ffffffff,5.0,0.0,0.0
8427a05ffffffff,4.0,0.0,0.0
8427a1dffffffff,4.0,0.0,0.0
8427a2dffffffff,1.0,0.0,0.0
8427a39ffffffff,3.0,0.0,0.0
8427ab7ffffffff,2.0,0.0,0.0
8427ac5ffffffff,1.0,0.0,0.0
8427addffffffff,3.0,0.0,0.0
8427b13ffffffff,1.0,0.0,0.0
8427b17ffffffff,2.0,0.0,0.0
8428021ffffffff,2.0,0.0,0.0
8428023ffffffff,8.0,0.0,0.0
842802bffffffff,24.0,0.0,0.0
8428063ffffffff,4.0,0.0,0.0
842806dffffffff,1.0,0.0,0.0
8428103ffffffff,2.0,0.0,0.0
8428105ffffffff,2.0,0.0,0.0
8428111ffffffff,3.0,0.0,0.0
8428119ffffffff,4.0,0.0,0.0
8428123ffffffff,2.0,0.0,0.0
842812bffffffff,1.0,0.0,0.0
8428133ffffffff,3.0,0.0,0.0
842813bffffffff,3.0,0.0,0.0
8428143ffffffff,1.0,0.0,0.0
8428149ffffffff,25.0,0.0,0.0
8428151ffffffff,18.0,3.0,0.0
8428153ffffffff,9.0,0.0,0.0
8428157ffffffff,16.0,3.0,0.0
8428185ffffffff,2.0,0.0,0.0
842818dffffffff,2.0,0.0,0.0
842819dffffffff,4.0,0.0,0.0
84281a7ffffffff,3.0,0.0,0.0
84281b1ffffffff,2.0,0.0,0.0
84281c9ffffffff,5.0,0.0,0.0
84281cbffffffff,11.0,0.0,0.0
84281e5ffffffff,2.0,0.0,0.0
84281e9ffffffff,2.0,0.0,0.0
84281ebffffffff,3.0,0.0,0.0
84281edffffffff,2.0,0.0,0.0
8428301ffffffff,14.0,0.0,0.0
8428305ffffffff,20.0,0.0,0.0
8428307ffffffff,9.0,0.0,0.0
8428309ffffffff,136.0,0.0,0.0
842830bffffffff,6.0,0.0,0.0
842830dffffffff,6.0,0.0,0.0
8428315ffffffff,1.0,0.0,0.0
8428317ffffffff,1.0,0.0,0.0
8428321ffffffff,8.0,0.0,0.0
8428327ffffffff,6.0,0.0,0.0
8428329ffffffff,35.0,0.0,0.0
842832bffffffff,19.0,0.0,0.0
8428331ffffffff,3.0,0.0,0.0
8428335ffffffff,2.0,0.0,0.0
8428337ffffffff,2.0,0.0,0.0
8428339ffffffff,3.0,0.0,0.0
8428341ffffffff,23.0,0.0,0.0
8428343ffffffff,34.0,0.0,0.0
8428345ffffffff,21.0,0.0,0.0
8428347ffffffff,22.0,1.0,0.0
842834dffffffff,66.0,0.0,0.0
8428357ffffffff,10.0,3.0,0.0
8428361ffffffff,86.0,0.0,0.0
8428363ffffffff,441.0,0.0,0.0
8428365ffffffff,4.0,0.0,0.0
8428367ffffffff,226.0,0.0,0.0
8428369ffffffff,2.0,0.0,0.0
842836bffffffff,101.0,0.0,0.0
8428809ffffffff,2.0,0.0,0.0
8428813ffffffff,4.0,0.0,0.0
8428819ffffffff,2.0,2.0,0.0
8428843ffffffff,6.0,0.0,0.0
8428847ffffffff,7.0,0.0,0.0
8428849ffffffff,5.0,0.0,0.0
842884bffffffff,1.0,0.0,0.0
842884dffffffff,8.0,0.0,0.0
8428855ffffffff,26.0,0.0,0.0
842885dffffffff,13.0,0.0,0.0
8428881ffffffff,3.0,0.0,0.0
8428889ffffffff,4.0,0.0,0.0
842888bffffffff,2.0,2.0,0.0
842888dffffffff,1.0,0.0,0.0
8428895ffffffff,2.0,2.0,0.0
8428899ffffffff,4.0,0.0,0.0
84288a3ffffffff,3.0,0.0,0.0
84288b5ffffffff,1.0,0.0,0.0
84288b9ffffffff,6.0,0.0,0.0
84288e3ffffffff,1.0,0.0,0.0
8428907ffffffff,7.0,0.0,0.0
8428915ffffffff,1.0,0.0,0.0
8428927ffffffff,2.0,0.0,0.0
8428931ffffffff,2.0,0.0,0.0
